GlobalRnd   ClientID  LocEpoch    Accuracy    LR          Loss        GradNorm    
1           0         1           34.1000     0.254472    2.118889    2.545964    
1           1         1           35.3800     0.234847    2.046046    2.788265    
1           2         1           27.3500     0.199819    2.013669    2.911463    
1           3         1           33.2400     0.218039    2.012608    2.744677    
1           4         1           40.2800     0.221305    1.976816    2.679353    
2           0         1           42.3800     0.281496    1.925995    3.046643    
2           1         1           39.5100     0.207961    1.731532    3.218894    
2           2         1           44.6800     0.246468    1.774198    3.204865    
2           3         1           44.3500     0.217792    1.751474    3.226320    
2           4         1           45.4700     0.238866    1.739507    3.034936    
3           0         1           37.7900     0.328806    1.804737    3.058310    
3           1         1           39.9300     0.302111    1.665805    3.252828    
3           2         1           40.2700     0.284373    1.633696    3.250468    
3           3         1           44.9100     0.287908    1.639501    3.225909    
3           4         1           34.8900     0.292624    1.627716    3.147060    
4           0         1           41.8800     0.355821    1.755537    3.185778    
4           1         1           49.9800     0.314943    1.526767    3.336794    
4           2         1           48.0400     0.307350    1.506256    3.304795    
4           3         1           44.9800     0.341591    1.568528    3.237988    
4           4         1           49.1900     0.304949    1.519682    3.326024    
5           0         1           40.7200     0.381902    1.684648    3.237897    
5           1         1           51.9300     0.323964    1.405131    3.311024    
5           2         1           45.1500     0.342997    1.462980    3.406984    
5           3         1           49.1400     0.336337    1.453754    3.337624    
5           4         1           45.0300     0.342591    1.452843    3.353530    
6           0         1           45.8100     0.392803    1.600590    3.310578    
6           1         1           48.7300     0.352664    1.329474    3.305120    
6           2         1           49.6300     0.348560    1.322640    3.235457    
6           3         1           52.3700     0.340901    1.339067    3.381153    
6           4         1           50.2900     0.350795    1.347618    3.376708    
7           0         1           48.0300     0.385939    1.530691    3.376134    
7           1         1           54.0100     0.349808    1.240601    3.378286    
7           2         1           54.4000     0.335677    1.219414    3.399625    
7           3         1           57.3200     0.359060    1.276687    3.371284    
7           4         1           55.8200     0.349532    1.233077    3.340409    
8           0         1           49.4400     0.400587    1.442733    3.374000    
8           1         1           56.7400     0.339325    1.150902    3.423455    
8           2         1           53.5900     0.344786    1.177408    3.448894    
8           3         1           58.0100     0.341359    1.142209    3.416706    
8           4         1           57.3100     0.329305    1.123097    3.431564    
9           0         1           48.3900     0.374791    1.347720    3.520720    
9           1         1           60.0400     0.315252    1.035016    3.515505    
9           2         1           60.8200     0.324103    1.036263    3.422064    
9           3         1           61.0300     0.302301    1.027674    3.524285    
9           4         1           56.3600     0.301547    0.996979    3.485208    
10          0         1           58.1700     0.336885    1.237547    3.652165    
10          1         1           56.0000     0.285555    0.887080    3.434596    
10          2         1           62.7600     0.297350    0.926168    3.523941    
10          3         1           62.4100     0.290193    0.916445    3.463117    
10          4         1           62.9600     0.297589    0.935571    3.485162    
11          0         1           58.3400     0.348222    1.170822    3.647935    
11          1         1           64.1800     0.253590    0.791320    3.542956    
11          2         1           60.7700     0.270958    0.824583    3.521037    
11          3         1           64.8500     0.262909    0.818115    3.571523    
11          4         1           63.8700     0.264778    0.817902    3.525565    
12          0         1           61.5100     0.296839    1.024943    3.710278    
12          1         1           66.9300     0.225217    0.678150    3.530390    
12          2         1           67.5600     0.228334    0.691700    3.545917    
12          3         1           65.5900     0.228384    0.705972    3.610428    
12          4         1           65.7300     0.228484    0.691597    3.536664    
13          0         1           62.5200     0.238708    0.860249    3.838112    
13          1         1           65.0900     0.190199    0.570356    3.545216    
13          2         1           68.1700     0.189584    0.571120    3.522347    
13          3         1           67.0200     0.193961    0.577123    3.596662    
13          4         1           68.0500     0.182048    0.563127    3.581285    
14          0         1           62.3900     0.206241    0.748040    3.894420    
14          1         1           69.0800     0.150750    0.458337    3.561207    
14          2         1           68.4600     0.160997    0.474624    3.569316    
14          3         1           69.0900     0.147279    0.455774    3.584513    
14          4         1           68.9900     0.154792    0.471005    3.576885    
15          0         1           65.1500     0.169117    0.622116    3.979017    
15          1         1           70.2200     0.127524    0.381255    3.583447    
15          2         1           69.8400     0.129970    0.383636    3.545858    
15          3         1           71.4300     0.122286    0.367774    3.475541    
15          4         1           70.6500     0.128527    0.373829    3.504756    
16          0         1           67.2400     0.137078    0.489256    3.818450    
16          1         1           70.7300     0.104687    0.301677    3.498189    
16          2         1           70.0900     0.105069    0.306684    3.473395    
16          3         1           71.4600     0.101197    0.291516    3.417076    
16          4         1           71.0700     0.104455    0.305133    3.454926    
17          0         1           67.6200     0.107886    0.393349    3.896480    
17          1         1           71.2000     0.087561    0.236268    3.318118    
17          2         1           70.3000     0.092740    0.246939    3.327706    
17          3         1           71.3000     0.090517    0.233205    3.327454    
17          4         1           71.2000     0.091552    0.244512    3.304956    
18          0         1           67.6600     0.095744    0.327665    3.785158    
18          1         1           71.9800     0.077824    0.194601    3.243711    
18          2         1           71.5800     0.077826    0.200035    3.296993    
18          3         1           71.8300     0.078254    0.192081    3.234097    
18          4         1           71.7900     0.079560    0.194182    3.187859    
19          0         1           68.2100     0.075013    0.260873    3.714483    
19          1         1           71.3600     0.070813    0.155496    3.059552    
19          2         1           71.6300     0.072515    0.158375    3.076207    
19          3         1           72.3800     0.070053    0.149029    3.046882    
19          4         1           71.9800     0.068943    0.159106    3.065324    
20          0         1           68.8800     0.073505    0.221585    3.507647    
20          1         1           71.9800     0.059778    0.123602    2.877590    
20          2         1           72.2800     0.062482    0.134328    2.972653    
20          3         1           72.3800     0.060481    0.130912    2.987833    
20          4         1           72.4600     0.063747    0.133928    2.992108    
21          0         1           68.6200     0.065130    0.182502    3.395980    
21          1         1           72.0300     0.056857    0.108143    2.760616    
21          2         1           72.4600     0.057035    0.111470    2.925779    
21          3         1           72.1400     0.059568    0.109718    2.850925    
21          4         1           72.3400     0.057552    0.111505    2.861569    
22          0         1           69.5100     0.059607    0.151946    3.258855    
22          1         1           72.1900     0.056903    0.092011    2.680510    
22          2         1           72.0200     0.054182    0.091270    2.697330    
22          3         1           72.5300     0.055896    0.090839    2.655281    
22          4         1           72.0800     0.057069    0.092745    2.663457    
23          0         1           69.1000     0.054873    0.128293    3.124411    
23          1         1           72.5400     0.051568    0.081840    2.573686    
23          2         1           72.7100     0.051861    0.082224    2.610391    
23          3         1           72.3700     0.049320    0.081405    2.677694    
23          4         1           72.2500     0.054046    0.080362    2.577090    
24          0         1           68.7000     0.052903    0.113338    3.007427    
24          1         1           72.4000     0.050618    0.073352    2.532008    
24          2         1           72.3800     0.047910    0.073237    2.633597    
24          3         1           72.9000     0.053180    0.071519    2.501185    
24          4         1           72.3100     0.050409    0.071002    2.475104    
25          0         1           69.7300     0.049180    0.103340    2.985828    
25          1         1           72.2500     0.050515    0.063490    2.374205    
25          2         1           72.4500     0.046909    0.065958    2.504379    
25          3         1           72.5800     0.052096    0.060972    2.393573    
25          4         1           72.6300     0.055477    0.063165    2.388279    
26          0         1           69.9800     0.048169    0.085911    2.714250    
26          1         1           72.2900     0.049877    0.057498    2.405323    
26          2         1           72.7200     0.048369    0.061494    2.498181    
26          3         1           72.6200     0.050273    0.057216    2.268915    
26          4         1           72.5500     0.051412    0.058070    2.352974    
27          0         1           70.1700     0.047666    0.083217    2.800432    
27          1         1           72.7100     0.052101    0.050281    2.284482    
27          2         1           72.6100     0.052138    0.052883    2.365592    
27          3         1           72.8300     0.048823    0.052573    2.266762    
27          4         1           72.6000     0.056219    0.051638    2.311070    
28          0         1           69.5600     0.049923    0.078171    2.697396    
28          1         1           72.6400     0.052997    0.048019    2.242348    
28          2         1           72.4200     0.051841    0.051660    2.402923    
28          3         1           72.6900     0.051382    0.049462    2.192052    
28          4         1           72.6300     0.055947    0.049604    2.262325    
29          0         1           69.6100     0.043688    0.071792    2.692730    
29          1         1           72.6200     0.048461    0.047122    2.302747    
29          2         1           72.4600     0.048357    0.049658    2.380910    
29          3         1           72.7900     0.057495    0.046270    2.164372    
29          4         1           72.3900     0.054606    0.048199    2.305628    
30          0         1           70.3000     0.045328    0.069247    2.732954    
30          1         1           72.6300     0.056271    0.045158    2.197861    
30          2         1           72.5700     0.057233    0.048132    2.321599    
30          3         1           72.7200     0.052352    0.044878    2.169106    
30          4         1           72.4900     0.054023    0.045313    2.249870    
31          0         1           69.8000     0.043035    0.063067    2.615785    
31          1         1           72.4100     0.056020    0.043005    2.225944    
31          2         1           72.0100     0.049056    0.044304    2.337956    
31          3         1           72.7900     0.057443    0.042239    2.091273    
31          4         1           72.5700     0.059847    0.042327    2.180391    
32          0         1           70.1300     0.039689    0.065621    2.705352    
32          1         1           72.3400     0.057775    0.041753    2.301894    
32          2         1           72.6100     0.054423    0.041965    2.249729    
32          3         1           72.6300     0.066360    0.040893    2.083191    
32          4         1           72.3000     0.056225    0.042678    2.260613    
33          0         1           69.7900     0.036718    0.059120    2.676856    
33          1         1           72.6200     0.057719    0.040748    2.253489    
33          2         1           72.5600     0.051338    0.041701    2.302744    
33          3         1           72.6200     0.056270    0.039219    2.142922    
33          4         1           72.4300     0.062835    0.041610    2.179383    
34          0         1           69.8900     0.041038    0.057785    2.710731    
34          1         1           72.6600     0.064363    0.039502    2.237644    
34          2         1           72.5800     0.047449    0.041190    2.285677    
34          3         1           72.8900     0.074249    0.039846    2.152094    
34          4         1           72.4600     0.073573    0.041210    2.244606    
35          0         1           69.8200     0.043902    0.056885    2.643930    
35          1         1           72.4700     0.059611    0.036034    2.140018    
35          2         1           72.5500     0.063245    0.040482    2.329057    
35          3         1           72.8700     0.071080    0.040314    2.166032    
35          4         1           72.4800     0.062912    0.041210    2.274689    
36          0         1           70.2100     0.049837    0.050915    2.516540    
36          1         1           72.5200     0.064060    0.037212    2.243150    
36          2         1           72.3700     0.063843    0.039834    2.369570    
36          3         1           72.8800     0.065558    0.038236    2.118035    
36          4         1           72.5200     0.065647    0.040678    2.340087    
37          0         1           69.9900     0.048490    0.050839    2.522046    
37          1         1           72.4900     0.084612    0.037659    2.265173    
37          2         1           72.4200     0.065580    0.038026    2.262723    
37          3         1           72.7800     0.067998    0.037224    2.151773    
37          4         1           72.3400     0.057022    0.039027    2.278468    
38          0         1           70.1200     0.046325    0.050688    2.579223    
38          1         1           72.4200     0.072671    0.036886    2.306243    
38          2         1           72.5100     0.074327    0.038118    2.256280    
38          3         1           72.6700     0.072505    0.036517    2.210439    
38          4         1           72.3200     0.071841    0.040185    2.322644    
39          0         1           70.2100     0.050521    0.050287    2.532223    
39          1         1           72.2600     0.094717    0.035768    2.236649    
39          2         1           72.4300     0.067048    0.040550    2.381688    
39          3         1           72.7700     0.081302    0.035847    2.155003    
39          4         1           72.5000     0.071852    0.039611    2.480636    
40          0         1           69.9900     0.049569    0.047502    2.576054    
40          1         1           72.3300     0.091733    0.036714    2.309733    
40          2         1           72.3300     0.066060    0.040486    2.390205    
40          3         1           72.8800     0.081158    0.036274    2.181493    
40          4         1           72.4700     0.082591    0.038961    2.365373    
41          0         1           70.2800     0.052573    0.047539    2.504357    
41          1         1           72.7900     0.100273    0.035995    2.288639    
41          2         1           72.4700     0.080578    0.039593    2.458956    
41          3         1           72.9500     0.092384    0.036697    2.233803    
41          4         1           72.5200     0.078765    0.039490    2.384165    
42          0         1           70.2800     0.050330    0.043053    2.502816    
42          1         1           72.6600     0.097136    0.037693    2.346831    
42          2         1           72.5400     0.068357    0.041153    2.541017    
42          3         1           72.7500     0.089148    0.036341    2.238255    
42          4         1           72.5200     0.101801    0.040407    2.427697    
43          0         1           70.2000     0.047737    0.045750    2.618755    
43          1         1           72.6000     0.106216    0.037860    2.363924    
43          2         1           72.4800     0.064828    0.040562    2.517666    
43          3         1           72.9300     0.116049    0.037126    2.202782    
43          4         1           72.4200     0.083919    0.039881    2.563756    
44          0         1           70.2100     0.056006    0.051055    2.754865    
44          1         1           72.5500     0.098427    0.039631    2.499696    
44          2         1           72.4700     0.092567    0.040876    2.540945    
44          3         1           72.8100     0.102917    0.037296    2.249284    
44          4         1           72.5500     0.083505    0.041223    2.515379    
45          0         1           70.2900     0.062550    0.044379    2.633725    
45          1         1           72.4700     0.085431    0.038268    2.529607    
45          2         1           72.5400     0.083625    0.040571    2.560924    
45          3         1           72.7800     0.096931    0.037829    2.390962    
45          4         1           72.5400     0.141948    0.040517    2.555936    
46          0         1           70.1700     0.062547    0.043845    2.572698    
46          1         1           72.5700     0.137131    0.038821    2.493968    
46          2         1           72.6600     0.110971    0.041576    2.530737    
46          3         1           72.7900     0.105994    0.039024    2.384526    
46          4         1           72.4200     0.104385    0.041929    2.499216    
47          0         1           70.3100     0.049011    0.043000    2.690651    
47          1         1           72.3500     0.120153    0.040058    2.539198    
47          2         1           72.4900     0.103466    0.041917    2.579640    
47          3         1           72.9400     0.152685    0.038090    2.294743    
47          4         1           72.6100     0.137649    0.040947    2.537869    
48          0         1           70.1500     0.065164    0.046307    2.721894    
48          1         1           72.4200     0.141746    0.040968    2.572336    
48          2         1           72.4500     0.113890    0.042240    2.646371    
48          3         1           72.8500     0.129755    0.039035    2.339511    
48          4         1           72.4300     0.121623    0.041434    2.601574    
49          0         1           70.1600     0.074060    0.041818    2.602384    
49          1         1           72.5300     0.135348    0.041446    2.641059    
49          2         1           72.4900     0.109450    0.043698    2.771385    
49          3         1           72.7900     0.136630    0.038417    2.417514    
49          4         1           72.4900     0.093703    0.041862    2.712497    
50          0         1           70.3800     0.046123    0.038645    2.510217    
50          1         1           72.3100     0.110057    0.041806    2.714517    
50          2         1           72.6600     0.065789    0.044991    2.764735    
50          3         1           72.9500     0.159398    0.040658    2.454207    
50          4         1           72.3000     0.128418    0.042514    2.671496    
