GlobalRound	GlobalAccuracy
1	39.2100
2	50.2900
3	50.3500
4	58.1500
5	59.2700
6	62.0000
7	64.4700
8	65.6600
9	67.8200
10	68.9500
11	69.6400
12	71.0100
13	71.6800
14	71.9300
15	72.5200
16	72.7300
17	72.8800
18	72.6700
19	72.5700
20	72.8000
21	72.5700
22	72.4700
23	72.6600
24	72.5800
25	72.6800
26	72.5900
27	72.8200
28	72.6400
29	72.4000
30	72.7400
31	72.4900
32	72.4900
33	72.4600
34	72.5200
35	72.6000
36	72.6600
37	72.4500
38	72.4500
39	72.5100
40	72.5900
41	72.6600
42	72.7400
43	72.6300
44	72.6000
45	72.5900
46	72.5400
47	72.6500
48	72.6400
49	72.5000
50	72.5200
