ClientID	NNPass_Train	TrainLoss	NNPass_Test	TestLoss
0	313	2.118889	313	1.827054
0	626	1.931709	626	1.883624
0	939	1.827521	939	1.672775
0	1252	1.779171	1252	1.614940
0	1565	1.683704	1565	1.964281
0	1878	1.651314	1878	1.508364
0	2191	1.568189	2191	1.544258
0	2504	1.482288	2504	1.763300
0	2817	1.453509	2817	1.467792
0	3130	1.313674	3130	1.313898
0	3443	1.262379	3443	1.250397
0	3756	1.114434	3756	1.220273
0	4069	1.019576	4069	1.254542
0	4382	0.854106	4382	1.368634
0	4695	0.714384	4695	1.124943
0	5008	0.614479	5008	1.146071
0	5321	0.480244	5321	1.160829
0	5634	0.387001	5634	1.196781
0	5947	0.321963	5947	1.231383
0	6260	0.254788	6260	1.265948
0	6573	0.216331	6573	1.306802
0	6886	0.177397	6886	1.378287
0	7199	0.151181	7199	1.430777
0	7512	0.128424	7512	1.477868
0	7825	0.110338	7825	1.515266
0	8138	0.101479	8138	1.540805
0	8451	0.092309	8451	1.570174
0	8764	0.078899	8764	1.597995
0	9077	0.071195	9077	1.676955
0	9390	0.064366	9390	1.705872
0	9703	0.063348	9703	1.742922
0	10016	0.061730	10016	1.740654
0	10329	0.059721	10329	1.817555
0	10642	0.055159	10642	1.841146
0	10955	0.050490	10955	1.860156
0	11268	0.053660	11268	1.920826
0	11581	0.050619	11581	1.918814
0	11894	0.049242	11894	1.972897
0	12207	0.048302	12207	1.987739
0	12520	0.044025	12520	2.009126
0	12833	0.044096	12833	1.998082
0	13146	0.044831	13146	2.075175
0	13459	0.039339	13459	2.078721
0	13772	0.043739	13772	2.091871
0	14085	0.040309	14085	2.109101
0	14398	0.038558	14398	2.132704
0	14711	0.039217	14711	2.170993
0	15024	0.039147	15024	2.191530
0	15337	0.039188	15337	2.213716
0	15650	0.038012	15650	2.242034
1	313	2.065658	313	1.736980
1	626	1.855825	626	1.904291
1	939	1.735162	939	1.751639
1	1252	1.670731	1252	2.104329
1	1565	1.609384	1565	1.466203
1	1878	1.522598	1878	1.425133
1	2191	1.458214	2191	1.560171
1	2504	1.389223	2504	1.317446
1	2817	1.313902	2817	1.455063
1	3130	1.239734	3130	1.378237
1	3443	1.129612	3443	1.414950
1	3756	1.037917	3756	1.269500
1	4069	0.915535	4069	1.145513
1	4382	0.798460	4382	1.158052
1	4695	0.693553	4695	1.131643
1	5008	0.589132	5008	1.130022
1	5321	0.496146	5321	1.128446
1	5634	0.397222	5634	1.223666
1	5947	0.321874	5947	1.316152
