ClientID	NNPass_Train	TrainLoss	NNPass_Test	TestLoss
0	207	1.824769	207	2.659942
0	414	1.642661	414	3.279873
0	621	1.519094	621	2.695964
0	828	1.468840	828	1.895820
0	1035	1.390525	1035	1.900934
0	1242	1.303009	1242	2.255091
0	1449	1.245212	1449	1.911465
0	1656	1.186411	1656	2.016798
0	1863	1.127298	1863	1.709753
0	2070	1.044312	2070	2.693179
0	2277	0.884475	2277	1.380615
0	2484	0.845496	2484	1.487702
0	2691	0.718766	2691	1.494392
0	2898	0.596669	2898	1.436895
0	3105	0.508174	3105	1.488083
0	3312	0.400395	3312	1.400574
0	3519	0.344609	3519	1.428947
0	3726	0.282259	3726	1.275237
0	3933	0.219655	3933	1.382797
0	4140	0.180909	4140	1.509554
0	4347	0.152769	4347	1.453039
0	4554	0.127649	4554	1.623622
0	4761	0.110425	4761	1.553851
0	4968	0.096789	4968	1.482488
0	5175	0.082882	5175	1.643018
0	5382	0.072404	5382	1.572291
0	5589	0.067322	5589	1.636244
0	5796	0.065900	5796	1.675004
0	6003	0.061179	6003	1.728737
0	6210	0.055900	6210	1.730039
0	6417	0.056214	6417	1.701852
0	6624	0.051871	6624	1.799953
0	6831	0.049356	6831	1.787260
0	7038	0.043904	7038	1.832700
0	7245	0.041371	7245	1.909822
0	7452	0.039949	7452	1.948803
0	7659	0.039914	7659	1.945526
0	7866	0.040865	7866	1.946775
0	8073	0.042030	8073	1.887019
0	8280	0.036481	8280	2.006031
0	8487	0.035655	8487	2.050048
0	8694	0.036336	8694	1.962626
0	8901	0.038675	8901	2.010772
0	9108	0.040470	9108	1.991840
0	9315	0.033380	9315	2.049492
0	9522	0.040749	9522	2.151886
0	9729	0.035840	9729	2.099562
0	9936	0.036154	9936	2.124284
0	10143	0.037593	10143	2.137814
0	10350	0.034837	10350	2.123969
1	317	1.520995	317	2.722918
1	634	1.300214	634	2.375881
1	951	1.194666	951	1.990740
1	1268	1.114789	1268	3.336351
1	1585	1.047940	1585	1.856421
1	1902	0.974847	1902	2.340541
1	2219	0.908947	2219	1.896443
1	2536	0.865001	2536	1.743817
1	2853	0.817004	2853	1.685229
1	3170	0.762580	3170	1.529415
1	3487	0.676446	3487	1.520069
1	3804	0.631976	3804	1.682400
1	4121	0.555216	4121	1.504490
1	4438	0.450869	4438	1.819946
1	4755	0.382203	4755	1.541603
1	5072	0.318214	5072	1.468700
1	5389	0.260340	5389	1.505603
1	5706	0.205897	5706	1.614984
1	6023	0.176269	6023	1.726057
1	6340	0.151436	6340	1.731031
1	6657	0.121702	6657	1.860478
1	6974	0.097197	6974	1.803713
1	7291	0.086454	7291	1.879971
1	7608	0.074379	7608	1.851397
1	7925	0.067920	7925	1.869638
1	8242	0.060957	8242	1.975162
1	8559	0.056536	8559	2.032735
1	8876	0.049276	8876	2.032066
1	9193	0.047744	9193	2.118464
1	9510	0.046569	9510	2.116631
1	9827	0.043637	9827	2.146336
1	10144	0.041001	10144	2.089574
1	10461	0.038298	10461	2.255537
1	10778	0.038192	10778	2.191328
1	11095	0.038307	11095	2.291614
1	11412	0.036331	11412	2.281432
1	11729	0.038097	11729	2.251784
1	12046	0.036800	12046	2.381046
1	12363	0.036914	12363	2.393601
1	12680	0.034949	12680	2.331596
1	12997	0.036618	12997	2.448246
1	13314	0.037118	13314	2.447127
1	13631	0.035713	13631	2.500113
1	13948	0.037532	13948	2.454076
1	14265	0.036416	14265	2.540582
1	14582	0.036261	14582	2.553241
1	14899	0.036188	14899	2.514092
1	15216	0.034979	15216	2.559673
1	15533	0.034966	15533	2.679402
1	15850	0.038466	15850	2.599483
2	232	1.586973	232	3.092844
2	464	1.347417	464	3.159362
2	696	1.242928	696	2.585614
2	928	1.151140	928	4.184366
2	1160	1.095234	1160	2.219488
2	1392	1.023660	1392	2.065264
2	1624	0.931236	1624	2.291831
2	1856	0.871329	1856	1.840031
2	2088	0.821728	2088	1.969102
2	2320	0.776716	2320	1.864969
2	2552	0.671429	2552	1.886457
2	2784	0.616129	2784	1.894158
2	3016	0.513520	3016	1.894825
2	3248	0.434040	3248	1.738866
2	3480	0.375608	3480	1.892798
2	3712	0.295697	3712	1.977666
2	3944	0.242468	3944	1.757856
2	4176	0.196177	4176	1.708308
2	4408	0.160839	4408	1.717706
2	4640	0.125528	4640	1.841552
2	4872	0.111394	4872	1.912981
2	5104	0.091360	5104	1.815975
2	5336	0.082106	5336	1.948935
2	5568	0.071515	5568	1.884966
2	5800	0.064215	5800	2.043471
2	6032	0.058086	6032	2.078097
2	6264	0.056214	6264	2.223272
2	6496	0.055587	6496	2.097126
2	6728	0.046540	6728	2.180778
2	6960	0.044390	6960	2.239626
2	7192	0.046801	7192	2.127358
2	7424	0.041931	7424	2.205955
2	7656	0.041865	7656	2.322665
2	7888	0.039985	7888	2.292117
2	8120	0.037310	8120	2.346874
2	8352	0.035830	8352	2.328178
2	8584	0.036462	8584	2.308345
2	8816	0.034188	8816	2.389800
2	9048	0.033806	9048	2.401899
2	9280	0.033085	9280	2.427318
2	9512	0.033473	9512	2.513459
2	9744	0.031533	9744	2.394762
2	9976	0.035680	9976	2.482000
2	10208	0.037191	10208	2.428316
2	10440	0.028946	10440	2.557279
2	10672	0.035956	10672	2.495669
2	10904	0.035583	10904	2.659619
2	11136	0.032959	11136	2.555082
2	11368	0.035587	11368	2.573102
2	11600	0.029738	11600	2.586481
3	404	1.412971	404	4.757284
3	808	1.220530	808	2.837293
3	1212	1.124375	1212	3.238258
3	1616	1.073307	1616	2.132205
3	2020	1.028748	2020	3.241013
3	2424	0.976143	2424	1.975148
3	2828	0.928897	2828	1.936880
