GlobalRnd   ClientID  LocEpoch    Accuracy    LR          Loss        GradNorm    
1           0         1           19.1400     0.147001    1.824769    2.347751    
1           1         1           26.5400     0.090713    1.520995    3.377261    
1           2         1           19.3000     0.097821    1.586973    3.104912    
1           3         1           17.5600     0.054414    1.412971    3.476738    
1           4         1           20.3100     0.095460    1.518124    3.092108    
2           0         1           19.5200     0.179188    1.642661    2.876772    
2           1         1           31.9200     0.104315    1.300214    3.404804    
2           2         1           26.2400     0.114078    1.347417    3.142562    
2           3         1           21.2300     0.093288    1.220530    3.554806    
2           4         1           30.0300     0.128554    1.354370    3.312370    
3           0         1           21.5500     0.192137    1.519094    3.092962    
3           1         1           38.7900     0.128036    1.194666    3.588443    
3           2         1           31.1900     0.147478    1.242928    3.405580    
3           3         1           30.4700     0.135408    1.124375    3.410657    
3           4         1           33.8200     0.147033    1.226572    3.438212    
4           0         1           37.2300     0.214697    1.468840    3.339581    
4           1         1           32.7100     0.168080    1.114789    3.342912    
4           2         1           19.7100     0.163524    1.151140    3.416570    
4           3         1           37.7700     0.187662    1.073307    3.185174    
4           4         1           36.9900     0.172437    1.159937    3.507867    
5           0         1           37.5900     0.248461    1.390525    3.287429    
5           1         1           43.1400     0.190800    1.047940    3.314859    
5           2         1           39.2900     0.198811    1.095234    3.425911    
5           3         1           29.8400     0.217870    1.028748    3.181518    
5           4         1           38.8500     0.209127    1.109661    3.502100    
6           0         1           38.8100     0.274539    1.303009    3.105583    
6           1         1           39.5600     0.212641    0.974847    3.224820    
6           2         1           44.1700     0.213704    1.023660    3.395683    
6           3         1           44.9000     0.221003    0.976143    3.252076    
6           4         1           44.9900     0.212843    1.000387    3.414522    
7           0         1           42.2500     0.276769    1.245212    3.281237    
7           1         1           47.2500     0.215061    0.908947    3.242256    
7           2         1           40.4600     0.212110    0.931236    3.373054    
7           3         1           44.2100     0.255284    0.928897    3.146028    
7           4         1           47.7400     0.243164    0.958549    3.329158    
8           0         1           45.2700     0.285976    1.186411    3.396100    
8           1         1           49.8900     0.222948    0.865001    3.299878    
8           2         1           48.1200     0.235683    0.871329    3.281778    
8           3         1           36.9800     0.246808    0.863060    3.157596    
8           4         1           50.0200     0.231052    0.888804    3.454925    
9           0         1           44.0500     0.281876    1.127298    3.463035    
9           1         1           52.4200     0.234431    0.817004    3.246718    
9           2         1           44.2100     0.236430    0.821728    3.319273    
9           3         1           48.1600     0.265258    0.807194    3.125999    
9           4         1           46.6200     0.227658    0.828515    3.558387    
10          0         1           39.7200     0.278798    1.044312    3.495099    
10          1         1           54.6700     0.227106    0.762580    3.274536    
10          2         1           49.4600     0.228564    0.776716    3.443990    
10          3         1           48.6500     0.242120    0.758906    3.286845    
10          4         1           54.6900     0.221136    0.729345    3.400581    
11          0         1           53.1000     0.231186    0.884475    3.503975    
11          1         1           56.3600     0.210429    0.676446    3.384185    
11          2         1           50.2400     0.214058    0.671429    3.273567    
11          3         1           51.9300     0.258660    0.688245    3.108663    
11          4         1           54.5000     0.209359    0.631086    3.343078    
12          0         1           53.2000     0.226144    0.845496    3.693485    
12          1         1           54.9100     0.209377    0.631976    3.337871    
12          2         1           51.5000     0.202003    0.616129    3.449402    
12          3         1           52.4600     0.216419    0.615793    3.267141    
12          4         1           56.7700     0.191425    0.571671    3.440429    
13          0         1           54.3700     0.211034    0.718766    3.610717    
13          1         1           58.9600     0.185073    0.555216    3.354428    
13          2         1           54.4400     0.176544    0.513520    3.363448    
13          3         1           50.4300     0.187553    0.527704    3.322026    
13          4         1           59.1400     0.169325    0.486292    3.395306    
14          0         1           58.0300     0.171613    0.596669    3.670739    
14          1         1           55.7700     0.162562    0.450869    3.318060    
14          2         1           56.5300     0.148615    0.434040    3.360361    
14          3         1           54.2000     0.160152    0.451469    3.348472    
14          4         1           61.9500     0.137732    0.399246    3.410077    
15          0         1           58.3100     0.148160    0.508174    3.695287    
15          1         1           61.1300     0.136915    0.382203    3.332263    
15          2         1           55.6300     0.143880    0.375608    3.308850    
15          3         1           53.8000     0.135630    0.376889    3.363939    
15          4         1           62.8400     0.117388    0.335353    3.384504    
16          0         1           61.7600     0.115605    0.400395    3.644071    
16          1         1           62.9600     0.112678    0.318214    3.345588    
16          2         1           55.7900     0.116511    0.295697    3.246458    
16          3         1           53.8700     0.114706    0.320830    3.394819    
16          4         1           61.9100     0.106150    0.281413    3.314265    
17          0         1           62.2500     0.102932    0.344609    3.724807    
17          1         1           63.1400     0.097385    0.260340    3.260872    
17          2         1           59.4200     0.089818    0.242468    3.308352    
17          3         1           58.9900     0.094096    0.256624    3.311438    
17          4         1           63.2200     0.084478    0.222369    3.222738    
18          0         1           66.2800     0.091403    0.282259    3.636266    
18          1         1           63.0400     0.077738    0.205897    3.273598    
18          2         1           62.3100     0.087857    0.196177    3.108753    
18          3         1           58.3100     0.077974    0.210828    3.292104    
18          4         1           65.4100     0.073278    0.179081    3.124163    
19          0         1           65.0100     0.072751    0.219655    3.461338    
19          1         1           62.9100     0.072781    0.176269    3.095780    
19          2         1           62.4900     0.070167    0.160839    3.099589    
19          3         1           62.0900     0.067105    0.171870    3.199178    
19          4         1           66.2100     0.068933    0.154968    3.010133    
20          0         1           64.9200     0.068339    0.180909    3.254194    
20          1         1           63.8600     0.067092    0.151436    3.139000    
20          2         1           62.9600     0.061286    0.125528    2.911480    
20          3         1           60.1800     0.062172    0.146997    3.137681    
20          4         1           66.5300     0.061145    0.123942    2.883580    
21          0         1           65.5700     0.062573    0.152769    3.138909    
21          1         1           63.9000     0.055156    0.121702    2.964294    
21          2         1           62.9400     0.053358    0.111394    2.883076    
21          3         1           58.3900     0.057254    0.124469    3.031353    
21          4         1           65.9700     0.058396    0.103676    2.705991    
22          0         1           65.1800     0.056057    0.127649    3.057522    
22          1         1           64.8300     0.051598    0.097197    2.762912    
22          2         1           64.2400     0.048132    0.091360    2.716994    
22          3         1           60.8000     0.051460    0.096953    2.817775    
22          4         1           66.0700     0.053778    0.083604    2.555266    
23          0         1           66.1800     0.049107    0.110425    3.053634    
23          1         1           65.3700     0.046981    0.086454    2.761976    
23          2         1           64.3000     0.049273    0.082106    2.674713    
23          3         1           59.4300     0.046696    0.085774    2.756582    
23          4         1           67.4400     0.047788    0.072191    2.554867    
24          0         1           67.7000     0.046007    0.096789    2.917429    
24          1         1           65.5000     0.045774    0.074379    2.605625    
24          2         1           65.0600     0.043686    0.071515    2.511103    
24          3         1           60.6100     0.045997    0.071696    2.622089    
24          4         1           67.7600     0.049624    0.064419    2.452530    
25          0         1           66.2100     0.044213    0.082882    2.817695    
25          1         1           66.1900     0.042709    0.067920    2.567787    
25          2         1           64.3000     0.040908    0.064215    2.549980    
25          3         1           62.5100     0.044085    0.067976    2.592820    
25          4         1           67.2900     0.047243    0.057673    2.289817    
26          0         1           67.8400     0.042982    0.072404    2.618515    
26          1         1           65.9800     0.042759    0.060957    2.523125    
26          2         1           65.4200     0.045346    0.058086    2.389123    
26          3         1           60.9800     0.043418    0.062034    2.501494    
26          4         1           66.8200     0.049905    0.050144    2.208046    
27          0         1           67.9500     0.040348    0.067322    2.636126    
27          1         1           65.7500     0.040191    0.056536    2.479027    
27          2         1           63.9700     0.041853    0.056214    2.431531    
27          3         1           59.1700     0.039483    0.056349    2.529519    
27          4         1           67.6500     0.044364    0.045773    2.139016    
28          0         1           67.5100     0.040340    0.065900    2.650142    
28          1         1           66.3200     0.041919    0.049276    2.324156    
28          2         1           65.2400     0.036670    0.055587    2.543218    
28          3         1           61.3300     0.043995    0.050999    2.339683    
28          4         1           67.4800     0.044022    0.043438    2.117994    
29          0         1           67.6100     0.042879    0.061179    2.649133    
29          1         1           65.7800     0.039704    0.047744    2.332008    
29          2         1           65.4400     0.041973    0.046540    2.337862    
29          3         1           61.3900     0.041245    0.048109    2.355447    
29          4         1           68.0700     0.043056    0.039641    2.083356    
30          0         1           67.7900     0.038927    0.055900    2.644123    
30          1         1           66.6800     0.042918    0.046569    2.364844    
30          2         1           65.4100     0.038871    0.044390    2.377859    
30          3         1           61.5300     0.046587    0.045644    2.319547    
30          4         1           68.6800     0.046505    0.037781    2.034583    
31          0         1           68.7200     0.036192    0.056214    2.605814    
31          1         1           66.7300     0.043036    0.043637    2.337914    
31          2         1           66.0800     0.040049    0.046801    2.499313    
31          3         1           62.0900     0.043154    0.039637    2.210336    
31          4         1           68.1700     0.045117    0.034025    2.033531    
32          0         1           67.8300     0.037558    0.051871    2.598049    
32          1         1           66.7700     0.048037    0.041001    2.281699    
32          2         1           66.0100     0.041196    0.041931    2.408939    
32          3         1           61.0400     0.043318    0.041294    2.350964    
32          4         1           67.9000     0.048365    0.031797    1.921721    
33          0         1           68.1600     0.037473    0.049356    2.656223    
33          1         1           66.2700     0.048172    0.038298    2.270278    
33          2         1           65.2800     0.041765    0.041865    2.424516    
33          3         1           60.9100     0.050243    0.040400    2.246659    
33          4         1           67.1100     0.049160    0.032086    1.958160    
34          0         1           68.3300     0.035455    0.043904    2.534406    
34          1         1           66.6200     0.042052    0.038192    2.314663    
34          2         1           66.1000     0.045685    0.039985    2.327029    
34          3         1           61.6900     0.043896    0.039144    2.241981    
34          4         1           68.0700     0.050940    0.030200    1.913313    
