ClientID	NNPass_Train	TrainLoss	NNPass_Test	TestLoss
0	313	2.098879	313	1.930807
0	626	1.862987	626	1.702771
0	939	1.728666	939	1.551571
0	1252	1.632412	1252	1.559051
0	1565	1.569316	1565	1.527929
0	1878	1.512266	1878	1.372472
0	2191	1.470090	2191	1.354075
0	2504	1.431200	2504	1.323724
0	2817	1.396747	2817	1.294151
0	3130	1.363936	3130	1.283624
0	3443	1.334656	3443	1.212923
0	3756	1.306846	3756	1.210803
0	4069	1.279509	4069	1.211488
0	4382	1.253434	4382	1.236220
0	4695	1.228051	4695	1.170626
0	5008	1.206374	5008	1.167727
0	5321	1.181463	5321	1.142284
0	5634	1.157434	5634	1.106544
0	5947	1.139593	5947	1.063982
0	6260	1.122219	6260	1.037954
0	6573	1.104956	6573	1.124556
0	6886	1.084849	6886	1.081202
0	7199	1.068572	7199	1.045529
0	7512	1.055392	7512	1.140345
0	7825	1.025825	7825	1.008892
0	8138	1.008008	8138	1.001641
0	8451	0.991393	8451	1.037106
0	8764	0.970966	8764	1.078339
0	9077	0.956037	9077	1.046597
0	9390	0.936010	9390	0.990664
0	9703	0.919115	9703	0.974765
0	10016	0.900399	10016	1.023185
0	10329	0.886043	10329	1.003092
0	10642	0.867242	10642	1.039718
0	10955	0.848317	10955	0.982717
0	11268	0.828752	11268	0.981738
0	11581	0.807346	11581	0.993159
0	11894	0.789171	11894	1.141430
0	12207	0.769558	12207	0.953290
0	12520	0.750648	12520	1.030933
0	12833	0.729282	12833	0.990822
0	13146	0.709271	13146	1.044455
0	13459	0.686833	13459	0.999552
0	13772	0.666203	13772	1.123296
0	14085	0.648089	14085	1.004988
0	14398	0.633649	14398	1.097739
0	14711	0.603242	14711	0.981228
0	15024	0.583122	15024	1.086651
0	15337	0.561992	15337	1.163195
0	15650	0.532171	15650	1.204277
1	313	2.066403	313	1.913742
1	626	1.824628	626	1.730013
1	939	1.688672	939	1.575516
1	1252	1.593407	1252	1.566351
1	1565	1.528276	1565	1.421464
1	1878	1.478928	1878	1.349985
1	2191	1.433902	2191	1.386473
1	2504	1.399157	2504	1.354905
1	2817	1.362623	2817	1.319302
1	3130	1.333953	3130	1.329453
1	3443	1.304339	3443	1.227242
1	3756	1.276627	3756	1.269955
1	4069	1.253187	4069	1.169669
1	4382	1.227005	4382	1.168219
1	4695	1.204078	4695	1.169373
1	5008	1.181333	5008	1.271384
1	5321	1.157919	5321	1.071837
1	5634	1.140597	5634	1.148061
1	5947	1.116521	5947	1.166505
1	6260	1.100539	6260	1.018338
1	6573	1.086058	6573	1.083695
1	6886	1.066684	6886	1.021893
1	7199	1.050489	7199	1.000335
1	7512	1.029979	7512	1.029968
1	7825	1.010780	7825	1.003865
1	8138	0.991151	8138	1.025092
1	8451	0.975305	8451	0.997876
1	8764	0.956244	8764	0.990767
1	9077	0.943322	9077	1.037307
1	9390	0.920857	9390	1.058372
1	9703	0.903238	9703	0.994509
1	10016	0.889480	10016	1.012421
1	10329	0.874156	10329	0.971584
1	10642	0.853142	10642	0.904753
1	10955	0.835678	10955	1.011965
1	11268	0.813804	11268	0.972746
1	11581	0.796435	11581	0.953867
1	11894	0.779546	11894	0.996458
1	12207	0.759615	12207	1.015518
1	12520	0.740358	12520	1.017485
1	12833	0.720104	12833	0.996431
1	13146	0.698819	13146	1.034699
1	13459	0.681744	13459	0.961212
1	13772	0.661525	13772	0.985180
1	14085	0.642080	14085	0.964988
1	14398	0.626169	14398	1.002120
1	14711	0.598420	14711	1.043149
1	15024	0.579713	15024	1.181786
1	15337	0.558850	15337	1.095981
1	15650	0.542509	15650	1.045662
2	313	2.129294	313	1.945933
2	626	1.926930	626	1.817691
2	939	1.813744	939	1.628417
2	1252	1.737256	1252	1.509796
2	1565	1.683843	1565	1.487030
2	1878	1.644168	1878	1.446175
2	2191	1.612003	2191	1.363389
2	2504	1.584436	2504	1.392940
2	2817	1.558512	2817	1.307663
2	3130	1.535602	3130	1.318597
2	3443	1.508051	3443	1.263630
2	3756	1.490585	3756	1.298192
2	4069	1.468462	4069	1.251999
2	4382	1.451074	4382	1.248975
2	4695	1.432660	4695	1.154262
2	5008	1.413665	5008	1.185877
2	5321	1.396004	5321	1.223384
2	5634	1.379167	5634	1.113203
2	5947	1.361227	5947	1.137399
2	6260	1.348910	6260	1.158201
2	6573	1.332453	6573	1.128044
2	6886	1.317958	6886	1.119911
2	7199	1.299077	7199	1.080631
2	7512	1.286444	7512	1.044809
2	7825	1.270850	7825	1.069639
2	8138	1.256706	8138	1.119288
2	8451	1.239835	8451	1.034323
2	8764	1.224367	8764	1.041519
2	9077	1.211007	9077	1.047164
2	9390	1.190964	9390	1.055756
2	9703	1.177330	9703	1.065449
2	10016	1.159922	10016	1.081602
2	10329	1.142664	10329	0.972905
2	10642	1.125650	10642	0.999756
2	10955	1.100349	10955	1.060821
2	11268	1.084286	11268	1.095504
2	11581	1.068415	11581	1.099066
2	11894	1.049338	11894	1.050355
2	12207	1.029941	12207	1.040210
2	12520	1.007522	12520	1.054853
2	12833	0.987545	12833	1.072349
2	13146	0.970742	13146	1.042072
2	13459	0.944243	13459	1.036785
2	13772	0.917860	13772	1.077720
2	14085	0.898340	14085	1.027568
2	14398	0.872766	14398	1.083499
2	14711	0.847875	14711	1.063812
2	15024	0.824748	15024	1.036521
2	15337	0.796537	15337	1.039953
2	15650	0.772756	15650	1.120003
3	313	2.060134	313	1.919922
3	626	1.785039	626	1.696132
3	939	1.625596	939	1.553435
3	1252	1.507967	1252	1.454964
3	1565	1.428286	1565	1.364143
3	1878	1.364371	1878	1.364886
3	2191	1.315179	2191	1.361207
3	2504	1.262573	2504	1.309878
3	2817	1.228356	2817	1.254052
3	3130	1.188853	3130	1.221657
3	3443	1.150216	3443	1.212666
3	3756	1.120671	3756	1.208154
3	4069	1.091095	4069	1.144490
3	4382	1.061313	4382	1.165524
3	4695	1.033187	4695	1.093653
3	5008	1.009153	5008	1.058264
3	5321	0.978876	5321	1.123170
3	5634	0.958837	5634	1.052785
3	5947	0.933943	5947	1.016965
3	6260	0.913486	6260	1.038863
3	6573	0.893856	6573	1.202904
3	6886	0.870774	6886	1.039562
3	7199	0.849707	7199	0.971334
3	7512	0.832555	7512	1.081787
3	7825	0.817183	7825	0.962266
3	8138	0.789633	8138	0.936774
3	8451	0.776078	8451	0.942237
3	8764	0.754828	8764	0.933952
3	9077	0.736769	9077	0.938029
3	9390	0.716826	9390	0.923531
3	9703	0.696467	9703	0.901197
3	10016	0.684287	10016	0.894571
3	10329	0.664017	10329	0.987245
3	10642	0.644726	10642	0.949584
3	10955	0.628897	10955	0.949119
3	11268	0.610926	11268	0.933602
3	11581	0.597351	11581	0.914105
3	11894	0.574846	11894	1.023313
3	12207	0.556238	12207	0.919287
3	12520	0.534803	12520	0.999400
3	12833	0.514802	12833	0.973278
3	13146	0.499514	13146	1.071295
3	13459	0.483723	13459	1.037273
3	13772	0.468156	13772	0.952685
3	14085	0.449917	14085	0.988060
3	14398	0.431871	14398	1.005193
3	14711	0.409987	14711	1.036629
3	15024	0.392168	15024	0.997353
3	15337	0.376857	15337	0.998587
3	15650	0.362619	15650	1.093533
4	313	2.053832	313	1.859155
4	626	1.781105	626	1.668469
4	939	1.624206	939	1.604803
4	1252	1.498954	1252	1.443361
4	1565	1.419736	1565	1.517485
4	1878	1.356178	1878	1.387704
4	2191	1.304219	2191	1.330000
4	2504	1.263885	2504	1.413320
4	2817	1.220913	2817	1.265704
4	3130	1.192100	3130	1.211738
4	3443	1.153306	3443	1.151361
4	3756	1.116387	3756	1.151979
4	4069	1.088157	4069	1.098683
4	4382	1.062203	4382	1.097217
4	4695	1.035891	4695	1.105516
4	5008	1.010980	5008	1.106009
4	5321	0.982082	5321	1.122165
4	5634	0.962700	5634	1.030765
4	5947	0.936807	5947	1.053246
4	6260	0.921387	6260	1.119531
4	6573	0.896877	6573	1.029675
4	6886	0.878020	6886	1.020459
4	7199	0.854720	7199	1.002549
4	7512	0.835952	7512	1.017636
4	7825	0.814456	7825	1.043590
4	8138	0.794915	8138	0.999873
4	8451	0.779400	8451	0.995999
4	8764	0.755196	8764	0.950791
4	9077	0.738893	9077	0.959593
4	9390	0.719439	9390	1.007753
4	9703	0.701262	9703	0.939028
4	10016	0.681584	10016	0.950914
4	10329	0.663383	10329	0.919072
4	10642	0.643109	10642	0.950903
4	10955	0.629153	10955	0.884639
4	11268	0.612812	11268	0.901824
4	11581	0.594385	11581	0.978160
4	11894	0.578486	11894	0.949228
4	12207	0.558067	12207	0.983140
4	12520	0.537622	12520	0.943027
4	12833	0.516312	12833	1.033790
4	13146	0.504924	13146	0.952904
4	13459	0.486415	13459	0.945519
4	13772	0.469180	13772	0.993501
4	14085	0.446282	14085	1.006142
4	14398	0.427588	14398	1.055056
4	14711	0.413301	14711	1.008039
4	15024	0.401565	15024	1.331547
4	15337	0.378180	15337	1.083217
4	15650	0.362038	15650	1.041679
