GlobalRnd   ClientID  LocEpoch    Accuracy    LR          Loss        GradNorm    
1           0         1           29.2800     0.010000    2.098879    0.000000    
1           1         1           32.7100     0.010000    2.066403    0.000000    
1           2         1           28.8200     0.010000    2.129294    0.000000    
1           3         1           31.0100     0.010000    2.060134    0.000000    
1           4         1           33.9400     0.010000    2.053832    0.000000    
2           0         1           38.9100     0.010000    1.862987    0.000000    
2           1         1           39.5200     0.010000    1.824628    0.000000    
2           2         1           32.5000     0.010000    1.926930    0.000000    
2           3         1           38.7100     0.010000    1.785039    0.000000    
2           4         1           41.0600     0.010000    1.781105    0.000000    
3           0         1           45.8700     0.010000    1.728666    0.000000    
3           1         1           44.2700     0.010000    1.688672    0.000000    
3           2         1           43.6100     0.010000    1.813744    0.000000    
3           3         1           44.4000     0.010000    1.625596    0.000000    
3           4         1           41.7400     0.010000    1.624206    0.000000    
4           0         1           43.0600     0.010000    1.632412    0.000000    
4           1         1           43.3900     0.010000    1.593407    0.000000    
4           2         1           48.5500     0.010000    1.737256    0.000000    
4           3         1           48.3700     0.010000    1.507967    0.000000    
4           4         1           47.4500     0.010000    1.498954    0.000000    
5           0         1           45.0900     0.010000    1.569316    0.000000    
5           1         1           49.3000     0.010000    1.528276    0.000000    
5           2         1           47.4500     0.010000    1.683843    0.000000    
5           3         1           51.6400     0.010000    1.428286    0.000000    
5           4         1           44.5700     0.010000    1.419736    0.000000    
6           0         1           51.0300     0.010000    1.512266    0.000000    
6           1         1           52.2700     0.010000    1.478928    0.000000    
6           2         1           49.2100     0.010000    1.644168    0.000000    
6           3         1           50.8100     0.010000    1.364371    0.000000    
6           4         1           50.6500     0.010000    1.356178    0.000000    
7           0         1           51.6400     0.010000    1.470090    0.000000    
7           1         1           51.2500     0.010000    1.433902    0.000000    
7           2         1           53.1900     0.010000    1.612003    0.000000    
7           3         1           51.9200     0.010000    1.315179    0.000000    
7           4         1           52.1000     0.010000    1.304219    0.000000    
8           0         1           53.2800     0.010000    1.431200    0.000000    
8           1         1           53.3800     0.010000    1.399157    0.000000    
8           2         1           50.7900     0.010000    1.584436    0.000000    
8           3         1           51.9900     0.010000    1.262573    0.000000    
8           4         1           49.0800     0.010000    1.263885    0.000000    
9           0         1           53.3000     0.010000    1.396747    0.000000    
9           1         1           53.5700     0.010000    1.362623    0.000000    
9           2         1           54.1400     0.010000    1.558512    0.000000    
9           3         1           54.3300     0.010000    1.228356    0.000000    
9           4         1           54.4900     0.010000    1.220913    0.000000    
10          0         1           54.9000     0.010000    1.363936    0.000000    
10          1         1           52.4200     0.010000    1.333953    0.000000    
10          2         1           53.6900     0.010000    1.535602    0.000000    
10          3         1           56.8000     0.010000    1.188853    0.000000    
10          4         1           56.4800     0.010000    1.192100    0.000000    
11          0         1           57.3300     0.010000    1.334656    0.000000    
11          1         1           56.1100     0.010000    1.304339    0.000000    
11          2         1           57.1500     0.010000    1.508051    0.000000    
11          3         1           56.1000     0.010000    1.150216    0.000000    
11          4         1           59.3700     0.010000    1.153306    0.000000    
12          0         1           58.4500     0.010000    1.306846    0.000000    
12          1         1           54.7000     0.010000    1.276627    0.000000    
12          2         1           56.0200     0.010000    1.490585    0.000000    
12          3         1           57.1600     0.010000    1.120671    0.000000    
12          4         1           58.9700     0.010000    1.116387    0.000000    
13          0         1           56.6300     0.010000    1.279509    0.000000    
13          1         1           59.3900     0.010000    1.253187    0.000000    
13          2         1           58.7100     0.010000    1.468462    0.000000    
13          3         1           59.2000     0.010000    1.091095    0.000000    
