GlobalRound	GlobalAccuracy
1	34.0400
2	42.3600
3	47.1700
4	50.2000
5	52.9700
6	54.4000
7	56.1200
8	56.7400
9	57.5200
10	59.8300
11	60.3700
12	61.2800
13	62.5500
14	63.4600
15	63.8800
16	63.6300
17	65.2300
18	66.0000
19	66.4600
20	66.7500
21	67.4600
22	67.6100
23	68.6000
24	67.8500
25	68.7200
26	69.0700
27	69.1100
28	69.1800
29	70.2200
30	69.4600
31	70.5100
32	70.8900
33	70.0800
34	70.7200
35	71.2200
36	71.1500
37	71.0100
38	70.7200
39	71.5400
40	71.3100
41	71.1600
42	71.6700
43	71.3800
44	70.9100
45	71.1100
46	71.3600
47	71.1500
48	71.1400
49	71.0100
50	71.1600
