GlobalRnd   ClientID  LocEpoch    Accuracy    LR          Loss        GradNorm    
1           0         1           16.0800     0.010000    1.863077    0.000000    
1           1         1           26.2200     0.010000    1.546451    0.000000    
1           2         1           20.0800     0.010000    1.568455    0.000000    
1           3         1           17.5900     0.010000    1.514735    0.000000    
1           4         1           22.0800     0.010000    1.557939    0.000000    
2           0         1           21.1300     0.010000    1.633002    0.000000    
2           1         1           28.9400     0.010000    1.327420    0.000000    
2           2         1           29.7000     0.010000    1.341405    0.000000    
2           3         1           25.6300     0.010000    1.286101    0.000000    
2           4         1           20.2400     0.010000    1.360612    0.000000    
3           0         1           31.8700     0.010000    1.494472    0.000000    
3           1         1           33.6600     0.010000    1.203545    0.000000    
3           2         1           20.1900     0.010000    1.221371    0.000000    
3           3         1           32.2900     0.010000    1.159682    0.000000    
3           4         1           34.0800     0.010000    1.241810    0.000000    
4           0         1           32.3500     0.010000    1.399599    0.000000    
4           1         1           34.8300     0.010000    1.129538    0.000000    
4           2         1           24.7200     0.010000    1.140228    0.000000    
4           3         1           29.1000     0.010000    1.066485    0.000000    
4           4         1           32.9100     0.010000    1.150894    0.000000    
5           0         1           37.3400     0.010000    1.331722    0.000000    
5           1         1           37.3800     0.010000    1.058345    0.000000    
5           2         1           30.0000     0.010000    1.075272    0.000000    
5           3         1           28.0800     0.010000    1.009540    0.000000    
5           4         1           23.7300     0.010000    1.086106    0.000000    
6           0         1           39.1700     0.010000    1.278318    0.000000    
6           1         1           40.3500     0.010000    1.010902    0.000000    
6           2         1           35.0000     0.010000    1.027209    0.000000    
6           3         1           37.1200     0.010000    0.957750    0.000000    
6           4         1           38.0000     0.010000    1.038017    0.000000    
7           0         1           42.8500     0.010000    1.240918    0.000000    
7           1         1           41.9400     0.010000    0.974463    0.000000    
7           2         1           38.1400     0.010000    0.980380    0.000000    
7           3         1           37.6600     0.010000    0.914112    0.000000    
7           4         1           34.5200     0.010000    0.993780    0.000000    
8           0         1           39.0000     0.010000    1.197649    0.000000    
8           1         1           43.2300     0.010000    0.937793    0.000000    
8           2         1           39.4000     0.010000    0.946712    0.000000    
8           3         1           31.2200     0.010000    0.885653    0.000000    
8           4         1           28.4800     0.010000    0.959814    0.000000    
9           0         1           41.3900     0.010000    1.174688    0.000000    
9           1         1           43.2600     0.010000    0.912607    0.000000    
9           2         1           34.4800     0.010000    0.911385    0.000000    
9           3         1           37.3800     0.010000    0.856687    0.000000    
9           4         1           41.1500     0.010000    0.921558    0.000000    
10          0         1           46.7600     0.010000    1.147773    0.000000    
10          1         1           45.5800     0.010000    0.878221    0.000000    
10          2         1           41.8600     0.010000    0.891985    0.000000    
10          3         1           41.4700     0.010000    0.840643    0.000000    
10          4         1           48.5600     0.010000    0.893372    0.000000    
11          0         1           49.0300     0.010000    1.118894    0.000000    
11          1         1           43.8200     0.010000    0.850708    0.000000    
11          2         1           39.2600     0.010000    0.851915    0.000000    
11          3         1           28.3500     0.010000    0.817550    0.000000    
11          4         1           43.7200     0.010000    0.858078    0.000000    
12          0         1           51.8200     0.010000    1.089802    0.000000    
12          1         1           46.2000     0.010000    0.831457    0.000000    
12          2         1           37.6900     0.010000    0.839361    0.000000    
12          3         1           38.7600     0.010000    0.790938    0.000000    
12          4         1           53.1300     0.010000    0.843035    0.000000    
13          0         1           48.2700     0.010000    1.061963    0.000000    
13          1         1           51.5400     0.010000    0.810366    0.000000    
13          2         1           46.6700     0.010000    0.811527    0.000000    
13          3         1           40.4200     0.010000    0.772304    0.000000    
13          4         1           40.5100     0.010000    0.814885    0.000000    
14          0         1           47.6200     0.010000    1.048560    0.000000    
14          1         1           49.9400     0.010000    0.783263    0.000000    
14          2         1           42.3000     0.010000    0.786940    0.000000    
14          3         1           44.5700     0.010000    0.753317    0.000000    
14          4         1           46.3800     0.010000    0.790894    0.000000    
15          0         1           49.7200     0.010000    1.015869    0.000000    
15          1         1           50.9200     0.010000    0.761857    0.000000    
15          2         1           44.8400     0.010000    0.768878    0.000000    
15          3         1           47.8400     0.010000    0.732419    0.000000    
15          4         1           43.1100     0.010000    0.771916    0.000000    
16          0         1           52.3700     0.010000    0.999094    0.000000    
16          1         1           54.8200     0.010000    0.744422    0.000000    
16          2         1           50.3400     0.010000    0.746586    0.000000    
16          3         1           48.6600     0.010000    0.716987    0.000000    
16          4         1           52.2400     0.010000    0.749627    0.000000    
17          0         1           48.8800     0.010000    0.984476    0.000000    
17          1         1           53.5700     0.010000    0.720717    0.000000    
17          2         1           43.9300     0.010000    0.730597    0.000000    
17          3         1           51.0500     0.010000    0.699385    0.000000    
17          4         1           50.9000     0.010000    0.727555    0.000000    
18          0         1           54.2200     0.010000    0.959453    0.000000    
18          1         1           54.1700     0.010000    0.704678    0.000000    
18          2         1           35.0000     0.010000    0.709518    0.000000    
18          3         1           44.4600     0.010000    0.680797    0.000000    
18          4         1           48.4300     0.010000    0.714486    0.000000    
19          0         1           53.5800     0.010000    0.934415    0.000000    
19          1         1           49.6500     0.010000    0.691477    0.000000    
19          2         1           31.1200     0.010000    0.700378    0.000000    
19          3         1           41.7400     0.010000    0.667942    0.000000    
19          4         1           44.8000     0.010000    0.693327    0.000000    
20          0         1           54.3300     0.010000    0.917108    0.000000    
20          1         1           50.7300     0.010000    0.672863    0.000000    
20          2         1           48.5200     0.010000    0.675905    0.000000    
20          3         1           45.3800     0.010000    0.653835    0.000000    
20          4         1           52.3400     0.010000    0.677389    0.000000    
21          0         1           56.1900     0.010000    0.894019    0.000000    
21          1         1           53.2300     0.010000    0.664063    0.000000    
21          2         1           45.8200     0.010000    0.662789    0.000000    
21          3         1           50.3500     0.010000    0.641050    0.000000    
21          4         1           50.1000     0.010000    0.659352    0.000000    
22          0         1           39.6100     0.010000    0.881903    0.000000    
22          1         1           56.7600     0.010000    0.647435    0.000000    
22          2         1           43.9400     0.010000    0.653700    0.000000    
22          3         1           41.8100     0.010000    0.625951    0.000000    
22          4         1           50.9500     0.010000    0.645315    0.000000    
23          0         1           51.6600     0.010000    0.859084    0.000000    
23          1         1           54.7700     0.010000    0.624838    0.000000    
23          2         1           56.0400     0.010000    0.631860    0.000000    
23          3         1           40.4200     0.010000    0.614446    0.000000    
23          4         1           58.5700     0.010000    0.630085    0.000000    
24          0         1           54.6200     0.010000    0.844460    0.000000    
24          1         1           56.5400     0.010000    0.622238    0.000000    
24          2         1           53.9700     0.010000    0.623049    0.000000    
24          3         1           45.7800     0.010000    0.601374    0.000000    
24          4         1           53.0300     0.010000    0.615108    0.000000    
25          0         1           52.0400     0.010000    0.832665    0.000000    
25          1         1           54.8400     0.010000    0.601772    0.000000    
25          2         1           50.9700     0.010000    0.604909    0.000000    
25          3         1           44.5000     0.010000    0.588784    0.000000    
25          4         1           57.3500     0.010000    0.598860    0.000000    
26          0         1           56.9900     0.010000    0.818125    0.000000    
26          1         1           54.3200     0.010000    0.589796    0.000000    
26          2         1           53.8500     0.010000    0.590041    0.000000    
26          3         1           46.4100     0.010000    0.571254    0.000000    
26          4         1           48.3100     0.010000    0.581655    0.000000    
27          0         1           54.4900     0.010000    0.804352    0.000000    
27          1         1           53.9800     0.010000    0.574324    0.000000    
27          2         1           51.0500     0.010000    0.580952    0.000000    
27          3         1           48.9600     0.010000    0.560286    0.000000    
27          4         1           59.9800     0.010000    0.569136    0.000000    
28          0         1           49.3000     0.010000    0.780356    0.000000    
28          1         1           59.1100     0.010000    0.564186    0.000000    
28          2         1           47.0700     0.010000    0.556204    0.000000    
28          3         1           48.3200     0.010000    0.544294    0.000000    
28          4         1           54.0300     0.010000    0.557715    0.000000    
29          0         1           56.6200     0.010000    0.768059    0.000000    
29          1         1           58.4500     0.010000    0.552693    0.000000    
29          2         1           50.9000     0.010000    0.550334    0.000000    
29          3         1           50.1200     0.010000    0.535334    0.000000    
29          4         1           55.4700     0.010000    0.539933    0.000000    
30          0         1           60.6200     0.010000    0.747219    0.000000    
30          1         1           59.5500     0.010000    0.535610    0.000000    
30          2         1           41.9900     0.010000    0.540444    0.000000    
