GlobalRnd   ClientID  LocEpoch    Accuracy    LR          Loss        GradNorm    
1           0         1           34.1000     0.254472    2.118889    2.545964    
1           1         1           35.3800     0.234847    2.046046    2.788265    
1           2         1           27.3500     0.199819    2.013669    2.911463    
1           3         1           33.2400     0.218039    2.012608    2.744677    
1           4         1           40.2800     0.221305    1.976816    2.679353    
2           0         1           33.6100     0.262045    1.915073    3.012115    
2           1         1           43.2800     0.213251    1.733150    3.170752    
2           2         1           30.1000     0.220039    1.741093    3.250196    
2           3         1           41.7200     0.222220    1.752423    3.241070    
2           4         1           43.9000     0.235931    1.754277    3.250313    
3           0         1           44.4300     0.315717    1.791529    2.965517    
3           1         1           42.0300     0.263444    1.625353    3.412794    
3           2         1           38.3100     0.271907    1.652377    3.274599    
3           3         1           45.4700     0.284406    1.630331    3.270052    
3           4         1           38.1000     0.284785    1.636127    3.205107    
4           0         1           29.2100     0.342359    1.703200    3.134388    
4           1         1           46.0800     0.305497    1.514581    3.267369    
4           2         1           48.1500     0.316480    1.512549    3.278606    
4           3         1           48.6700     0.311514    1.560273    3.375879    
4           4         1           48.6400     0.301399    1.506780    3.229351    
5           0         1           38.7300     0.358815    1.722360    3.482004    
5           1         1           49.4600     0.322629    1.428660    3.393762    
5           2         1           43.6800     0.313263    1.436314    3.403162    
5           3         1           52.8400     0.318446    1.442915    3.401709    
5           4         1           40.5100     0.319595    1.433810    3.457324    
6           0         1           45.1900     0.382646    1.591509    3.261350    
6           1         1           51.4200     0.345152    1.331431    3.396976    
6           2         1           51.7200     0.338742    1.330355    3.322867    
6           3         1           49.8100     0.335243    1.330714    3.388673    
6           4         1           54.7700     0.331176    1.353146    3.420690    
7           0         1           49.6700     0.400443    1.568773    3.360781    
7           1         1           56.5700     0.343331    1.246453    3.382172    
7           2         1           57.1400     0.328394    1.247680    3.440530    
7           3         1           56.0300     0.334859    1.259121    3.508997    
7           4         1           58.2200     0.343091    1.236465    3.391034    
8           0         1           52.4300     0.391467    1.467753    3.503486    
8           1         1           57.4000     0.336906    1.132368    3.301677    
8           2         1           53.2200     0.330903    1.157486    3.491191    
8           3         1           58.2900     0.326314    1.129762    3.455923    
8           4         1           56.3600     0.332805    1.142606    3.367531    
9           0         1           54.1100     0.370953    1.383334    3.552315    
9           1         1           60.8900     0.309922    1.043689    3.518133    
9           2         1           57.6500     0.326925    1.058005    3.498999    
9           3         1           53.3600     0.306976    1.026026    3.511209    
9           4         1           53.2600     0.324582    1.057076    3.463583    
10          0         1           51.3900     0.378380    1.301271    3.548211    
10          1         1           62.5000     0.292963    0.920095    3.475364    
10          2         1           61.0200     0.286283    0.918855    3.522392    
10          3         1           61.0100     0.293715    0.926176    3.550689    
10          4         1           61.6200     0.286765    0.937744    3.570967    
11          0         1           58.4400     0.334742    1.199519    3.668215    
11          1         1           62.8600     0.259022    0.802971    3.505194    
11          2         1           63.6900     0.256208    0.828815    3.634200    
11          3         1           66.1400     0.241589    0.777572    3.555745    
11          4         1           64.2900     0.251071    0.809392    3.585412    
12          0         1           58.3300     0.310445    1.116223    3.737583    
12          1         1           66.3600     0.226042    0.691580    3.526917    
12          2         1           65.1900     0.220847    0.689249    3.615497    
12          3         1           64.8000     0.206383    0.672647    3.630621    
12          4         1           63.6900     0.236627    0.711463    3.559010    
13          0         1           58.5400     0.280686    1.019698    3.859503    
13          1         1           66.7000     0.181209    0.558579    3.540456    
13          2         1           67.8300     0.185238    0.560498    3.537777    
13          3         1           67.3500     0.175872    0.545586    3.618180    
13          4         1           66.0000     0.185599    0.566397    3.527836    
14          0         1           62.1900     0.228441    0.886853    3.982599    
14          1         1           68.7200     0.160490    0.460758    3.464908    
14          2         1           68.1300     0.154625    0.448338    3.496698    
14          3         1           69.6700     0.140480    0.429957    3.620128    
14          4         1           68.9900     0.163986    0.486856    3.571041    
15          0         1           64.1000     0.195304    0.811877    4.201326    
15          1         1           69.4800     0.123009    0.363752    3.520038    
15          2         1           70.2800     0.126352    0.366574    3.488378    
15          3         1           70.6600     0.122443    0.336165    3.448474    
15          4         1           70.1100     0.133020    0.370888    3.488220    
16          0         1           65.7600     0.163353    0.723385    4.301254    
16          1         1           70.7400     0.107272    0.289932    3.402628    
16          2         1           69.2300     0.102137    0.273784    3.272983    
16          3         1           70.9600     0.104524    0.261704    3.262374    
16          4         1           70.7600     0.110992    0.300698    3.481751    
17          0         1           66.1500     0.141020    0.652366    4.495347    
17          1         1           71.3900     0.090678    0.220754    3.169469    
17          2         1           72.0600     0.088928    0.214287    3.167389    
17          3         1           71.3800     0.085295    0.203048    3.156890    
17          4         1           71.6100     0.087821    0.234314    3.321306    
18          0         1           64.7400     0.120124    0.584804    4.589545    
18          1         1           71.9100     0.077274    0.173815    3.072799    
18          2         1           72.1000     0.078467    0.180981    3.096728    
18          3         1           72.1100     0.077622    0.162432    2.953035    
18          4         1           71.0300     0.081205    0.190150    3.211369    
19          0         1           68.1300     0.100877    0.521195    4.713199    
19          1         1           72.1500     0.071803    0.140507    2.870133    
19          2         1           72.4400     0.071115    0.137921    2.859414    
19          3         1           72.6400     0.071746    0.130680    2.828504    
19          4         1           72.0300     0.070199    0.151539    3.018140    
20          0         1           68.4500     0.086710    0.470454    4.762887    
20          1         1           72.3800     0.064820    0.114321    2.764235    
20          2         1           73.0900     0.067966    0.113873    2.720032    
20          3         1           72.4000     0.066212    0.104805    2.613650    
20          4         1           72.4300     0.060492    0.119233    2.878394    
21          0         1           68.5000     0.073787    0.437400    5.006655    
21          1         1           72.4500     0.060328    0.094229    2.650979    
21          2         1           72.8400     0.060604    0.090712    2.462354    
21          3         1           72.4800     0.063593    0.086749    2.496445    
21          4         1           72.2500     0.056234    0.101647    2.795337    
22          0         1           67.2800     0.069008    0.410064    5.058064    
22          1         1           72.5200     0.053870    0.080991    2.552193    
22          2         1           72.9000     0.056304    0.079620    2.455974    
22          3         1           72.7700     0.056257    0.073146    2.347326    
22          4         1           72.4000     0.057413    0.086701    2.671705    
23          0         1           68.4100     0.063962    0.379413    5.036369    
23          1         1           72.6800     0.055319    0.068772    2.448444    
23          2         1           72.9500     0.057052    0.066485    2.254427    
23          3         1           73.0600     0.058649    0.062522    2.228955    
23          4         1           72.9100     0.056772    0.077514    2.533960    
24          0         1           68.3400     0.055193    0.363075    5.224929    
24          1         1           73.3000     0.055571    0.058612    2.272246    
24          2         1           72.9500     0.059412    0.061316    2.207878    
24          3         1           73.1800     0.059078    0.057349    2.170901    
24          4         1           72.8400     0.054586    0.066745    2.431016    
25          0         1           69.0600     0.052234    0.341622    5.236870    
25          1         1           72.9900     0.054536    0.052562    2.213389    
25          2         1           73.3300     0.058306    0.055475    2.153549    
25          3         1           72.8200     0.061453    0.051239    2.051053    
25          4         1           72.4100     0.047205    0.059589    2.366684    
26          0         1           68.1100     0.049184    0.324820    5.263229    
26          1         1           73.1200     0.053884    0.047449    2.126125    
26          2         1           73.2400     0.064730    0.051287    2.119900    
26          3         1           73.0300     0.060470    0.050323    2.054434    
26          4         1           72.9000     0.058801    0.054282    2.278517    
27          0         1           67.9300     0.047951    0.312213    5.318813    
27          1         1           73.0400     0.048703    0.045283    2.188536    
27          2         1           72.9600     0.055390    0.048713    2.144923    
27          3         1           73.2400     0.063886    0.043823    2.057369    
27          4         1           72.9900     0.049595    0.050415    2.285547    
28          0         1           68.5800     0.044053    0.300743    5.380434    
28          1         1           72.9500     0.049799    0.043561    2.151240    
28          2         1           73.1600     0.066937    0.044424    2.041942    
28          3         1           73.2800     0.052672    0.039533    1.995343    
28          4         1           72.9600     0.049298    0.047550    2.277787    
29          0         1           67.3400     0.040965    0.280774    5.381286    
29          1         1           73.1000     0.060488    0.040957    2.184974    
29          2         1           73.2200     0.064113    0.042547    1.996954    
29          3         1           73.0700     0.063584    0.037979    1.913451    
29          4         1           73.1300     0.052803    0.045088    2.256036    
30          0         1           68.5500     0.036501    0.275397    5.511719    
30          1         1           72.8600     0.066942    0.040132    2.109946    
30          2         1           73.1200     0.071134    0.039478    1.996437    
30          3         1           73.1400     0.077788    0.037818    1.929400    
30          4         1           73.1800     0.050623    0.043822    2.258231    
31          0         1           68.5300     0.036174    0.258632    5.413805    
31          1         1           73.1000     0.072472    0.039553    2.154104    
31          2         1           73.1600     0.077502    0.039772    2.000089    
31          3         1           73.2100     0.068596    0.036539    1.982035    
31          4         1           73.0500     0.064104    0.042782    2.144578    
32          0         1           69.0000     0.035002    0.258790    5.571421    
32          1         1           73.0700     0.058762    0.038277    2.189035    
32          2         1           73.2700     0.068223    0.037912    2.085359    
32          3         1           73.1400     0.077567    0.035291    1.911811    
32          4         1           73.0700     0.064232    0.043191    2.295535    
33          0         1           68.4300     0.032577    0.247186    5.607803    
33          1         1           72.9800     0.063455    0.037440    2.127311    
33          2         1           73.1000     0.080045    0.038567    2.058587    
33          3         1           73.0600     0.091951    0.034657    1.960850    
33          4         1           73.0800     0.067384    0.039615    2.218155    
34          0         1           68.1400     0.031384    0.240028    5.526142    
34          1         1           73.0600     0.072208    0.037389    2.163068    
34          2         1           73.0200     0.080152    0.038541    2.045804    
34          3         1           73.2300     0.071781    0.035643    2.120076    
34          4         1           73.0600     0.084959    0.041315    2.217007    
35          0         1           69.0300     0.031043    0.236949    5.553286    
35          1         1           73.1300     0.063240    0.036316    2.213964    
35          2         1           73.0600     0.076852    0.036648    2.007393    
35          3         1           73.3300     0.110639    0.035419    2.064221    
35          4         1           73.1700     0.078918    0.039865    2.247690    
36          0         1           68.6500     0.029024    0.231988    5.684617    
36          1         1           73.2600     0.076494    0.036645    2.157923    
36          2         1           73.1300     0.090149    0.038937    2.167357    
36          3         1           73.3600     0.127892    0.034585    2.008014    
36          4         1           72.9500     0.064679    0.039546    2.331120    
37          0         1           69.1800     0.027926    0.224070    5.697948    
37          1         1           73.2300     0.086131    0.035246    2.185774    
37          2         1           73.2100     0.101072    0.036817    2.110227    
37          3         1           73.3100     0.081344    0.036325    2.147157    
37          4         1           73.2300     0.084397    0.040702    2.258623    
38          0         1           68.4300     0.028981    0.215184    5.553569    
38          1         1           73.2000     0.088543    0.036125    2.287296    
38          2         1           73.2900     0.100909    0.038460    2.112583    
38          3         1           73.3400     0.126279    0.036212    2.172741    
38          4         1           73.1200     0.082563    0.040935    2.330189    
39          0         1           69.1800     0.026790    0.207612    5.662582    
39          1         1           73.0600     0.079059    0.037330    2.290632    
39          2         1           73.1400     0.089619    0.037895    2.190750    
39          3         1           73.1500     0.135665    0.035325    2.144178    
39          4         1           73.1000     0.081784    0.039927    2.337667    
40          0         1           67.7300     0.024623    0.220749    5.956328    
40          1         1           73.0200     0.071456    0.035561    2.267529    
40          2         1           73.2900     0.109836    0.039735    2.255761    
40          3         1           73.2200     0.158057    0.037185    2.185029    
40          4         1           72.9100     0.111760    0.041125    2.329171    
41          0         1           69.5300     0.025164    0.197549    5.580885    
41          1         1           73.3600     0.084915    0.034760    2.285914    
41          2         1           73.1700     0.112384    0.039304    2.228017    
41          3         1           73.2300     0.156651    0.037392    2.206471    
41          4         1           72.9800     0.095311    0.040827    2.444722    
42          0         1           68.4900     0.023833    0.193948    5.582227    
42          1         1           73.2600     0.130082    0.036339    2.347639    
42          2         1           73.3100     0.127975    0.038208    2.273704    
42          3         1           73.2700     0.155045    0.038824    2.297487    
42          4         1           73.1000     0.093217    0.041218    2.441431    
43          0         1           68.4300     0.024365    0.185091    5.559461    
43          1         1           73.2100     0.124352    0.035200    2.297622    
43          2         1           73.4000     0.116056    0.039439    2.312546    
43          3         1           73.3300     0.164170    0.039674    2.269724    
43          4         1           73.1800     0.107938    0.042998    2.502568    
44          0         1           68.0400     0.021417    0.194492    5.932777    
44          1         1           73.2700     0.117902    0.033467    2.314251    
44          2         1           73.4100     0.156876    0.040145    2.292425    
44          3         1           73.4500     0.153672    0.038525    2.278238    
44          4         1           72.9400     0.141305    0.042666    2.415797    
45          0         1           68.3500     0.023934    0.184152    5.776529    
45          1         1           73.3200     0.126683    0.035006    2.369149    
45          2         1           73.2100     0.130253    0.041020    2.418242    
45          3         1           73.2800     0.186176    0.038982    2.345803    
45          4         1           73.2800     0.122953    0.043304    2.612514    
46          0         1           69.0600     0.022267    0.177642    5.824088    
46          1         1           73.0700     0.146153    0.035407    2.383724    
46          2         1           73.0500     0.170180    0.040601    2.359057    
46          3         1           73.4500     0.209536    0.039767    2.314935    
46          4         1           73.3300     0.146175    0.042415    2.491997    
47          0         1           69.0600     0.021698    0.179377    5.857154    
47          1         1           73.3500     0.102836    0.037321    2.465137    
47          2         1           73.2900     0.145478    0.041056    2.405680    
47          3         1           73.2100     0.218273    0.040421    2.418437    
47          4         1           73.1600     0.162297    0.041815    2.449948    
48          0         1           68.8000     0.019556    0.167896    5.787033    
48          1         1           73.0300     0.113546    0.036566    2.502633    
48          2         1           73.2000     0.148785    0.041992    2.423069    
48          3         1           73.1400     0.189806    0.040760    2.464314    
48          4         1           73.0800     0.157403    0.041726    2.500989    
49          0         1           68.8500     0.020897    0.169458    5.692216    
49          1         1           73.1700     0.154842    0.036917    2.529545    
49          2         1           73.1600     0.239495    0.042429    2.537162    
49          3         1           73.2900     0.231699    0.041293    2.474893    
49          4         1           72.9800     0.170656    0.043478    2.591646    
50          0         1           68.8000     0.021526    0.178196    5.808255    
50          1         1           73.0200     0.137895    0.036799    2.580434    
50          2         1           73.3700     0.155514    0.042371    2.540368    
50          3         1           73.1200     0.205512    0.043082    2.583454    
50          4         1           73.0400     0.103319    0.043142    2.649226    
