GlobalRnd   ClientID  LocEpoch    Accuracy    LR          Loss        GradNorm    
1           0         1           29.2800     0.010000    2.098879    0.000000    
1           1         1           33.2700     0.010000    2.054330    0.000000    
1           2         1           32.4400     0.010000    2.053648    0.000000    
1           3         1           31.0100     0.010000    2.060134    0.000000    
1           4         1           33.9400     0.010000    2.053832    0.000000    
2           0         1           39.4500     0.010000    1.853308    0.000000    
2           1         1           41.5600     0.010000    1.764425    0.000000    
2           2         1           37.1700     0.010000    1.763839    0.000000    
2           3         1           39.0000     0.010000    1.772992    0.000000    
2           4         1           41.4400     0.010000    1.769154    0.000000    
3           0         1           46.2200     0.010000    1.714261    0.000000    
3           1         1           44.5400     0.010000    1.599498    0.000000    
3           2         1           46.1600     0.010000    1.597925    0.000000    
3           3         1           45.2900     0.010000    1.606280    0.000000    
3           4         1           41.8700     0.010000    1.605433    0.000000    
4           0         1           43.7700     0.010000    1.616121    0.000000    
4           1         1           46.9800     0.010000    1.477315    0.000000    
4           2         1           47.8900     0.010000    1.481616    0.000000    
4           3         1           48.9900     0.010000    1.486395    0.000000    
4           4         1           47.9100     0.010000    1.476483    0.000000    
5           0         1           46.2800     0.010000    1.553404    0.000000    
5           1         1           50.4500     0.010000    1.400675    0.000000    
5           2         1           50.8500     0.010000    1.396426    0.000000    
5           3         1           52.1900     0.010000    1.405187    0.000000    
5           4         1           45.6100     0.010000    1.396900    0.000000    
6           0         1           51.6800     0.010000    1.496134    0.000000    
6           1         1           52.9700     0.010000    1.337390    0.000000    
6           2         1           50.8700     0.010000    1.331954    0.000000    
6           3         1           51.6600     0.010000    1.341092    0.000000    
6           4         1           51.0700     0.010000    1.333075    0.000000    
7           0         1           51.7900     0.010000    1.452765    0.000000    
7           1         1           53.0900     0.010000    1.285029    0.000000    
7           2         1           55.6200     0.010000    1.282214    0.000000    
7           3         1           52.9300     0.010000    1.290899    0.000000    
7           4         1           52.8400     0.010000    1.280319    0.000000    
8           0         1           53.9700     0.010000    1.413129    0.000000    
8           1         1           54.3500     0.010000    1.244874    0.000000    
8           2         1           54.1800     0.010000    1.239582    0.000000    
8           3         1           52.7700     0.010000    1.236254    0.000000    
8           4         1           50.1700     0.010000    1.239762    0.000000    
9           0         1           54.5600     0.010000    1.379335    0.000000    
9           1         1           53.6900     0.010000    1.199479    0.000000    
9           2         1           54.5900     0.010000    1.195738    0.000000    
9           3         1           55.1600     0.010000    1.202003    0.000000    
9           4         1           54.9700     0.010000    1.194804    0.000000    
10          0         1           56.1000     0.010000    1.344889    0.000000    
10          1         1           54.1800     0.010000    1.166846    0.000000    
10          2         1           56.3500     0.010000    1.155255    0.000000    
10          3         1           57.1700     0.010000    1.161046    0.000000    
10          4         1           56.9900     0.010000    1.165876    0.000000    
11          0         1           57.9000     0.010000    1.316492    0.000000    
11          1         1           58.3700     0.010000    1.133565    0.000000    
11          2         1           59.7700     0.010000    1.125261    0.000000    
11          3         1           56.9300     0.010000    1.121405    0.000000    
11          4         1           60.3200     0.010000    1.125944    0.000000    
12          0         1           59.5500     0.010000    1.287154    0.000000    
12          1         1           55.9600     0.010000    1.101567    0.000000    
12          2         1           59.2100     0.010000    1.092373    0.000000    
12          3         1           58.1700     0.010000    1.090979    0.000000    
12          4         1           59.8900     0.010000    1.087605    0.000000    
13          0         1           57.6000     0.010000    1.260994    0.000000    
13          1         1           60.3700     0.010000    1.069553    0.000000    
13          2         1           60.8600     0.010000    1.060785    0.000000    
13          3         1           59.8900     0.010000    1.060217    0.000000    
13          4         1           61.9600     0.010000    1.058232    0.000000    
14          0         1           57.3500     0.010000    1.234648    0.000000    
14          1         1           60.1400     0.010000    1.043174    0.000000    
14          2         1           56.2300     0.010000    1.032612    0.000000    
14          3         1           59.9400     0.010000    1.030139    0.000000    
14          4         1           61.9400     0.010000    1.031213    0.000000    
15          0         1           59.3700     0.010000    1.208896    0.000000    
15          1         1           61.9800     0.010000    1.015975    0.000000    
15          2         1           62.2400     0.010000    1.002227    0.000000    
15          3         1           62.3300     0.010000    1.001054    0.000000    
15          4         1           62.1900     0.010000    1.005307    0.000000    
16          0         1           58.7900     0.010000    1.187779    0.000000    
16          1         1           59.0600     0.010000    0.988931    0.000000    
16          2         1           62.2300     0.010000    0.976848    0.000000    
16          3         1           63.2900     0.010000    0.976187    0.000000    
16          4         1           61.6700     0.010000    0.979996    0.000000    
17          0         1           60.4300     0.010000    1.162840    0.000000    
17          1         1           59.8700     0.010000    0.962319    0.000000    
17          2         1           63.3200     0.010000    0.946340    0.000000    
17          3         1           60.9700     0.010000    0.945088    0.000000    
17          4         1           60.3400     0.010000    0.949608    0.000000    
18          0         1           62.0500     0.010000    1.140919    0.000000    
18          1         1           62.9800     0.010000    0.942051    0.000000    
18          2         1           63.4700     0.010000    0.930237    0.000000    
18          3         1           64.2900     0.010000    0.924926    0.000000    
18          4         1           65.2400     0.010000    0.929093    0.000000    
19          0         1           63.0200     0.010000    1.120841    0.000000    
19          1         1           60.5300     0.010000    0.915945    0.000000    
19          2         1           63.4100     0.010000    0.904012    0.000000    
19          3         1           65.3300     0.010000    0.898530    0.000000    
19          4         1           64.0300     0.010000    0.903324    0.000000    
20          0         1           65.0400     0.010000    1.104636    0.000000    
20          1         1           66.0200     0.010000    0.896563    0.000000    
20          2         1           64.7100     0.010000    0.884839    0.000000    
20          3         1           64.7000     0.010000    0.878196    0.000000    
20          4         1           61.7100     0.010000    0.885990    0.000000    
21          0         1           60.3100     0.010000    1.086398    0.000000    
21          1         1           65.5900     0.010000    0.876349    0.000000    
21          2         1           64.6500     0.010000    0.859229    0.000000    
21          3         1           61.3800     0.010000    0.858045    0.000000    
21          4         1           64.0600     0.010000    0.861804    0.000000    
22          0         1           62.1700     0.010000    1.066839    0.000000    
22          1         1           66.6100     0.010000    0.856960    0.000000    
22          2         1           64.8300     0.010000    0.842191    0.000000    
22          3         1           65.5700     0.010000    0.834483    0.000000    
22          4         1           64.8600     0.010000    0.841541    0.000000    
23          0         1           65.7400     0.010000    1.051295    0.000000    
23          1         1           67.1600     0.010000    0.835606    0.000000    
23          2         1           66.6700     0.010000    0.823250    0.000000    
23          3         1           67.3300     0.010000    0.812287    0.000000    
23          4         1           65.6800     0.010000    0.819624    0.000000    
24          0         1           61.7600     0.010000    1.037729    0.000000    
24          1         1           66.2600     0.010000    0.807966    0.000000    
24          2         1           64.5900     0.010000    0.799110    0.000000    
24          3         1           64.3400     0.010000    0.793666    0.000000    
24          4         1           66.2200     0.010000    0.799017    0.000000    
25          0         1           65.7700     0.010000    1.008169    0.000000    
25          1         1           66.6600     0.010000    0.787451    0.000000    
25          2         1           65.8000     0.010000    0.778774    0.000000    
25          3         1           67.1400     0.010000    0.779425    0.000000    
25          4         1           64.5400     0.010000    0.777951    0.000000    
26          0         1           66.0000     0.010000    0.990484    0.000000    
26          1         1           67.7100     0.010000    0.768879    0.000000    
26          2         1           66.0800     0.010000    0.759852    0.000000    
26          3         1           68.2700     0.010000    0.751460    0.000000    
26          4         1           66.6500     0.010000    0.757476    0.000000    
27          0         1           64.8200     0.010000    0.976690    0.000000    
27          1         1           68.8000     0.010000    0.748860    0.000000    
27          2         1           65.0700     0.010000    0.745354    0.000000    
27          3         1           67.9200     0.010000    0.734656    0.000000    
27          4         1           66.1200     0.010000    0.740550    0.000000    
28          0         1           63.3500     0.010000    0.955846    0.000000    
28          1         1           67.5200     0.010000    0.729985    0.000000    
28          2         1           66.8600     0.010000    0.724861    0.000000    
28          3         1           68.7100     0.010000    0.712463    0.000000    
28          4         1           68.3500     0.010000    0.717903    0.000000    
29          0         1           65.2900     0.010000    0.941744    0.000000    
29          1         1           66.8800     0.010000    0.710207    0.000000    
29          2         1           65.5200     0.010000    0.705922    0.000000    
29          3         1           68.5300     0.010000    0.693458    0.000000    
29          4         1           67.9900     0.010000    0.699818    0.000000    
30          0         1           66.3700     0.010000    0.923326    0.000000    
30          1         1           64.1600     0.010000    0.689644    0.000000    
30          2         1           69.3200     0.010000    0.683660    0.000000    
30          3         1           68.9000     0.010000    0.671629    0.000000    
30          4         1           66.1100     0.010000    0.680131    0.000000    
31          0         1           67.4400     0.010000    0.904980    0.000000    
31          1         1           67.7700     0.010000    0.665502    0.000000    
31          2         1           66.4500     0.010000    0.664813    0.000000    
31          3         1           69.2100     0.010000    0.652563    0.000000    
31          4         1           69.4300     0.010000    0.660121    0.000000    
32          0         1           65.0000     0.010000    0.886536    0.000000    
32          1         1           68.8100     0.010000    0.652301    0.000000    
32          2         1           66.4000     0.010000    0.645370    0.000000    
32          3         1           69.9400     0.010000    0.637854    0.000000    
32          4         1           68.4100     0.010000    0.638600    0.000000    
33          0         1           67.5500     0.010000    0.872866    0.000000    
33          1         1           68.9000     0.010000    0.630279    0.000000    
33          2         1           67.8100     0.010000    0.629365    0.000000    
33          3         1           68.4200     0.010000    0.617668    0.000000    
33          4         1           69.6100     0.010000    0.620793    0.000000    
34          0         1           65.4800     0.010000    0.853553    0.000000    
34          1         1           67.4700     0.010000    0.612761    0.000000    
34          2         1           69.6800     0.010000    0.612015    0.000000    
34          3         1           69.3900     0.010000    0.595652    0.000000    
34          4         1           68.6800     0.010000    0.598835    0.000000    
35          0         1           66.8300     0.010000    0.837857    0.000000    
35          1         1           69.2900     0.010000    0.589746    0.000000    
35          2         1           67.9400     0.010000    0.582316    0.000000    
35          3         1           69.2200     0.010000    0.581784    0.000000    
35          4         1           70.4100     0.010000    0.585330    0.000000    
36          0         1           67.2900     0.010000    0.819182    0.000000    
36          1         1           68.9700     0.010000    0.565708    0.000000    
36          2         1           64.2500     0.010000    0.569465    0.000000    
36          3         1           69.7400     0.010000    0.558870    0.000000    
36          4         1           69.5500     0.010000    0.566769    0.000000    
37          0         1           67.1700     0.010000    0.800189    0.000000    
37          1         1           67.1500     0.010000    0.547996    0.000000    
37          2         1           66.8600     0.010000    0.550323    0.000000    
37          3         1           69.4200     0.010000    0.545422    0.000000    
37          4         1           68.6300     0.010000    0.546199    0.000000    
38          0         1           63.9000     0.010000    0.778679    0.000000    
38          1         1           69.2100     0.010000    0.532469    0.000000    
38          2         1           70.2400     0.010000    0.528457    0.000000    
38          3         1           67.3100     0.010000    0.521859    0.000000    
38          4         1           68.6200     0.010000    0.528729    0.000000    
39          0         1           68.6900     0.010000    0.761346    0.000000    
39          1         1           67.3100     0.010000    0.511064    0.000000    
39          2         1           67.8400     0.010000    0.508191    0.000000    
39          3         1           69.9800     0.010000    0.503228    0.000000    
39          4         1           68.0500     0.010000    0.508574    0.000000    
40          0         1           65.3600     0.010000    0.745644    0.000000    
40          1         1           68.8700     0.010000    0.491276    0.000000    
40          2         1           68.2900     0.010000    0.496209    0.000000    
40          3         1           68.1400     0.010000    0.480742    0.000000    
40          4         1           69.6400     0.010000    0.486928    0.000000    
41          0         1           67.2000     0.010000    0.723548    0.000000    
41          1         1           66.4500     0.010000    0.474729    0.000000    
41          2         1           67.0400     0.010000    0.474805    0.000000    
41          3         1           68.6100     0.010000    0.460883    0.000000    
41          4         1           67.9200     0.010000    0.465584    0.000000    
42          0         1           65.6400     0.010000    0.706421    0.000000    
42          1         1           69.3100     0.010000    0.451724    0.000000    
42          2         1           70.2400     0.010000    0.460005    0.000000    
42          3         1           67.3700     0.010000    0.444660    0.000000    
42          4         1           68.8700     0.010000    0.450698    0.000000    
43          0         1           67.7500     0.010000    0.687143    0.000000    
43          1         1           70.6900     0.010000    0.433084    0.000000    
43          2         1           67.7600     0.010000    0.438805    0.000000    
43          3         1           68.8500     0.010000    0.428420    0.000000    
43          4         1           69.1600     0.010000    0.430669    0.000000    
44          0         1           63.5400     0.010000    0.665635    0.000000    
44          1         1           70.9000     0.010000    0.418430    0.000000    
44          2         1           67.6600     0.010000    0.408870    0.000000    
44          3         1           69.1100     0.010000    0.413757    0.000000    
44          4         1           69.8700     0.010000    0.414233    0.000000    
45          0         1           67.4500     0.010000    0.649664    0.000000    
45          1         1           66.4000     0.010000    0.397998    0.000000    
45          2         1           69.3700     0.010000    0.393712    0.000000    
45          3         1           69.3400     0.010000    0.393714    0.000000    
45          4         1           67.7200     0.010000    0.388568    0.000000    
46          0         1           65.4300     0.010000    0.636188    0.000000    
46          1         1           69.8700     0.010000    0.378404    0.000000    
46          2         1           67.5800     0.010000    0.377268    0.000000    
46          3         1           70.2700     0.010000    0.375516    0.000000    
46          4         1           68.5100     0.010000    0.370872    0.000000    
47          0         1           68.5700     0.010000    0.612449    0.000000    
47          1         1           69.7600     0.010000    0.357331    0.000000    
47          2         1           70.3200     0.010000    0.355572    0.000000    
47          3         1           69.2300     0.010000    0.350574    0.000000    
47          4         1           70.2300     0.010000    0.359497    0.000000    
48          0         1           66.0000     0.010000    0.595487    0.000000    
48          1         1           69.9000     0.010000    0.342609    0.000000    
48          2         1           70.6900     0.010000    0.342303    0.000000    
48          3         1           70.7700     0.010000    0.336910    0.000000    
48          4         1           65.3200     0.010000    0.346878    0.000000    
49          0         1           65.2600     0.010000    0.578186    0.000000    
49          1         1           67.5300     0.010000    0.321847    0.000000    
49          2         1           69.3300     0.010000    0.327497    0.000000    
49          3         1           71.3000     0.010000    0.318792    0.000000    
49          4         1           64.7500     0.010000    0.319643    0.000000    
50          0         1           64.0300     0.010000    0.549727    0.000000    
50          1         1           70.2500     0.010000    0.309592    0.000000    
50          2         1           70.0900     0.010000    0.297611    0.000000    
50          3         1           67.9100     0.010000    0.302614    0.000000    
50          4         1           69.0200     0.010000    0.308258    0.000000    
