GlobalRnd   ClientID  LocEpoch    Accuracy    LR          Loss        GradNorm    
1           0         1           16.0800     0.010000    1.863077    0.000000    
1           1         1           26.2200     0.010000    1.546451    0.000000    
1           2         1           20.0800     0.010000    1.568455    0.000000    
1           3         1           17.5900     0.010000    1.514735    0.000000    
1           4         1           22.0800     0.010000    1.557939    0.000000    
2           0         1           20.8200     0.010000    1.639518    0.000000    
2           1         1           28.9100     0.010000    1.329250    0.000000    
2           2         1           29.9900     0.010000    1.340916    0.000000    
2           3         1           25.6600     0.010000    1.303592    0.000000    
2           4         1           20.1300     0.010000    1.369043    0.000000    
3           0         1           31.0200     0.010000    1.507978    0.000000    
3           1         1           33.1500     0.010000    1.209271    0.000000    
3           2         1           20.4200     0.010000    1.224382    0.000000    
3           3         1           31.7500     0.010000    1.187899    0.000000    
3           4         1           33.7700     0.010000    1.258563    0.000000    
4           0         1           31.3600     0.010000    1.414750    0.000000    
4           1         1           33.8100     0.010000    1.137683    0.000000    
4           2         1           24.5800     0.010000    1.146374    0.000000    
4           3         1           28.6700     0.010000    1.095452    0.000000    
4           4         1           32.4300     0.010000    1.169396    0.000000    
5           0         1           36.4300     0.010000    1.344667    0.000000    
5           1         1           36.3400     0.010000    1.066853    0.000000    
5           2         1           29.9200     0.010000    1.081061    0.000000    
5           3         1           27.1900     0.010000    1.037577    0.000000    
5           4         1           23.2900     0.010000    1.103975    0.000000    
6           0         1           38.0000     0.010000    1.287636    0.000000    
6           1         1           39.4800     0.010000    1.018290    0.000000    
6           2         1           34.4100     0.010000    1.032782    0.000000    
6           3         1           36.9000     0.010000    0.982789    0.000000    
6           4         1           37.1300     0.010000    1.054977    0.000000    
7           0         1           42.3400     0.010000    1.247459    0.000000    
7           1         1           41.3300     0.010000    0.980558    0.000000    
7           2         1           38.3500     0.010000    0.984324    0.000000    
7           3         1           37.1800     0.010000    0.937304    0.000000    
7           4         1           33.2900     0.010000    1.009881    0.000000    
8           0         1           38.3600     0.010000    1.202490    0.000000    
8           1         1           42.8700     0.010000    0.943689    0.000000    
8           2         1           38.9900     0.010000    0.949709    0.000000    
8           3         1           29.4900     0.010000    0.907304    0.000000    
8           4         1           27.8600     0.010000    0.974893    0.000000    
9           0         1           41.0300     0.010000    1.178786    0.000000    
9           1         1           42.7600     0.010000    0.917622    0.000000    
9           2         1           32.3600     0.010000    0.914242    0.000000    
9           3         1           37.2500     0.010000    0.877967    0.000000    
9           4         1           40.3800     0.010000    0.937790    0.000000    
10          0         1           45.8500     0.010000    1.150135    0.000000    
10          1         1           44.9000     0.010000    0.883412    0.000000    
10          2         1           41.8800     0.010000    0.894018    0.000000    
10          3         1           41.3500     0.010000    0.862130    0.000000    
10          4         1           48.0600     0.010000    0.908868    0.000000    
11          0         1           48.5200     0.010000    1.120581    0.000000    
11          1         1           43.3100     0.010000    0.856327    0.000000    
11          2         1           38.5100     0.010000    0.853654    0.000000    
11          3         1           28.1600     0.010000    0.838770    0.000000    
11          4         1           43.1100     0.010000    0.873584    0.000000    
12          0         1           51.4000     0.010000    1.090603    0.000000    
12          1         1           45.6500     0.010000    0.837683    0.000000    
12          2         1           37.3000     0.010000    0.841310    0.000000    
12          3         1           38.5500     0.010000    0.812454    0.000000    
12          4         1           52.2100     0.010000    0.859269    0.000000    
13          0         1           47.9400     0.010000    1.061135    0.000000    
13          1         1           51.3100     0.010000    0.816832    0.000000    
13          2         1           46.3000     0.010000    0.812785    0.000000    
13          3         1           40.8000     0.010000    0.793197    0.000000    
13          4         1           40.5400     0.010000    0.831272    0.000000    
14          0         1           46.9400     0.010000    1.047225    0.000000    
14          1         1           49.4100     0.010000    0.789133    0.000000    
14          2         1           40.8600     0.010000    0.788277    0.000000    
14          3         1           43.9100     0.010000    0.775193    0.000000    
14          4         1           47.5500     0.010000    0.808226    0.000000    
15          0         1           49.4600     0.010000    1.014667    0.000000    
15          1         1           50.4000     0.010000    0.768024    0.000000    
15          2         1           44.6700     0.010000    0.769691    0.000000    
15          3         1           47.3000     0.010000    0.754048    0.000000    
15          4         1           43.4400     0.010000    0.789658    0.000000    
16          0         1           51.8000     0.010000    0.997318    0.000000    
16          1         1           54.4300     0.010000    0.750144    0.000000    
16          2         1           49.5500     0.010000    0.746461    0.000000    
16          3         1           48.6900     0.010000    0.739003    0.000000    
16          4         1           52.2700     0.010000    0.767441    0.000000    
17          0         1           48.4900     0.010000    0.981670    0.000000    
17          1         1           52.8300     0.010000    0.726743    0.000000    
17          2         1           43.6700     0.010000    0.730260    0.000000    
17          3         1           50.1500     0.010000    0.722678    0.000000    
17          4         1           50.9700     0.010000    0.745727    0.000000    
18          0         1           53.5000     0.010000    0.956431    0.000000    
18          1         1           53.7300     0.010000    0.710491    0.000000    
18          2         1           35.0600     0.010000    0.709275    0.000000    
18          3         1           42.9000     0.010000    0.704147    0.000000    
18          4         1           47.3700     0.010000    0.733514    0.000000    
19          0         1           53.4700     0.010000    0.930132    0.000000    
19          1         1           49.4900     0.010000    0.695846    0.000000    
19          2         1           31.1500     0.010000    0.699481    0.000000    
19          3         1           41.7800     0.010000    0.691604    0.000000    
19          4         1           45.0300     0.010000    0.712312    0.000000    
20          0         1           53.6300     0.010000    0.911339    0.000000    
20          1         1           49.9300     0.010000    0.678626    0.000000    
20          2         1           48.1700     0.010000    0.674751    0.000000    
20          3         1           45.1300     0.010000    0.678485    0.000000    
20          4         1           52.1500     0.010000    0.696900    0.000000    
21          0         1           56.2400     0.010000    0.889340    0.000000    
21          1         1           52.8900     0.010000    0.669723    0.000000    
21          2         1           45.5200     0.010000    0.661320    0.000000    
21          3         1           51.2400     0.010000    0.665698    0.000000    
21          4         1           49.9500     0.010000    0.678747    0.000000    
22          0         1           39.0000     0.010000    0.876134    0.000000    
22          1         1           56.2300     0.010000    0.652630    0.000000    
22          2         1           43.8100     0.010000    0.652796    0.000000    
22          3         1           40.1400     0.010000    0.650917    0.000000    
22          4         1           50.6800     0.010000    0.665270    0.000000    
23          0         1           51.5500     0.010000    0.851517    0.000000    
23          1         1           54.4500     0.010000    0.630447    0.000000    
23          2         1           55.5100     0.010000    0.629896    0.000000    
23          3         1           41.1600     0.010000    0.640396    0.000000    
23          4         1           58.1900     0.010000    0.650601    0.000000    
24          0         1           54.3500     0.010000    0.836755    0.000000    
24          1         1           56.1400     0.010000    0.626779    0.000000    
24          2         1           53.6100     0.010000    0.620328    0.000000    
24          3         1           45.4300     0.010000    0.628551    0.000000    
24          4         1           52.4800     0.010000    0.636065    0.000000    
25          0         1           51.7800     0.010000    0.824910    0.000000    
25          1         1           54.4800     0.010000    0.606104    0.000000    
25          2         1           50.3900     0.010000    0.599962    0.000000    
25          3         1           44.0300     0.010000    0.616555    0.000000    
25          4         1           57.4300     0.010000    0.620670    0.000000    
26          0         1           56.7000     0.010000    0.808707    0.000000    
26          1         1           54.0600     0.010000    0.594329    0.000000    
26          2         1           53.7300     0.010000    0.585531    0.000000    
26          3         1           45.2800     0.010000    0.600468    0.000000    
26          4         1           48.2000     0.010000    0.604272    0.000000    
27          0         1           53.9300     0.010000    0.792343    0.000000    
27          1         1           53.6800     0.010000    0.579223    0.000000    
27          2         1           51.4600     0.010000    0.575377    0.000000    
27          3         1           48.9000     0.010000    0.590240    0.000000    
27          4         1           60.2700     0.010000    0.592781    0.000000    
28          0         1           48.5000     0.010000    0.769148    0.000000    
28          1         1           58.8400     0.010000    0.568333    0.000000    
28          2         1           46.2700     0.010000    0.550537    0.000000    
28          3         1           47.2500     0.010000    0.573900    0.000000    
28          4         1           54.3700     0.010000    0.581277    0.000000    
29          0         1           55.8600     0.010000    0.755519    0.000000    
29          1         1           57.6000     0.010000    0.556296    0.000000    
29          2         1           51.0300     0.010000    0.543339    0.000000    
29          3         1           49.5800     0.010000    0.566781    0.000000    
29          4         1           54.7700     0.010000    0.564777    0.000000    
30          0         1           60.8100     0.010000    0.735589    0.000000    
30          1         1           59.2500     0.010000    0.539201    0.000000    
30          2         1           41.8900     0.010000    0.531092    0.000000    
