GlobalRound	GlobalAccuracy
1	22.6700
2	35.2700
3	38.9800
4	42.2000
5	47.3600
6	49.0900
7	49.9800
8	52.9500
9	52.2400
10	54.6000
11	55.9700
12	54.1300
13	58.6700
14	59.4500
15	58.4500
16	60.7200
17	60.0400
18	62.3200
19	60.7400
20	63.5900
21	61.9100
22	64.5700
23	64.5200
24	65.0900
25	66.0200
26	65.3600
27	66.9600
28	66.0900
29	66.4400
30	63.8900
31	67.1600
32	67.1900
33	67.3800
34	66.7100
35	68.5500
36	67.5900
37	66.4800
38	67.0500
39	69.4600
40	68.6700
41	69.1100
42	66.7100
43	68.6700
44	66.8600
45	69.1700
46	70.1400
47	68.8800
48	69.9700
49	69.0800
50	70.7000
