ClientID	NNPass_Train	TrainLoss	NNPass_Test	TestLoss
0	375	0.857698	375	0.437160
0	750	0.576265	750	0.222771
0	1125	0.491539	1125	0.326927
0	1500	0.466831	1500	0.175297
0	1875	0.441703	1875	0.139366
0	2250	0.432518	2250	0.264241
0	2625	0.406402	2625	0.132199
0	3000	0.397812	3000	0.320857
0	3375	0.408641	3375	0.220952
0	3750	0.404273	3750	0.161181
0	4125	0.396000	4125	0.232354
0	4500	0.373433	4500	0.182637
0	4875	0.365746	4875	0.138637
0	5250	0.368814	5250	0.187728
0	5625	0.359220	5625	0.149231
0	6000	0.372861	6000	0.192584
0	6375	0.352500	6375	0.183415
0	6750	0.359728	6750	0.182383
0	7125	0.358675	7125	0.178435
0	7500	0.356265	7500	0.157012
0	7875	0.351907	7875	0.163296
0	8250	0.343125	8250	0.179602
0	8625	0.337079	8625	0.167460
0	9000	0.343803	9000	0.214959
0	9375	0.343508	9375	0.209227
0	9750	0.332626	9750	0.149547
0	10125	0.330226	10125	0.166292
0	10500	0.335819	10500	0.154583
0	10875	0.337872	10875	0.167441
0	11250	0.333840	11250	0.189894
0	11625	0.330722	11625	0.171659
0	12000	0.335667	12000	0.151819
0	12375	0.327457	12375	0.147867
0	12750	0.327541	12750	0.126331
0	13125	0.324040	13125	0.135460
0	13500	0.321058	13500	0.137528
0	13875	0.320651	13875	0.151793
0	14250	0.322378	14250	0.135057
0	14625	0.327327	14625	0.132859
0	15000	0.321967	15000	0.116214
0	15375	0.318487	15375	0.169290
0	15750	0.327542	15750	0.133126
0	16125	0.319527	16125	0.170518
0	16500	0.313952	16500	0.195693
0	16875	0.310753	16875	0.160786
0	17250	0.318086	17250	0.172257
0	17625	0.326563	17625	0.180737
0	18000	0.310068	18000	0.277887
0	18375	0.298635	18375	0.207215
0	18750	0.305694	18750	0.154279
1	375	0.603301	375	0.231603
1	750	0.221144	750	0.111250
1	1125	0.138418	1125	0.097219
1	1500	0.104182	1500	0.075219
1	1875	0.086957	1875	0.059463
1	2250	0.070379	2250	0.074148
