GlobalRnd   ClientID  LocEpoch    Accuracy    LR          Loss        GradNorm    
1           0         1           88.8500     0.214129    0.857698    2.576046    
1           1         1           92.6600     0.108492    0.603301    3.190562    
1           2         1           93.8600     0.120659    0.541015    3.064837    
1           3         1           93.2600     0.109116    0.582354    3.121680    
1           4         1           91.2200     0.115326    0.641221    3.206908    
2           0         1           95.2000     0.236230    0.576265    2.233906    
2           1         1           96.2700     0.132371    0.221144    2.142342    
2           2         1           91.2200     0.128303    0.224763    2.198400    
2           3         1           96.6400     0.128754    0.216761    2.197682    
2           4         1           95.8700     0.131703    0.222983    2.205944    
3           0         1           93.1400     0.314097    0.491539    1.827365    
3           1         1           96.8300     0.163961    0.138418    1.603157    
3           2         1           97.2100     0.161029    0.136593    1.619175    
3           3         1           96.8400     0.177988    0.134804    1.532269    
3           4         1           97.1700     0.180828    0.140168    1.589815    
4           0         1           95.8800     0.356051    0.466831    1.697668    
4           1         1           97.5200     0.200982    0.104182    1.290903    
4           2         1           97.6000     0.195193    0.104596    1.299522    
4           3         1           96.4900     0.208734    0.111179    1.334040    
4           4         1           97.4100     0.190388    0.109499    1.370465    
5           0         1           96.8800     0.396691    0.441703    1.526135    
5           1         1           98.1700     0.213552    0.086957    1.163663    
5           2         1           98.0100     0.197167    0.083840    1.128370    
5           3         1           96.3400     0.218934    0.090813    1.164988    
5           4         1           97.1900     0.232758    0.093854    1.150627    
6           0         1           96.0800     0.430745    0.432518    1.491932    
6           1         1           97.6700     0.218971    0.070379    1.042465    
6           2         1           97.3500     0.205266    0.079699    1.149976    
6           3         1           97.6800     0.224339    0.081031    1.117147    
6           4         1           97.7600     0.229779    0.076562    1.057919    
7           0         1           97.4500     0.437555    0.406402    1.378777    
7           1         1           98.0500     0.229916    0.073831    1.029271    
7           2         1           98.1800     0.238930    0.076803    1.026844    
7           3         1           97.9600     0.212895    0.077412    1.113360    
7           4         1           98.2700     0.217440    0.057370    0.942050    
8           0         1           95.5900     0.436743    0.397812    1.383052    
8           1         1           98.3500     0.217854    0.061298    0.954967    
8           2         1           98.1800     0.236788    0.062321    0.949980    
8           3         1           96.7500     0.247018    0.068500    0.984876    
8           4         1           98.3200     0.226228    0.064272    0.983761    
9           0         1           96.8600     0.434174    0.408641    1.403350    
9           1         1           97.8500     0.240090    0.061979    0.943100    
9           2         1           98.4600     0.221809    0.062713    0.977996    
9           3         1           97.9800     0.265521    0.065669    0.910843    
9           4         1           98.0500     0.213897    0.063878    0.999645    
10          0         1           97.5500     0.473461    0.404273    1.387328    
10          1         1           98.2700     0.252747    0.051893    0.853864    
10          2         1           98.3400     0.265280    0.057823    0.915597    
10          3         1           97.7600     0.268186    0.059111    0.893933    
10          4         1           98.4400     0.233716    0.060515    0.966762    
11          0         1           97.1300     0.457970    0.396000    1.357291    
11          1         1           97.5900     0.239827    0.052220    0.834796    
11          2         1           98.6000     0.245185    0.055893    0.906754    
11          3         1           98.0800     0.265749    0.057478    0.887521    
11          4         1           98.3800     0.266511    0.048598    0.828801    
12          0         1           97.5800     0.501211    0.373433    1.257188    
12          1         1           98.4600     0.245668    0.050540    0.845611    
12          2         1           98.3100     0.231276    0.050410    0.874467    
12          3         1           98.5800     0.280759    0.051334    0.829303    
12          4         1           98.0300     0.232595    0.050685    0.842176    
13          0         1           97.6000     0.467830    0.365746    1.279669    
13          1         1           98.4100     0.369321    0.045618    0.775050    
13          2         1           98.5100     0.250543    0.046638    0.833189    
13          3         1           98.5100     0.254431    0.049793    0.818868    
13          4         1           98.3600     0.249683    0.046924    0.814835    
14          0         1           97.7900     0.502833    0.368814    1.237963    
14          1         1           98.7000     0.344805    0.047450    0.774016    
14          2         1           98.6000     0.271071    0.048411    0.816137    
14          3         1           96.2300     0.272444    0.048286    0.792582    
14          4         1           98.6200     0.260379    0.049472    0.865623    
15          0         1           97.6100     0.466920    0.359220    1.228752    
15          1         1           98.5400     0.280340    0.049195    0.816740    
15          2         1           97.8200     0.227597    0.046825    0.865452    
15          3         1           98.3800     0.306965    0.045136    0.740188    
15          4         1           98.5700     0.239499    0.045867    0.836675    
16          0         1           97.3900     0.501598    0.372861    1.254854    
16          1         1           98.4000     0.323975    0.043471    0.818693    
16          2         1           98.3600     0.268587    0.041790    0.790952    
16          3         1           98.7100     0.255173    0.046174    0.791232    
16          4         1           98.7800     0.303849    0.044707    0.774014    
17          0         1           97.2500     0.461998    0.352500    1.226826    
17          1         1           98.3600     0.306958    0.044694    0.761304    
17          2         1           98.5600     0.282481    0.052641    0.873304    
17          3         1           98.6900     0.264413    0.042285    0.789718    
17          4         1           98.7900     0.248096    0.043856    0.817363    
18          0         1           97.6500     0.523480    0.359728    1.230854    
18          1         1           98.5600     0.247110    0.044792    0.794981    
18          2         1           98.6100     0.268766    0.042108    0.769283    
18          3         1           98.4900     0.299362    0.046516    0.807868    
18          4         1           98.4700     0.341441    0.038552    0.761164    
19          0         1           97.2200     0.548370    0.358675    1.183537    
19          1         1           98.1000     0.287635    0.048224    0.806414    
19          2         1           98.6400     0.286849    0.042434    0.714430    
19          3         1           98.6500     0.360468    0.041620    0.744426    
19          4         1           98.7300     0.294136    0.035050    0.727430    
20          0         1           97.3300     0.552377    0.356265    1.136251    
20          1         1           98.3100     0.272640    0.040397    0.782966    
20          2         1           98.4800     0.342833    0.045217    0.796392    
20          3         1           98.8000     0.248523    0.044819    0.820602    
20          4         1           98.7900     0.409304    0.039160    0.708281    
21          0         1           97.6800     0.528337    0.351907    1.181968    
21          1         1           98.2600     0.246877    0.043782    0.798583    
21          2         1           98.6800     0.288995    0.040586    0.768563    
21          3         1           98.9400     0.325466    0.039260    0.737891    
21          4         1           98.6300     0.337905    0.037494    0.733315    
22          0         1           97.3100     0.481512    0.343125    1.192194    
22          1         1           98.8600     0.574246    0.033020    0.664316    
22          2         1           98.1300     0.252491    0.054010    0.898144    
22          3         1           98.5700     0.494775    0.035568    0.727549    
22          4         1           98.6000     0.464452    0.034676    0.697235    
23          0         1           97.9900     0.485077    0.337079    1.138104    
23          1         1           98.6000     0.334803    0.041989    0.788521    
23          2         1           98.5700     0.318893    0.035388    0.707622    
23          3         1           98.2900     0.264053    0.048391    0.841569    
23          4         1           98.7100     0.239311    0.039153    0.834036    
24          0         1           96.7200     0.550861    0.343803    1.115989    
24          1         1           98.7900     0.289143    0.039891    0.769529    
24          2         1           98.7400     0.334333    0.035167    0.697949    
24          3         1           98.6500     0.323732    0.034103    0.727015    
24          4         1           98.7900     0.303580    0.040450    0.789473    
25          0         1           97.1700     0.528822    0.343508    1.158569    
25          1         1           98.5800     0.473139    0.042998    0.794555    
25          2         1           98.6600     0.342936    0.040777    0.827517    
25          3         1           98.7600     0.376350    0.033431    0.702086    
25          4         1           98.8800     0.344542    0.032732    0.659460    
26          0         1           97.1900     0.489142    0.332626    1.119069    
26          1         1           98.8400     0.287072    0.041356    0.766999    
26          2         1           98.7600     0.393274    0.036019    0.718669    
26          3         1           98.7000     0.352641    0.039418    0.725756    
26          4         1           98.7800     0.358776    0.039284    0.715860    
27          0         1           98.0200     0.527596    0.330226    1.114583    
27          1         1           98.5700     0.378072    0.034562    0.709127    
27          2         1           98.7700     0.317520    0.032576    0.692321    
27          3         1           98.8400     0.331814    0.033821    0.713985    
27          4         1           98.5300     0.280257    0.037994    0.761911    
28          0         1           97.0300     0.538777    0.335819    1.129757    
28          1         1           98.4700     0.513909    0.033456    0.736024    
28          2         1           98.8600     0.651188    0.031830    0.678456    
28          3         1           98.7300     0.390243    0.034246    0.704114    
28          4         1           98.7600     0.358963    0.031127    0.662856    
29          0         1           97.6000     0.561042    0.337872    1.142287    
29          1         1           98.7000     0.289321    0.040976    0.812486    
29          2         1           98.7500     0.397469    0.036051    0.734836    
29          3         1           98.9300     0.407901    0.034270    0.757823    
29          4         1           98.7300     0.329395    0.033576    0.748355    
30          0         1           97.7000     0.540002    0.333840    1.126427    
30          1         1           98.7300     0.258590    0.041435    0.838827    
30          2         1           98.7700     0.373189    0.032779    0.718410    
30          3         1           98.8600     0.419960    0.036484    0.704886    
30          4         1           98.9000     0.472115    0.035582    0.745006    
31          0         1           97.4400     0.503958    0.330722    1.139499    
31          1         1           98.5200     0.476798    0.038106    0.765768    
31          2         1           98.8700     0.458279    0.029429    0.695705    
31          3         1           98.4300     0.403291    0.041761    0.749109    
31          4         1           98.9400     0.312616    0.040115    0.828161    
32          0         1           98.1500     0.530211    0.335667    1.227145    
32          1         1           98.9000     0.526437    0.029438    0.658234    
32          2         1           98.7700     0.433446    0.029907    0.682818    
32          3         1           98.8800     0.337206    0.038428    0.774351    
32          4         1           98.8800     0.361453    0.035869    0.728460    
33          0         1           97.3200     0.612004    0.327457    1.166875    
33          1         1           98.7700     0.379568    0.035724    0.766359    
33          2         1           98.7400     0.276962    0.037014    0.855372    
33          3         1           98.5700     0.356670    0.040028    0.833393    
33          4         1           98.3600     0.274071    0.036555    0.799426    
34          0         1           98.0700     0.549224    0.327541    1.065198    
34          1         1           98.8800     0.251905    0.043036    0.806202    
34          2         1           98.8600     0.633711    0.029187    0.677231    
34          3         1           98.5700     0.299813    0.041438    0.851952    
34          4         1           98.7700     0.270738    0.043517    0.809666    
35          0         1           97.9200     0.567365    0.324040    1.078737    
35          1         1           98.8800     0.464161    0.031530    0.675040    
35          2         1           98.3700     0.416089    0.035997    0.713574    
35          3         1           98.8700     0.428084    0.040488    0.804781    
35          4         1           98.9100     0.447338    0.029500    0.668553    
36          0         1           98.2200     0.505487    0.321058    1.145088    
36          1         1           98.9400     0.585309    0.032900    0.669668    
36          2         1           98.9200     0.310733    0.034405    0.768845    
36          3         1           98.6100     0.556794    0.035038    0.777072    
36          4         1           98.8300     0.407823    0.037097    0.774550    
37          0         1           98.1300     0.501837    0.320651    1.155685    
37          1         1           98.4900     0.317099    0.041089    0.822108    
37          2         1           99.0000     0.482603    0.032271    0.738655    
37          3         1           98.8600     0.547911    0.033624    0.796188    
37          4         1           98.4500     0.259948    0.038204    0.783898    
38          0         1           98.1100     0.561569    0.322378    1.100743    
38          1         1           98.9400     0.420192    0.033592    0.709352    
38          2         1           98.6700     0.615713    0.030968    0.661523    
38          3         1           98.8600     0.374879    0.041116    0.753547    
38          4         1           99.0200     0.569701    0.028868    0.640479    
39          0         1           98.0600     0.561976    0.327327    1.134564    
39          1         1           98.8600     0.762515    0.028956    0.659894    
39          2         1           98.9500     0.381663    0.033543    0.718501    
39          3         1           98.8600     0.344809    0.036416    0.828790    
39          4         1           98.8900     0.766386    0.030296    0.664503    
40          0         1           98.0900     0.575709    0.321967    1.109557    
