GlobalRound	GlobalAccuracy
1	93.0000
2	96.6700
3	97.5400
4	97.8700
5	98.1000
6	98.1600
7	98.3700
8	98.5400
9	98.4500
10	98.5000
11	98.3400
12	98.2700
13	98.3400
14	98.6900
15	98.5800
16	98.4700
17	98.2800
18	98.4600
19	98.6100
20	98.5800
21	98.7500
22	98.5200
23	98.2800
24	98.4700
25	98.4200
26	98.3700
27	98.6400
28	98.5000
29	98.5100
30	98.4200
31	98.4800
32	98.4400
33	98.6500
34	98.5600
35	98.4300
36	98.5300
37	98.6100
38	98.5800
39	98.6600
40	98.3300
41	98.5400
42	98.3500
43	98.4000
44	98.5000
45	98.3800
46	98.4700
47	98.4900
48	98.4100
49	98.5200
50	98.2500
