GlobalRnd   ClientID  LocEpoch    Accuracy    LR          Loss        GradNorm    
1           0         1           64.7500     0.085571    0.466071    2.592658    
1           1         1           51.8500     0.082707    0.570949    2.601379    
1           2         1           65.8300     0.088898    0.473634    2.780385    
1           3         1           66.3300     0.064513    0.459409    2.864471    
1           4         1           53.6500     0.080932    0.587292    2.633337    
2           0         1           75.0800     0.096218    0.229322    2.376585    
2           1         1           63.3500     0.070489    0.214930    2.451289    
2           2         1           74.3300     0.081575    0.210720    2.417443    
2           3         1           67.7600     0.061829    0.165168    2.251769    
2           4         1           67.0600     0.091883    0.211868    2.208988    
3           0         1           79.7300     0.121360    0.142641    1.821792    
3           1         1           74.1700     0.090356    0.120420    1.801437    
3           2         1           80.4000     0.123478    0.132785    1.771262    
3           3         1           69.1500     0.102171    0.095323    1.565611    
3           4         1           83.6400     0.118952    0.110509    1.623135    
4           0         1           88.1900     0.144101    0.118770    1.603121    
4           1         1           83.2900     0.106011    0.086123    1.434568    
4           2         1           83.3400     0.118496    0.097170    1.571427    
4           3         1           82.1100     0.141255    0.065793    1.249147    
4           4         1           89.0200     0.134229    0.082980    1.347434    
5           0         1           82.6600     0.146163    0.091475    1.430907    
5           1         1           88.1700     0.119916    0.082196    1.418354    
5           2         1           80.4200     0.130733    0.082746    1.382535    
5           3         1           84.0000     0.155559    0.059921    1.151035    
5           4         1           83.6500     0.133975    0.074984    1.316482    
6           0         1           94.2000     0.142418    0.080532    1.321170    
6           1         1           83.2000     0.132561    0.074295    1.254051    
6           2         1           80.4700     0.152797    0.081540    1.316282    
6           3         1           85.2900     0.172640    0.049936    1.037456    
6           4         1           88.4700     0.178360    0.056355    1.021441    
7           0         1           85.5200     0.154758    0.071435    1.223892    
7           1         1           82.5400     0.140197    0.065138    1.188126    
7           2         1           84.7900     0.150182    0.068319    1.226635    
7           3         1           78.7000     0.174721    0.050747    0.947727    
7           4         1           86.5900     0.172398    0.058079    1.048788    
8           0         1           91.5600     0.162500    0.068463    1.164708    
8           1         1           89.1400     0.163242    0.063192    1.145649    
8           2         1           92.1500     0.146468    0.064141    1.206592    
8           3         1           88.0200     0.173776    0.036061    0.829599    
8           4         1           93.4500     0.201926    0.054227    1.056053    
9           0         1           94.4500     0.155676    0.060663    1.131739    
9           1         1           89.4000     0.166512    0.053735    1.008220    
9           2         1           89.3100     0.163006    0.058126    1.098085    
9           3         1           84.1600     0.187110    0.047355    0.947003    
9           4         1           91.1400     0.176057    0.041928    0.866778    
10          0         1           95.3700     0.165125    0.054042    1.051071    
10          1         1           92.0300     0.161177    0.045159    1.021317    
10          2         1           90.0100     0.158139    0.056269    1.070787    
10          3         1           86.9700     0.268765    0.035699    0.781461    
10          4         1           93.9100     0.172303    0.044229    0.945697    
11          0         1           94.5500     0.167262    0.048253    1.012010    
11          1         1           91.3700     0.158211    0.044134    0.936734    
11          2         1           86.2800     0.157425    0.053347    1.074260    
11          3         1           92.5400     0.278934    0.028288    0.705243    
11          4         1           91.9900     0.193089    0.039955    0.865378    
12          0         1           95.4800     0.141233    0.045487    1.040892    
12          1         1           91.5800     0.186085    0.039616    0.900934    
12          2         1           90.3300     0.173519    0.046905    0.980346    
12          3         1           87.1300     0.299048    0.037589    0.799503    
12          4         1           95.4400     0.213681    0.038640    0.843245    
13          0         1           96.1700     0.163744    0.042922    0.921833    
13          1         1           93.0800     0.164070    0.040003    0.928902    
13          2         1           90.4200     0.149500    0.045030    0.988099    
13          3         1           91.4500     0.302149    0.027424    0.667482    
13          4         1           95.4000     0.195817    0.035446    0.827963    
14          0         1           93.5200     0.149411    0.037767    0.900212    
14          1         1           90.8100     0.223740    0.045428    0.964050    
14          2         1           95.0300     0.176766    0.044693    0.962862    
14          3         1           92.4700     0.292741    0.028273    0.698699    
14          4         1           94.8900     0.217027    0.035463    0.831984    
15          0         1           95.3300     0.182425    0.042486    0.940422    
15          1         1           93.8600     0.150105    0.037426    0.938332    
15          2         1           94.0800     0.159384    0.044240    0.992209    
15          3         1           86.6200     0.192592    0.038770    0.879762    
15          4         1           96.4100     0.284189    0.031340    0.795423    
16          0         1           93.0400     0.195489    0.037535    0.885606    
16          1         1           94.6300     0.172433    0.035376    0.838528    
16          2         1           96.7200     0.149282    0.039431    0.957095    
16          3         1           88.7700     0.405922    0.024267    0.660312    
16          4         1           96.2300     0.212040    0.030870    0.765429    
17          0         1           95.8500     0.175035    0.042056    0.916342    
17          1         1           83.6900     0.189969    0.039180    0.950654    
17          2         1           89.7500     0.159474    0.043587    1.001491    
17          3         1           87.3700     0.333686    0.027574    0.694232    
17          4         1           95.4800     0.286002    0.035828    0.814728    
18          0         1           96.3500     0.176357    0.036111    0.843388    
18          1         1           94.9000     0.151281    0.035489    0.918861    
18          2         1           94.0900     0.176592    0.031752    0.888996    
18          3         1           91.7700     0.534655    0.025473    0.663769    
18          4         1           95.7300     0.195938    0.034247    0.841765    
19          0         1           93.6800     0.197588    0.035727    0.834262    
19          1         1           94.7800     0.263276    0.027880    0.777432    
19          2         1           92.6700     0.169817    0.034924    0.911971    
19          3         1           92.4700     0.454848    0.025547    0.660476    
19          4         1           96.4800     0.324837    0.028320    0.745801    
20          0         1           97.1300     0.185459    0.039820    0.834827    
20          1         1           93.6500     0.170907    0.033352    0.898252    
20          2         1           94.6800     0.177650    0.032420    0.912723    
20          3         1           94.0200     0.496709    0.022844    0.633014    
20          4         1           87.8000     0.182786    0.044321    0.995767    
21          0         1           97.4700     0.203887    0.028703    0.767529    
21          1         1           96.3400     0.190105    0.028856    0.819705    
21          2         1           94.0300     0.228278    0.028996    0.831325    
21          3         1           89.9100     0.386499    0.024627    0.666914    
21          4         1           96.5900     0.538324    0.023857    0.636134    
22          0         1           94.6700     0.182831    0.027891    0.829788    
22          1         1           94.8100     0.182933    0.032719    0.917657    
22          2         1           95.2400     0.160545    0.032079    0.971827    
22          3         1           94.9200     0.396413    0.023992    0.690716    
22          4         1           96.1900     0.358156    0.024692    0.722733    
23          0         1           96.6000     0.244309    0.028002    0.813854    
23          1         1           95.7400     0.217093    0.034253    0.925699    
23          2         1           95.7100     0.219220    0.028404    0.855536    
23          3         1           96.0500     0.331294    0.020577    0.661316    
23          4         1           97.1800     0.339587    0.027898    0.716773    
24          0         1           97.7000     0.148678    0.034082    0.935106    
24          1         1           96.7500     0.254596    0.029109    0.869107    
24          2         1           95.7100     0.193967    0.029380    0.940588    
24          3         1           97.1200     0.464286    0.024724    0.685275    
24          4         1           97.1400     0.227380    0.034361    0.885837    
25          0         1           96.9000     0.320224    0.026381    0.811632    
25          1         1           93.8000     0.222542    0.030527    0.895138    
25          2         1           94.1800     0.210304    0.032585    0.941832    
25          3         1           93.6700     0.349509    0.021500    0.687672    
25          4         1           97.0200     0.322444    0.026109    0.797205    
26          0         1           96.1200     0.128928    0.033799    0.985523    
26          1         1           96.2800     0.195695    0.028958    0.856212    
26          2         1           95.0300     0.197241    0.029527    0.904285    
26          3         1           95.8700     0.358639    0.022422    0.670996    
26          4         1           95.3400     0.536777    0.026706    0.687268    
27          0         1           94.0900     0.210921    0.028854    0.860983    
27          1         1           96.3500     0.163566    0.029676    0.904379    
27          2         1           96.8900     0.268007    0.026332    0.848488    
27          3         1           94.0500     0.432637    0.022522    0.700429    
27          4         1           97.4900     0.368680    0.025076    0.775687    
28          0         1           96.7600     0.251178    0.026074    0.817213    
28          1         1           95.5300     0.206982    0.026174    0.826270    
28          2         1           94.1400     0.178355    0.035715    1.008560    
28          3         1           92.4000     0.743922    0.026828    0.773723    
28          4         1           94.6200     0.246890    0.033645    0.928039    
29          0         1           96.8200     0.189646    0.029210    0.902259    
29          1         1           96.3100     0.235821    0.026261    0.894694    
29          2         1           95.5600     0.201984    0.029981    0.890557    
29          3         1           95.8000     0.634503    0.020145    0.641284    
29          4         1           97.0700     0.380131    0.022030    0.661311    
30          0         1           97.4300     0.277952    0.023027    0.757307    
30          1         1           96.5400     0.171702    0.026598    0.885506    
30          2         1           93.6300     0.197026    0.028598    0.895844    
30          3         1           97.0900     0.431498    0.026044    0.720202    
30          4         1           97.3600     0.316544    0.023526    0.693310    
31          0         1           97.9100     0.167378    0.030441    0.886420    
31          1         1           95.3300     0.196948    0.022877    0.790220    
31          2         1           95.1400     0.299137    0.022458    0.846201    
31          3         1           95.0700     0.330745    0.019711    0.643340    
31          4         1           97.2200     0.428187    0.023410    0.672627    
32          0         1           97.5500     0.303978    0.024933    0.806908    
32          1         1           96.8100     0.190836    0.026086    0.873860    
32          2         1           92.1100     0.181128    0.036208    1.080430    
32          3         1           96.4900     1.043969    0.018386    0.589766    
32          4         1           97.9800     0.357489    0.026451    0.770079    
33          0         1           98.0300     0.187663    0.029482    0.947421    
33          1         1           96.0700     0.188848    0.030134    1.023216    
33          2         1           96.8100     0.226510    0.021797    0.800829    
33          3         1           96.6200     0.320802    0.020750    0.675984    
33          4         1           97.4500     0.263234    0.023950    0.838345    
34          0         1           97.4600     0.289938    0.022129    0.743082    
34          1         1           95.8400     0.234009    0.026015    0.878956    
34          2         1           93.7600     0.244701    0.020801    0.781695    
34          3         1           95.7900     0.524876    0.020578    0.674584    
34          4         1           96.9400     0.557685    0.022452    0.698486    
35          0         1           97.9100     0.263275    0.026560    0.865585    
35          1         1           96.8200     0.215063    0.023751    0.841747    
35          2         1           96.8700     0.201701    0.023788    0.890829    
35          3         1           96.4300     0.386782    0.021089    0.647508    
