GlobalRound	GlobalAccuracy
1	74.7400
2	93.1800
3	95.4600
4	96.7400
5	97.4100
6	97.5600
7	97.8100
8	98.1100
9	98.0100
10	98.1700
11	98.1500
12	98.2300
13	98.2700
14	98.4600
15	98.1900
16	98.3300
17	98.3700
18	98.5100
19	98.5100
20	98.5700
21	98.6100
22	98.5100
23	98.5700
24	98.6300
25	98.6000
26	98.6300
27	98.6200
28	98.6900
29	98.6300
30	98.7000
31	98.6000
32	98.7500
33	98.7500
34	98.7400
35	98.7100
36	98.8100
37	98.7700
38	98.7300
39	98.7400
40	98.8700
41	98.8100
42	98.8200
43	98.8000
44	98.8300
45	98.7500
46	98.7300
47	98.8500
48	98.7900
49	98.7900
50	98.8500
