GlobalRound	GlobalAccuracy
1	88.7400
2	93.4900
3	95.1600
4	96.0400
5	96.7300
6	97.0600
7	97.4100
8	97.6000
9	97.6400
10	97.8700
11	97.9800
12	98.0200
13	98.1600
14	98.1500
15	98.3200
16	98.3100
17	98.4200
18	98.4400
19	98.4500
20	98.4300
21	98.5300
22	98.4700
23	98.5700
24	98.6300
25	98.6500
26	98.5900
27	98.7100
28	98.6400
29	98.7400
30	98.7200
31	98.7400
32	98.7400
33	98.7700
34	98.7600
35	98.7500
36	98.7400
37	98.9000
38	98.7700
39	98.8600
40	98.8300
41	98.7900
42	98.8000
43	98.8100
44	98.8300
45	98.8700
46	98.8100
47	98.8800
48	98.8400
49	98.8100
50	98.8400
