ClientID	NNPass_Train	TrainLoss	NNPass_Test	TestLoss
0	375	1.683464	375	0.585133
0	750	0.674410	750	0.316513
0	1125	0.556743	1125	0.290853
0	1500	0.503731	1500	0.254507
0	1875	0.470303	1875	0.190839
0	2250	0.451022	2250	0.211274
0	2625	0.437327	2625	0.191869
0	3000	0.425525	3000	0.197361
0	3375	0.414672	3375	0.222007
0	3750	0.408300	3750	0.178791
0	4125	0.401567	4125	0.187834
0	4500	0.396238	4500	0.189217
0	4875	0.391568	4875	0.154690
0	5250	0.387273	5250	0.186533
0	5625	0.382931	5625	0.151292
0	6000	0.381039	6000	0.186925
0	6375	0.375313	6375	0.155598
0	6750	0.373842	6750	0.170528
0	7125	0.369897	7125	0.128038
0	7500	0.366798	7500	0.142056
0	7875	0.365340	7875	0.127296
0	8250	0.363896	8250	0.175206
0	8625	0.360908	8625	0.119056
0	9000	0.358380	9000	0.216992
0	9375	0.355608	9375	0.172596
0	9750	0.354054	9750	0.121507
0	10125	0.350854	10125	0.166658
0	10500	0.350386	10500	0.127660
0	10875	0.349245	10875	0.182267
0	11250	0.346431	11250	0.139828
0	11625	0.346238	11625	0.118750
0	12000	0.345450	12000	0.143276
0	12375	0.344095	12375	0.152687
0	12750	0.342672	12750	0.098338
0	13125	0.339618	13125	0.141259
0	13500	0.337387	13500	0.137563
0	13875	0.337964	13875	0.135469
0	14250	0.336700	14250	0.114558
0	14625	0.336207	14625	0.114662
0	15000	0.333271	15000	0.099234
0	15375	0.333606	15375	0.134969
0	15750	0.332680	15750	0.164031
0	16125	0.329987	16125	0.137969
0	16500	0.328936	16500	0.113464
0	16875	0.327143	16875	0.111339
0	17250	0.328457	17250	0.121212
0	17625	0.327031	17625	0.107291
0	18000	0.326354	18000	0.188421
0	18375	0.323646	18375	0.109056
0	18750	0.324799	18750	0.147266
1	375	1.685348	375	0.635636
1	750	0.737073	750	0.382241
1	1125	0.620737	1125	0.328272
1	1500	0.567612	1500	0.272426
1	1875	0.534616	1875	0.269633
1	2250	0.508251	2250	0.290958
1	2625	0.495004	2625	0.226862
1	3000	0.479790	3000	0.225588
1	3375	0.470127	3375	0.235351
1	3750	0.462323	3750	0.197865
1	4125	0.452542	4125	0.217267
1	4500	0.444022	4500	0.195856
1	4875	0.438031	4875	0.146625
1	5250	0.434452	5250	0.191824
1	5625	0.428498	5625	0.189741
1	6000	0.424151	6000	0.193426
1	6375	0.419015	6375	0.164068
1	6750	0.416419	6750	0.251021
1	7125	0.414141	7125	0.191999
1	7500	0.409685	7500	0.217345
1	7875	0.405852	7875	0.243752
1	8250	0.405892	8250	0.178594
1	8625	0.402226	8625	0.164519
1	9000	0.400181	9000	0.207172
1	9375	0.399190	9375	0.163171
1	9750	0.396584	9750	0.198464
1	10125	0.393541	10125	0.170761
1	10500	0.391477	10500	0.169396
1	10875	0.391472	10875	0.195724
1	11250	0.388263	11250	0.161627
1	11625	0.386808	11625	0.186174
1	12000	0.385222	12000	0.151678
1	12375	0.383469	12375	0.182333
1	12750	0.382726	12750	0.148961
1	13125	0.380590	13125	0.162141
1	13500	0.379104	13500	0.183457
