GlobalRnd   ClientID  LocEpoch    Accuracy    LR          Loss        GradNorm    
1           0         1           84.9400     0.010000    1.683464    0.000000    
1           1         1           81.4800     0.010000    1.685348    0.000000    
1           2         1           84.2200     0.010000    1.807677    0.000000    
1           3         1           87.5900     0.010000    1.483191    0.000000    
1           4         1           86.9700     0.010000    1.502122    0.000000    
2           0         1           92.7400     0.010000    0.674410    0.000000    
2           1         1           90.3600     0.010000    0.737073    0.000000    
2           2         1           88.3900     0.010000    1.032313    0.000000    
2           3         1           91.7300     0.010000    0.362951    0.000000    
2           4         1           92.2600     0.010000    0.366330    0.000000    
3           0         1           93.8200     0.010000    0.556743    0.000000    
3           1         1           92.3200     0.010000    0.620737    0.000000    
3           2         1           90.9900     0.010000    0.936293    0.000000    
3           3         1           94.4200     0.010000    0.248369    0.000000    
3           4         1           94.2600     0.010000    0.243927    0.000000    
4           0         1           94.6800     0.010000    0.503731    0.000000    
4           1         1           94.4500     0.010000    0.567612    0.000000    
4           2         1           93.6500     0.010000    0.891711    0.000000    
4           3         1           92.8300     0.010000    0.194246    0.000000    
4           4         1           95.6900     0.010000    0.191325    0.000000    
5           0         1           96.0700     0.010000    0.470303    0.000000    
5           1         1           94.2200     0.010000    0.534616    0.000000    
5           2         1           93.3300     0.010000    0.863345    0.000000    
5           3         1           96.2300     0.010000    0.164740    0.000000    
5           4         1           96.2700     0.010000    0.158296    0.000000    
6           0         1           96.2100     0.010000    0.451022    0.000000    
6           1         1           92.9900     0.010000    0.508251    0.000000    
6           2         1           94.5600     0.010000    0.847304    0.000000    
6           3         1           96.3800     0.010000    0.142885    0.000000    
6           4         1           96.4700     0.010000    0.137610    0.000000    
7           0         1           96.3500     0.010000    0.437327    0.000000    
7           1         1           95.6300     0.010000    0.495004    0.000000    
7           2         1           96.0200     0.010000    0.831609    0.000000    
7           3         1           97.2700     0.010000    0.129160    0.000000    
7           4         1           96.2600     0.010000    0.123309    0.000000    
8           0         1           96.3600     0.010000    0.425525    0.000000    
8           1         1           95.2300     0.010000    0.479790    0.000000    
8           2         1           94.9100     0.010000    0.818490    0.000000    
8           3         1           97.2900     0.010000    0.117036    0.000000    
8           4         1           97.0200     0.010000    0.114817    0.000000    
9           0         1           96.6000     0.010000    0.414672    0.000000    
9           1         1           95.9100     0.010000    0.470127    0.000000    
9           2         1           95.4000     0.010000    0.811332    0.000000    
9           3         1           97.0500     0.010000    0.108828    0.000000    
9           4         1           97.2400     0.010000    0.105502    0.000000    
10          0         1           96.9600     0.010000    0.408300    0.000000    
10          1         1           96.4800     0.010000    0.462323    0.000000    
10          2         1           96.0600     0.010000    0.805187    0.000000    
10          3         1           97.3500     0.010000    0.102161    0.000000    
10          4         1           97.4900     0.010000    0.099262    0.000000    
11          0         1           97.0100     0.010000    0.401567    0.000000    
11          1         1           96.3500     0.010000    0.452542    0.000000    
11          2         1           95.8000     0.010000    0.796034    0.000000    
11          3         1           97.4800     0.010000    0.096804    0.000000    
11          4         1           97.7300     0.010000    0.091923    0.000000    
12          0         1           96.9200     0.010000    0.396238    0.000000    
12          1         1           96.8700     0.010000    0.444022    0.000000    
12          2         1           96.9200     0.010000    0.790011    0.000000    
12          3         1           97.6700     0.010000    0.092758    0.000000    
12          4         1           97.4400     0.010000    0.086937    0.000000    
13          0         1           97.4900     0.010000    0.391568    0.000000    
13          1         1           97.6100     0.010000    0.438031    0.000000    
13          2         1           96.1500     0.010000    0.784694    0.000000    
13          3         1           97.7000     0.010000    0.087650    0.000000    
13          4         1           97.7800     0.010000    0.082719    0.000000    
14          0         1           96.9000     0.010000    0.387273    0.000000    
14          1         1           97.1900     0.010000    0.434452    0.000000    
14          2         1           97.0700     0.010000    0.782487    0.000000    
14          3         1           97.4700     0.010000    0.084913    0.000000    
14          4         1           98.0100     0.010000    0.079279    0.000000    
15          0         1           97.4100     0.010000    0.382931    0.000000    
15          1         1           97.4900     0.010000    0.428498    0.000000    
15          2         1           96.7600     0.010000    0.776675    0.000000    
15          3         1           97.9200     0.010000    0.081902    0.000000    
15          4         1           97.9300     0.010000    0.076168    0.000000    
16          0         1           97.3600     0.010000    0.381039    0.000000    
16          1         1           97.2500     0.010000    0.424151    0.000000    
16          2         1           96.7600     0.010000    0.771653    0.000000    
16          3         1           97.8400     0.010000    0.076994    0.000000    
16          4         1           97.5400     0.010000    0.073616    0.000000    
17          0         1           97.6000     0.010000    0.375313    0.000000    
17          1         1           97.3300     0.010000    0.419015    0.000000    
17          2         1           97.3700     0.010000    0.767348    0.000000    
17          3         1           98.0700     0.010000    0.074309    0.000000    
17          4         1           97.9900     0.010000    0.069944    0.000000    
18          0         1           97.6400     0.010000    0.373842    0.000000    
18          1         1           95.0700     0.010000    0.416419    0.000000    
18          2         1           96.7600     0.010000    0.764893    0.000000    
18          3         1           98.1900     0.010000    0.072726    0.000000    
18          4         1           98.0800     0.010000    0.067691    0.000000    
19          0         1           98.2400     0.010000    0.369897    0.000000    
19          1         1           96.9300     0.010000    0.414141    0.000000    
19          2         1           94.8200     0.010000    0.762188    0.000000    
19          3         1           98.1500     0.010000    0.069553    0.000000    
19          4         1           97.8700     0.010000    0.066535    0.000000    
20          0         1           97.7600     0.010000    0.366798    0.000000    
20          1         1           96.5000     0.010000    0.409685    0.000000    
20          2         1           95.4100     0.010000    0.758114    0.000000    
20          3         1           98.0400     0.010000    0.068554    0.000000    
20          4         1           97.8500     0.010000    0.064785    0.000000    
21          0         1           98.0800     0.010000    0.365340    0.000000    
21          1         1           95.9400     0.010000    0.405852    0.000000    
21          2         1           96.9500     0.010000    0.755999    0.000000    
21          3         1           98.2300     0.010000    0.066152    0.000000    
21          4         1           98.2400     0.010000    0.062642    0.000000    
22          0         1           97.3800     0.010000    0.363896    0.000000    
22          1         1           97.3000     0.010000    0.405892    0.000000    
