ClientID	NNPass_Train	TrainLoss	NNPass_Test	TestLoss
0	433	0.838941	433	2.075511
0	866	0.291759	866	1.087935
0	1299	0.185069	1299	0.484783
0	1732	0.148972	1732	0.347901
0	2165	0.125224	2165	0.473015
0	2598	0.111698	2598	0.250364
0	3031	0.101159	3031	0.246626
0	3464	0.090431	3464	0.255558
0	3897	0.084345	3897	0.245103
0	4330	0.077577	4330	0.283704
0	4763	0.075817	4763	0.208975
0	5196	0.071254	5196	0.352244
0	5629	0.066867	5629	0.210678
0	6062	0.065522	6062	0.180036
0	6495	0.061675	6495	0.215208
0	6928	0.058979	6928	0.183824
0	7361	0.057943	7361	0.219880
0	7794	0.053606	7794	0.238962
0	8227	0.052488	8227	0.136904
0	8660	0.051183	8660	0.161639
0	9093	0.049145	9093	0.171308
0	9526	0.048589	9526	0.203493
0	9959	0.046909	9959	0.148926
0	10392	0.045515	10392	0.199055
0	10825	0.044306	10825	0.370454
0	11258	0.042527	11258	0.189432
0	11691	0.040911	11691	0.190495
0	12124	0.041339	12124	0.129524
0	12557	0.039904	12557	0.178976
0	12990	0.038956	12990	0.138303
0	13423	0.038153	13423	0.131436
0	13856	0.038544	13856	0.144894
0	14289	0.036035	14289	0.095498
0	14722	0.036409	14722	0.125680
0	15155	0.034706	15155	0.166971
0	15588	0.035102	15588	0.370511
0	16021	0.033067	16021	0.259737
0	16454	0.032518	16454	0.127942
0	16887	0.032352	16887	0.098877
0	17320	0.030839	17320	0.112829
0	17753	0.030401	17753	0.123031
0	18186	0.029182	18186	0.113719
0	18619	0.030318	18619	0.109794
0	19052	0.029451	19052	0.127106
0	19485	0.028401	19485	0.152220
0	19918	0.027989	19918	0.224138
0	20351	0.027961	20351	0.120255
0	20784	0.027282	20784	0.105585
0	21217	0.027242	21217	0.144529
0	21650	0.028277	21650	0.084727
1	320	0.825422	320	3.542415
1	640	0.276448	640	2.163094
1	960	0.178966	960	1.309632
1	1280	0.135471	1280	0.932015
1	1600	0.114796	1600	0.667700
1	1920	0.101641	1920	0.838741
1	2240	0.093268	2240	0.692058
1	2560	0.084245	2560	0.587330
1	2880	0.076771	2880	0.501046
1	3200	0.073228	3200	0.458058
1	3520	0.066705	3520	0.406286
1	3840	0.063882	3840	0.429671
1	4160	0.061756	4160	0.367006
1	4480	0.057330	4480	0.419814
1	4800	0.056972	4800	0.334320
1	5120	0.053316	5120	0.326968
1	5440	0.051990	5440	0.475444
1	5760	0.048733	5760	0.307140
1	6080	0.047305	6080	0.355129
1	6400	0.047275	6400	0.342970
1	6720	0.044812	6720	0.354751
1	7040	0.044203	7040	0.384953
1	7360	0.041724	7360	0.329748
1	7680	0.041266	7680	0.286478
1	8000	0.041019	8000	0.234330
1	8320	0.040608	8320	0.203247
1	8640	0.037902	8640	0.192456
1	8960	0.037310	8960	0.210004
1	9280	0.037100	9280	0.270532
1	9600	0.034058	9600	0.194999
1	9920	0.034307	9920	0.256271
1	10240	0.032995	10240	0.208476
1	10560	0.032168	10560	0.167375
1	10880	0.032343	10880	0.183538
1	11200	0.030480	11200	0.175082
1	11520	0.031067	11520	0.173582
1	11840	0.031018	11840	0.232863
1	12160	0.030411	12160	0.139778
1	12480	0.029282	12480	0.165378
1	12800	0.028964	12800	0.200829
1	13120	0.027115	13120	0.197301
1	13440	0.026231	13440	0.268391
1	13760	0.027306	13760	0.277418
1	14080	0.026005	14080	0.143776
1	14400	0.025790	14400	0.148498
1	14720	0.024953	14720	0.174840
1	15040	0.024969	15040	0.122859
1	15360	0.024689	15360	0.148941
1	15680	0.023526	15680	0.132528
1	16000	0.022559	16000	0.161133
2	521	0.739604	521	2.961435
2	1042	0.284852	1042	1.432619
2	1563	0.193448	1563	0.751542
2	2084	0.152159	2084	0.542621
2	2605	0.129669	2605	0.462547
2	3126	0.112889	3126	0.560820
2	3647	0.102068	3647	0.504573
2	4168	0.093314	4168	0.467894
2	4689	0.086460	4689	0.352047
2	5210	0.082914	5210	0.348778
2	5731	0.076088	5731	0.394431
2	6252	0.072752	6252	0.312485
2	6773	0.068603	6773	0.354543
2	7294	0.067261	7294	0.320530
2	7815	0.062129	7815	0.259800
2	8336	0.061478	8336	0.304345
2	8857	0.056696	8857	0.376016
2	9378	0.056568	9378	0.381620
2	9899	0.053359	9899	0.387198
2	10420	0.051697	10420	0.275733
2	10941	0.051147	10941	0.510522
2	11462	0.048591	11462	0.236840
2	11983	0.046381	11983	0.374743
2	12504	0.044935	12504	0.323842
2	13025	0.044039	13025	0.267650
2	13546	0.044399	13546	0.287285
2	14067	0.040711	14067	0.304365
2	14588	0.039536	14588	0.286380
2	15109	0.039301	15109	0.234551
2	15630	0.038570	15630	0.291500
2	16151	0.038258	16151	0.291975
2	16672	0.035027	16672	0.282343
2	17193	0.035778	17193	0.255272
2	17714	0.035368	17714	0.242231
2	18235	0.033633	18235	0.239283
2	18756	0.032917	18756	0.188535
2	19277	0.032988	19277	0.406625
2	19798	0.031434	19798	0.298374
2	20319	0.031143	20319	0.203985
2	20840	0.029918	20840	0.191849
2	21361	0.030028	21361	0.189484
2	21882	0.028874	21882	0.262819
