GlobalRound	GlobalAccuracy
1	48.9200
2	87.9900
3	91.6900
4	93.6200
5	94.2700
6	95.0100
7	95.5700
8	95.3800
9	96.0400
10	96.4700
11	96.8200
12	97.1300
13	97.1100
14	96.9800
15	97.2000
16	97.5000
17	97.3300
18	97.7600
19	97.2400
20	97.4300
21	97.7100
22	97.8100
23	97.9600
24	97.9800
25	98.0100
26	97.9900
27	97.9800
28	98.0600
29	97.9700
30	98.0500
31	98.0800
32	98.1500
33	98.1700
34	98.2000
35	98.1300
36	97.6600
37	98.0800
38	98.2300
39	98.3300
40	98.1900
41	98.3600
42	98.2100
43	98.2200
44	98.2600
45	98.3400
46	98.4200
47	98.4000
48	98.3100
49	98.3000
50	98.2200
