GlobalRnd   ClientID  LocEpoch    Accuracy    LR          Loss        GradNorm    
1           0         1           88.8500     0.214129    0.857698    2.576046    
1           1         1           83.6300     0.201956    0.893541    2.585164    
1           2         1           88.6800     0.299415    1.233031    2.340058    
1           3         1           93.2600     0.109116    0.582354    3.121680    
1           4         1           91.2200     0.115326    0.641221    3.206908    
2           0         1           95.3500     0.291294    0.574207    2.116785    
2           1         1           91.3800     0.303859    0.599351    1.999139    
2           2         1           86.7200     0.385712    1.026180    2.146334    
2           3         1           96.4000     0.152613    0.207981    1.983344    
2           4         1           95.2700     0.157664    0.225714    2.057364    
3           0         1           88.5600     0.382993    0.496913    1.694339    
3           1         1           93.3800     0.375008    0.551496    1.767301    
3           2         1           92.8100     0.443232    0.971068    1.963493    
3           3         1           96.8200     0.235054    0.126290    1.327106    
3           4         1           97.6800     0.219483    0.122162    1.339306    
4           0         1           93.7900     0.423667    0.463225    1.573384    
4           1         1           95.6000     0.450211    0.519867    1.589679    
4           2         1           86.1900     0.503523    0.965322    1.896865    
4           3         1           97.6700     0.256653    0.097662    1.143742    
4           4         1           97.8300     0.247232    0.100541    1.173511    
5           0         1           93.6600     0.456357    0.452339    1.464532    
5           1         1           94.3200     0.459338    0.506802    1.551324    
5           2         1           92.0200     0.527521    0.971752    1.889830    
5           3         1           97.2800     0.277942    0.080933    0.957817    
5           4         1           96.5500     0.292097    0.085377    1.026000    
6           0         1           96.9100     0.474612    0.435121    1.412538    
6           1         1           96.1400     0.519822    0.508976    1.485165    
6           2         1           85.6600     0.555553    0.973842    1.881660    
6           3         1           97.9200     0.301362    0.063200    0.838170    
6           4         1           98.0300     0.284436    0.076788    0.940605    
7           0         1           96.9200     0.506074    0.424896    1.358461    
7           1         1           96.3500     0.510973    0.510926    1.502436    
7           2         1           91.2000     0.620039    0.980550    1.782394    
7           3         1           98.3500     0.323606    0.058983    0.782321    
7           4         1           98.0900     0.307746    0.065541    0.830169    
8           0         1           97.2700     0.513354    0.416707    1.301652    
8           1         1           96.9200     0.538146    0.477582    1.361473    
8           2         1           92.4100     0.621220    0.987564    1.854784    
8           3         1           98.2800     0.350227    0.057098    0.788839    
8           4         1           98.5500     0.311394    0.054047    0.786599    
9           0         1           97.8100     0.575401    0.412321    1.241568    
9           1         1           94.5000     0.548980    0.461050    1.313350    
9           2         1           90.1800     0.616474    0.943745    1.727950    
9           3         1           98.7200     0.357707    0.049273    0.703220    
9           4         1           98.5700     0.334877    0.054593    0.756917    
10          0         1           96.9400     0.592782    0.421315    1.287126    
10          1         1           96.8500     0.571506    0.494274    1.389647    
10          2         1           90.2900     0.636567    0.954405    1.751659    
10          3         1           98.4500     0.359878    0.048885    0.715628    
10          4         1           98.4900     0.314472    0.047822    0.720270    
11          0         1           97.5100     0.584759    0.412450    1.258927    
11          1         1           96.2700     0.630519    0.471147    1.285866    
11          2         1           91.2800     0.642191    0.954943    1.758276    
11          3         1           98.3800     0.385962    0.052531    0.752583    
11          4         1           98.3900     0.354559    0.054391    0.725910    
12          0         1           97.7100     0.627714    0.412730    1.235416    
12          1         1           95.8600     0.599812    0.457342    1.262675    
12          2         1           92.1300     0.645587    0.945293    1.771663    
12          3         1           98.6000     0.355609    0.041549    0.664501    
12          4         1           98.5700     0.355295    0.039653    0.651866    
13          0         1           97.7100     0.580791    0.396028    1.168477    
13          1         1           94.7500     0.660109    0.469545    1.272532    
13          2         1           91.5400     0.683053    0.979476    1.762378    
13          3         1           97.8300     0.398622    0.038161    0.611888    
13          4         1           98.5500     0.384875    0.036507    0.604128    
14          0         1           96.5600     0.654278    0.407881    1.188009    
14          1         1           95.7100     0.605227    0.448107    1.224232    
14          2         1           94.9300     0.662726    0.965873    1.767043    
14          3         1           98.8400     0.365850    0.040783    0.673199    
14          4         1           98.4200     0.373514    0.038657    0.609912    
15          0         1           97.8900     0.614047    0.395094    1.173589    
15          1         1           95.6700     0.665016    0.470635    1.275215    
15          2         1           90.9300     0.661949    0.940815    1.717605    
15          3         1           98.7600     0.409916    0.044110    0.634818    
15          4         1           98.1100     0.451287    0.036658    0.569694    
16          0         1           97.1700     0.586763    0.389713    1.174925    
16          1         1           96.8500     0.683666    0.451152    1.189699    
16          2         1           92.1900     0.670930    0.953587    1.732749    
16          3         1           98.6800     0.433150    0.036985    0.616737    
16          4         1           98.7700     0.517557    0.029879    0.513235    
17          0         1           97.3500     0.657130    0.396147    1.170039    
17          1         1           94.8600     0.636549    0.447262    1.194854    
17          2         1           92.1600     0.668349    0.932561    1.691778    
17          3         1           98.6800     0.425725    0.034009    0.583693    
17          4         1           98.8900     0.430858    0.031197    0.524664    
18          0         1           97.4000     0.659703    0.387988    1.112926    
18          1         1           92.3200     0.654138    0.448291    1.183001    
18          2         1           91.4200     0.702562    0.943476    1.679271    
18          3         1           98.8500     0.701050    0.034207    0.566295    
18          4         1           98.7400     0.521469    0.031163    0.577923    
19          0         1           96.3400     0.700966    0.391757    1.091439    
19          1         1           96.0900     0.697418    0.445307    1.114142    
19          2         1           93.7200     0.678769    0.951898    1.742650    
19          3         1           98.2500     0.433064    0.036445    0.571405    
19          4         1           98.6500     0.484100    0.035458    0.585367    
20          0         1           97.8100     0.683883    0.390983    1.174930    
20          1         1           96.3500     0.670792    0.447203    1.169401    
20          2         1           93.1000     0.669364    0.934983    1.691897    
20          3         1           98.8000     0.532288    0.031463    0.537930    
20          4         1           98.8300     0.536294    0.028543    0.506932    
21          0         1           97.7000     0.615661    0.397556    1.165514    
21          1         1           95.6700     0.684309    0.451600    1.250717    
21          2         1           84.9000     0.726419    0.951783    1.656840    
21          3         1           98.7900     0.759254    0.023854    0.427460    
21          4         1           98.9400     0.710427    0.028377    0.524304    
22          0         1           96.6600     0.671235    0.382331    1.100983    
22          1         1           95.5100     0.658720    0.459998    1.234008    
22          2         1           93.1400     0.719454    0.980229    1.753165    
22          3         1           98.8100     1.009159    0.026276    0.472675    
22          4         1           98.8000     0.709623    0.024992    0.467132    
23          0         1           96.8600     0.659637    0.381242    1.087256    
23          1         1           96.8700     0.706653    0.460641    1.249121    
23          2         1           93.5900     0.692397    0.964528    1.767893    
23          3         1           98.4400     0.954842    0.027915    0.464862    
23          4         1           98.8100     0.583810    0.028277    0.511456    
24          0         1           97.6500     0.703804    0.383649    1.072730    
24          1         1           96.5100     0.677957    0.451773    1.224603    
24          2         1           92.1100     0.699245    0.949598    1.697092    
24          3         1           98.8700     0.766564    0.028964    0.482879    
24          4         1           98.8000     0.772561    0.029881    0.501097    
25          0         1           96.3900     0.622283    0.378230    1.127858    
25          1         1           96.6900     0.661208    0.442256    1.182612    
25          2         1           89.5400     0.732821    0.965872    1.703208    
25          3         1           98.7800     0.910819    0.025070    0.440660    
25          4         1           98.7100     0.658314    0.029308    0.510331    
26          0         1           97.0500     0.691698    0.391911    1.130613    
26          1         1           94.4300     0.697692    0.445493    1.189051    
26          2         1           94.3500     0.752890    0.972925    1.723195    
26          3         1           98.6700     0.789274    0.030692    0.493307    
26          4         1           98.7400     0.481467    0.035534    0.577627    
27          0         1           97.2800     0.694994    0.383393    1.109797    
27          1         1           95.8400     0.726807    0.435894    1.104233    
27          2         1           91.4100     0.756954    0.938856    1.648030    
27          3         1           98.8100     0.964058    0.029426    0.471826    
27          4         1           98.7200     1.114272    0.026363    0.470962    
28          0         1           97.1600     0.703739    0.392483    1.163674    
28          1         1           96.7400     0.720277    0.439988    1.155458    
28          2         1           94.8000     0.727188    0.954093    1.693288    
28          3         1           98.2400     0.749907    0.026087    0.463331    
28          4         1           98.6800     0.584017    0.030427    0.514801    
29          0         1           97.9200     0.696168    0.379757    1.109425    
29          1         1           93.6900     0.677071    0.444120    1.221673    
29          2         1           90.2800     0.716491    0.938960    1.673670    
29          3         1           98.8400     0.795576    0.024511    0.468066    
29          4         1           98.6600     0.720074    0.028123    0.510189    
30          0         1           97.5200     0.682868    0.389306    1.094508    
30          1         1           97.1800     0.719068    0.450626    1.180955    
30          2         1           93.0800     0.717012    0.944542    1.652935    
30          3         1           98.8800     0.896203    0.024181    0.429119    
30          4         1           98.8500     0.899058    0.027218    0.479551    
31          0         1           96.8500     0.709258    0.391907    1.133672    
31          1         1           93.1400     0.716964    0.432565    1.147377    
31          2         1           94.0500     0.731562    0.946630    1.667439    
31          3         1           98.7300     0.927881    0.032211    0.506425    
31          4         1           98.7600     0.715643    0.029159    0.515698    
32          0         1           94.8400     0.762757    0.373552    1.038262    
32          1         1           95.2400     0.739652    0.440870    1.166532    
32          2         1           90.4300     0.761228    0.935187    1.592748    
32          3         1           98.8700     0.652087    0.028507    0.496571    
32          4         1           98.9100     1.196687    0.025483    0.426635    
33          0         1           96.3500     0.680582    0.388522    1.135977    
33          1         1           95.7800     0.721690    0.437915    1.127153    
33          2         1           91.5900     0.749075    0.940077    1.648438    
33          3         1           98.6000     0.921246    0.023706    0.434494    
33          4         1           98.7200     0.866900    0.023833    0.458847    
34          0         1           97.4300     0.728298    0.378373    1.061668    
34          1         1           96.1300     0.740781    0.426753    1.093468    
34          2         1           91.7900     0.746866    0.924262    1.611130    
34          3         1           98.8500     0.977602    0.024185    0.449548    
34          4         1           98.8000     0.824792    0.029975    0.481679    
35          0         1           97.4200     0.697931    0.376482    1.097586    
35          1         1           96.9200     0.736043    0.433423    1.125372    
35          2         1           90.9100     0.755932    0.934149    1.607153    
35          3         1           98.8100     1.068526    0.024549    0.455665    
35          4         1           98.8600     1.317590    0.022528    0.421125    
36          0         1           97.9100     0.701665    0.378478    1.071561    
36          1         1           97.4400     0.700417    0.428439    1.096172    
36          2         1           93.7700     0.758607    0.941362    1.665673    
36          3         1           98.7700     1.150178    0.026484    0.482465    
36          4         1           98.8300     0.998450    0.023782    0.463493    
37          0         1           97.0800     0.716868    0.374640    1.047451    
37          1         1           97.1300     0.733563    0.435783    1.113451    
37          2         1           90.3500     0.740239    0.973803    1.774638    
37          3         1           98.8400     0.836484    0.026901    0.495875    
37          4         1           98.8700     1.003836    0.026022    0.468733    
38          0         1           97.6400     0.704327    0.372643    1.073643    
38          1         1           96.0000     0.740741    0.429749    1.151381    
38          2         1           90.4100     0.765445    0.962182    1.715103    
38          3         1           98.6700     1.232505    0.025243    0.435171    
38          4         1           98.9500     1.464774    0.022224    0.426740    
39          0         1           97.4800     0.717880    0.374342    1.049656    
39          1         1           96.5100     0.711334    0.448511    1.180175    
39          2         1           77.4600     0.700318    0.962711    1.776982    
39          3         1           98.8900     1.132260    0.024885    0.471621    
39          4         1           98.9600     1.185168    0.027144    0.475224    
40          0         1           97.7500     0.714242    0.373187    1.081079    
40          1         1           95.9100     0.745464    0.434904    1.142063    
40          2         1           94.1200     0.769209    0.950487    1.624712    
40          3         1           98.9400     1.395818    0.019637    0.380921    
40          4         1           98.9300     1.669838    0.019970    0.396802    
41          0         1           97.3000     0.678969    0.379794    1.083020    
41          1         1           97.5400     0.744663    0.433282    1.121084    
41          2         1           91.0700     0.757696    0.954842    1.663696    
41          3         1           98.9500     1.351268    0.022431    0.411557    
41          4         1           98.9300     1.435146    0.022534    0.446047    
42          0         1           97.6200     0.732170    0.372471    1.040757    
42          1         1           96.8200     0.701318    0.447901    1.174321    
42          2         1           89.8500     0.749130    0.952278    1.627934    
42          3         1           99.0100     1.141952    0.022876    0.437730    
42          4         1           99.0500     1.627575    0.023296    0.435707    
43          0         1           96.3700     0.744179    0.379222    1.090861    
43          1         1           94.3500     0.684014    0.439857    1.150398    
43          2         1           94.2500     0.769537    0.927877    1.628026    
43          3         1           98.9400     1.447670    0.025717    0.477277    
43          4         1           98.8500     1.240848    0.024301    0.457545    
44          0         1           96.9800     0.691217    0.378822    1.124843    
44          1         1           96.9500     0.719455    0.426322    1.120857    
44          2         1           92.6900     0.737775    0.935125    1.682119    
44          3         1           98.9400     2.200386    0.023744    0.436096    
44          4         1           98.8700     1.247131    0.019062    0.428211    
45          0         1           97.5900     0.732282    0.371094    1.038362    
45          1         1           96.2000     0.753531    0.428727    1.113411    
45          2         1           94.2800     0.760573    0.951882    1.670948    
45          3         1           98.7100     1.342217    0.024256    0.470604    
45          4         1           98.8100     1.190495    0.021718    0.430491    
46          0         1           98.0100     0.738820    0.374823    1.053477    
46          1         1           97.1900     0.751425    0.425907    1.133254    
46          2         1           92.9800     0.725254    0.924804    1.637133    
46          3         1           98.9200     1.766053    0.025656    0.446313    
46          4         1           98.9300     1.562367    0.022790    0.409339    
47          0         1           97.5900     0.677844    0.385387    1.143116    
47          1         1           95.3800     0.762163    0.422799    1.072529    
47          2         1           93.3700     0.779166    0.946427    1.646977    
47          3         1           98.6900     1.516697    0.021366    0.415760    
47          4         1           98.9200     1.915859    0.021806    0.404269    
48          0         1           97.5500     0.692236    0.376304    1.073416    
48          1         1           90.9900     0.734240    0.444119    1.161218    
48          2         1           89.0400     0.790313    0.939291    1.606165    
48          3         1           98.8600     2.096904    0.024249    0.435516    
48          4         1           99.0100     1.044988    0.021979    0.436316    
49          0         1           97.7100     0.730430    0.383915    1.093803    
49          1         1           97.8000     0.797831    0.440238    1.123911    
49          2         1           91.3200     0.795045    0.951250    1.620976    
49          3         1           98.9300     0.934428    0.022105    0.403106    
49          4         1           98.8800     2.992635    0.021419    0.402015    
50          0         1           94.2900     0.765913    0.377327    1.076757    
50          1         1           95.5000     0.699409    0.441802    1.200343    
50          2         1           88.1600     0.771684    0.945767    1.663043    
50          3         1           98.9100     2.853006    0.022865    0.406288    
50          4         1           98.8300     2.160296    0.024735    0.455356    
