GlobalRound	GlobalAccuracy
1	92.8300
2	96.9600
3	97.7100
4	98.1300
5	98.1500
6	98.3400
7	98.5400
8	98.6500
9	98.7700
10	98.6800
11	98.7100
12	98.7100
13	98.7200
14	98.7900
15	98.8400
16	98.8600
17	98.9100
18	98.8900
19	98.6800
20	98.9200
21	98.9300
22	98.8800
23	98.9200
24	98.8000
25	98.8400
26	98.7900
27	98.8300
28	98.8300
29	98.7800
30	98.8700
31	98.8200
32	98.9300
33	98.9000
34	98.9400
35	98.9400
36	98.8200
37	98.9700
38	98.9600
39	98.9900
40	99.0200
41	99.0300
42	99.0000
43	98.9500
44	98.9500
45	98.8700
46	99.0000
47	98.8600
48	98.9000
49	98.9100
50	98.9500
