GlobalRnd   ClientID  LocEpoch    Accuracy    LR          Loss        GradNorm    
1           0         1           87.3500     0.099267    0.503515    2.761624    
1           1         1           58.8100     0.084535    0.627515    3.108023    
1           2         1           69.5000     0.070997    0.507542    3.168137    
1           3         1           66.7200     0.109721    0.589129    2.712503    
1           4         1           57.3500     0.082364    0.669671    2.640134    
2           0         1           92.4700     0.113795    0.226483    2.350634    
2           1         1           78.7200     0.069075    0.193998    2.440840    
2           2         1           82.8700     0.084780    0.234359    2.611976    
2           3         1           83.4200     0.116898    0.215560    2.207788    
2           4         1           79.9200     0.067577    0.247766    2.553822    
3           0         1           94.9100     0.134758    0.147023    1.820139    
3           1         1           80.2100     0.117635    0.122148    1.726290    
3           2         1           86.3400     0.137801    0.158126    1.896775    
3           3         1           81.3000     0.129932    0.117958    1.668797    
3           4         1           85.7500     0.097415    0.145089    1.950147    
4           0         1           95.1500     0.139300    0.117322    1.611221    
4           1         1           86.5700     0.124208    0.083320    1.462021    
4           2         1           87.6900     0.158656    0.119590    1.567039    
4           3         1           91.4600     0.148813    0.092213    1.401276    
4           4         1           84.0600     0.118492    0.119225    1.706570    
5           0         1           95.7100     0.153542    0.093657    1.388796    
5           1         1           88.5000     0.158890    0.067836    1.159503    
5           2         1           88.1800     0.154765    0.094738    1.412663    
5           3         1           90.8200     0.200678    0.079447    1.200346    
5           4         1           87.4800     0.128607    0.091441    1.438022    
6           0         1           96.4900     0.163444    0.084956    1.321481    
6           1         1           92.2600     0.182382    0.056459    1.054240    
6           2         1           93.5600     0.163145    0.080472    1.240505    
6           3         1           92.5500     0.184508    0.064145    1.078085    
6           4         1           91.0800     0.149575    0.078244    1.277028    
7           0         1           95.5800     0.163588    0.077134    1.281687    
7           1         1           90.7900     0.165478    0.048841    0.985410    
7           2         1           94.9500     0.164324    0.071866    1.192168    
7           3         1           96.8000     0.199472    0.052751    0.965127    
7           4         1           94.3000     0.138457    0.070563    1.237525    
8           0         1           97.0400     0.162003    0.066530    1.131056    
8           1         1           91.9600     0.182862    0.047534    0.905592    
8           2         1           89.7200     0.175670    0.059498    1.066261    
8           3         1           95.7500     0.213349    0.045194    0.874890    
8           4         1           91.1300     0.150947    0.060056    1.138314    
9           0         1           94.9200     0.176095    0.057232    1.030052    
9           1         1           96.1500     0.266284    0.041412    0.915883    
9           2         1           94.2000     0.161463    0.052593    1.023727    
9           3         1           93.7400     0.212644    0.048704    0.955721    
9           4         1           94.2400     0.149194    0.055958    1.118691    
10          0         1           96.1200     0.147880    0.051052    1.074546    
10          1         1           95.6400     0.185181    0.043269    0.873525    
10          2         1           96.3900     0.180765    0.052521    1.038102    
10          3         1           94.6300     0.183813    0.038185    0.807522    
10          4         1           91.1000     0.161193    0.058356    1.035493    
11          0         1           96.2400     0.157272    0.054254    1.088970    
11          1         1           97.3300     0.166713    0.032893    0.845255    
11          2         1           95.4100     0.185260    0.047543    0.940072    
11          3         1           96.9200     0.192896    0.032510    0.786624    
11          4         1           91.8500     0.159600    0.056550    1.101247    
12          0         1           97.7400     0.161594    0.047137    1.017540    
12          1         1           95.3300     0.223193    0.031597    0.829058    
12          2         1           94.1700     0.151024    0.044285    1.000448    
12          3         1           96.0700     0.239907    0.039634    0.803720    
12          4         1           93.5000     0.150918    0.049793    1.027885    
13          0         1           97.0300     0.168264    0.048423    1.020853    
13          1         1           96.5800     0.273436    0.025966    0.699538    
13          2         1           91.8700     0.165162    0.045315    0.977103    
13          3         1           96.1200     0.214230    0.035351    0.868205    
13          4         1           96.3200     0.156125    0.053148    1.068278    
14          0         1           96.9900     0.161258    0.044316    0.977597    
14          1         1           97.2300     0.254376    0.027848    0.741653    
14          2         1           96.3600     0.217644    0.036637    0.845084    
14          3         1           96.7500     0.232044    0.030828    0.783962    
14          4         1           96.5600     0.146849    0.039381    0.952855    
15          0         1           97.1100     0.153858    0.045263    0.992929    
15          1         1           96.9300     0.330042    0.024786    0.710339    
15          2         1           96.9100     0.181627    0.038270    0.910046    
15          3         1           97.4400     0.310488    0.018902    0.616601    
15          4         1           95.6400     0.145393    0.042848    0.955924    
16          0         1           96.2100     0.139570    0.042048    0.970957    
16          1         1           97.3600     0.276544    0.026304    0.771325    
16          2         1           92.6300     0.190231    0.037444    0.881600    
16          3         1           97.4200     0.231366    0.024337    0.698665    
16          4         1           96.5300     0.129958    0.045359    1.091508    
17          0         1           98.1200     0.151014    0.040793    1.028006    
17          1         1           97.8000     0.260728    0.021823    0.644343    
17          2         1           97.2700     0.163702    0.036035    0.876692    
17          3         1           95.4800     0.345894    0.021510    0.667044    
17          4         1           93.7800     0.146277    0.037152    0.932517    
18          0         1           97.4200     0.140773    0.050649    1.123370    
18          1         1           98.0800     0.308546    0.020564    0.647530    
18          2         1           95.7000     0.136157    0.041842    1.016037    
18          3         1           97.5000     0.294563    0.024206    0.716827    
18          4         1           97.1800     0.165623    0.037835    0.975073    
19          0         1           98.2500     0.186145    0.032266    0.927282    
19          1         1           97.9800     0.283057    0.020561    0.624731    
19          2         1           97.4400     0.193037    0.045736    0.998453    
19          3         1           97.6000     0.297604    0.024056    0.724740    
19          4         1           95.5600     0.144235    0.038927    1.010014    
20          0         1           97.1800     0.144114    0.040533    0.994241    
20          1         1           98.0900     0.639184    0.019730    0.588993    
20          2         1           96.7900     0.148412    0.036967    0.952349    
20          3         1           97.0000     0.300527    0.025030    0.745901    
20          4         1           96.2300     0.145525    0.035087    0.967580    
21          0         1           92.1000     0.132913    0.037613    0.984952    
21          1         1           97.7500     0.461510    0.021728    0.633652    
21          2         1           96.8000     0.148646    0.040520    0.975706    
21          3         1           96.8600     0.381550    0.025683    0.702468    
21          4         1           97.6700     0.156772    0.042836    1.060857    
22          0         1           97.8700     0.141205    0.036571    0.947809    
22          1         1           98.0200     0.357970    0.023816    0.653810    
22          2         1           95.4000     0.174007    0.036848    0.941794    
22          3         1           97.7400     0.255316    0.023240    0.726233    
22          4         1           97.1700     0.142402    0.033238    0.916326    
23          0         1           97.1800     0.156791    0.041321    1.023154    
23          1         1           98.2400     0.448330    0.019692    0.574018    
23          2         1           97.6200     0.165301    0.034636    0.927957    
23          3         1           98.0500     0.249223    0.020892    0.654460    
23          4         1           96.7200     0.136928    0.034712    0.952924    
24          0         1           98.1900     0.158035    0.032878    0.963843    
24          1         1           98.1200     0.642021    0.019696    0.567850    
24          2         1           96.9400     0.215977    0.031253    0.895992    
24          3         1           97.9900     0.394087    0.023509    0.645665    
24          4         1           97.7800     0.137552    0.030896    0.950605    
25          0         1           96.9900     0.192027    0.030225    0.908252    
25          1         1           97.8000     0.346523    0.026700    0.765699    
25          2         1           95.8200     0.164783    0.032044    0.906953    
25          3         1           97.7900     0.384216    0.021232    0.652021    
25          4         1           94.9500     0.111903    0.040259    1.057747    
26          0         1           97.8700     0.190890    0.031193    0.896267    
26          1         1           98.3600     0.529834    0.019032    0.569105    
26          2         1           97.8700     0.156092    0.032923    0.902686    
26          3         1           97.7400     0.598692    0.020805    0.680911    
26          4         1           96.6700     0.145284    0.047410    1.144314    
27          0         1           96.2800     0.207958    0.032385    0.918407    
27          1         1           98.0800     0.424590    0.020983    0.596873    
27          2         1           96.8100     0.169305    0.033723    0.942612    
27          3         1           97.8100     0.448193    0.020269    0.657392    
27          4         1           96.6500     0.143657    0.039725    1.111503    
28          0         1           98.4000     0.183107    0.030939    0.881026    
28          1         1           97.4700     0.627767    0.028649    0.768327    
28          2         1           95.2700     0.150717    0.039399    1.012730    
28          3         1           98.4100     0.385328    0.020099    0.649798    
28          4         1           95.8500     0.156309    0.036447    1.017824    
29          0         1           97.2100     0.181205    0.033491    0.936039    
29          1         1           98.1700     0.527231    0.020095    0.568611    
29          2         1           97.5600     0.179856    0.030865    0.892552    
29          3         1           97.6700     0.251844    0.021203    0.703309    
29          4         1           96.9300     0.158990    0.025164    0.893515    
30          0         1           97.8400     0.195544    0.028757    0.913060    
30          1         1           97.4200     0.424304    0.024335    0.675779    
30          2         1           96.5500     0.195205    0.033405    0.910429    
30          3         1           97.9900     0.809675    0.016882    0.563367    
30          4         1           94.7300     0.154731    0.039381    1.105942    
31          0         1           96.5800     0.195411    0.032741    0.902961    
31          1         1           98.3600     0.663337    0.023779    0.670666    
31          2         1           97.8000     0.169695    0.033532    0.932649    
31          3         1           98.0700     0.422494    0.019881    0.652239    
31          4         1           97.5700     0.118881    0.032532    1.021254    
32          0         1           98.4000     0.183206    0.030796    0.886373    
32          1         1           98.5100     0.494989    0.021766    0.657371    
32          2         1           97.3200     0.168460    0.032149    0.936216    
32          3         1           98.1700     0.428708    0.018846    0.664480    
32          4         1           96.8200     0.132750    0.036760    1.075495    
33          0         1           95.6900     0.248366    0.027455    0.857679    
33          1         1           98.2700     0.485164    0.021645    0.636530    
33          2         1           98.1700     0.197718    0.029613    0.935879    
33          3         1           98.1600     0.529023    0.019201    0.612628    
33          4         1           98.0300     0.175251    0.031206    0.970828    
34          0         1           97.7300     0.149384    0.033432    1.006236    
34          1         1           98.4000     0.703490    0.021496    0.642859    
34          2         1           97.8600     0.190960    0.028001    0.910241    
34          3         1           98.4200     0.651447    0.021128    0.685200    
34          4         1           95.5300     0.141298    0.034173    1.034467    
35          0         1           97.5100     0.196011    0.040454    1.027585    
35          1         1           98.6000     0.807498    0.020849    0.625215    
35          2         1           95.4500     0.176000    0.028749    0.938282    
35          3         1           97.6300     0.333214    0.024764    0.738188    
35          4         1           97.8000     0.244454    0.026706    0.984803    
36          0         1           97.7800     0.165562    0.036293    1.003799    
36          1         1           98.3600     0.838887    0.021423    0.637711    
36          2         1           98.1300     0.257376    0.024211    0.775387    
36          3         1           98.2500     0.517469    0.019648    0.646863    
36          4         1           98.1500     0.142873    0.030358    1.045459    
37          0         1           97.8500     0.172062    0.028413    0.913017    
37          1         1           98.0500     0.611694    0.023281    0.641211    
37          2         1           98.1500     0.203608    0.030122    0.920229    
37          3         1           98.3100     0.444008    0.020294    0.648641    
37          4         1           95.1900     0.141527    0.029296    0.951670    
38          0         1           98.1900     0.146861    0.035490    1.053474    
38          1         1           98.6000     0.635847    0.020750    0.633056    
38          2         1           97.4900     0.216798    0.024782    0.798940    
38          3         1           98.3500     0.427109    0.019913    0.668127    
38          4         1           94.1300     0.120916    0.032348    1.006390    
39          0         1           98.2800     0.282978    0.027701    0.889654    
39          1         1           98.2000     1.167515    0.020167    0.624423    
39          2         1           98.1500     0.198460    0.029764    0.972770    
39          3         1           98.4700     0.501754    0.021520    0.694830    
39          4         1           97.7200     0.138022    0.032488    1.090254    
40          0         1           97.1900     0.192681    0.026761    0.896192    
40          1         1           98.6600     0.325935    0.027835    0.732745    
40          2         1           95.8600     0.178972    0.029724    0.962206    
40          3         1           98.0300     0.265224    0.032975    0.899175    
40          4         1           97.7200     0.163561    0.033463    1.016758    
41          0         1           98.3500     0.223612    0.026162    0.913385    
41          1         1           98.6100     0.871091    0.019370    0.623128    
41          2         1           97.3300     0.235558    0.024923    0.846082    
41          3         1           98.2900     0.418364    0.020266    0.664681    
41          4         1           98.2000     0.245628    0.025034    0.892673    
42          0         1           97.9600     0.150596    0.033556    1.013617    
42          1         1           98.4300     0.844417    0.020472    0.630425    
42          2         1           97.5000     0.277089    0.024109    0.870466    
42          3         1           98.4100     0.463064    0.019680    0.641410    
42          4         1           98.4600     0.113240    0.030105    1.078521    
43          0         1           97.8300     0.189398    0.029382    0.908771    
43          1         1           98.7900     0.842109    0.025292    0.779366    
43          2         1           95.8500     0.118786    0.024022    0.892828    
43          3         1           97.8000     0.314283    0.024895    0.797044    
43          4         1           93.2300     0.127839    0.027573    1.033897    
44          0         1           98.1600     0.188477    0.024407    0.898375    
44          1         1           98.1800     0.924244    0.024652    0.712207    
44          2         1           98.2900     0.328270    0.022832    0.803378    
