GlobalRound	GlobalAccuracy
1	63.8900
2	94.3400
3	96.4000
4	97.2400
5	97.7600
6	97.8600
7	98.2200
8	98.2500
9	98.3400
10	98.3000
11	98.5800
12	98.4500
13	98.3100
14	98.5600
15	98.5100
16	98.5600
17	98.6700
18	98.6300
19	98.7200
20	98.5100
21	98.5400
22	98.7200
23	98.6600
24	98.8000
25	98.7700
26	98.7600
27	98.6500
28	98.6400
29	98.7900
30	98.7800
31	98.8300
32	98.8800
33	98.7900
34	98.8900
35	98.8100
36	98.8000
37	98.8100
38	98.8000
39	98.8500
40	98.8800
41	98.9200
42	98.8600
43	98.8500
44	98.8900
45	98.8200
46	98.8700
47	98.8400
48	98.8700
49	98.9100
50	98.9400
