GlobalRnd   ClientID  LocEpoch    Accuracy    LR          Loss        GradNorm    
1           0         1           9.8000      0.010000    1.222869    0.000000    
1           1         1           76.7500     0.010000    1.301025    0.000000    
1           2         1           89.1000     0.010000    1.290369    0.000000    
1           3         1           81.3600     0.010000    1.317858    0.000000    
1           4         1           88.8900     0.010000    1.288832    0.000000    
2           0         1           77.6000     0.010000    0.018866    0.000000    
2           1         1           92.6900     0.010000    0.301424    0.000000    
2           2         1           80.7200     0.010000    0.298341    0.000000    
2           3         1           80.4100     0.010000    0.305673    0.000000    
2           4         1           91.6400     0.010000    0.298986    0.000000    
3           0         1           88.6200     0.010000    0.015329    0.000000    
3           1         1           95.1700     0.010000    0.204377    0.000000    
3           2         1           94.5900     0.010000    0.202540    0.000000    
3           3         1           89.1500     0.010000    0.207527    0.000000    
3           4         1           95.2200     0.010000    0.203156    0.000000    
4           0         1           92.8200     0.010000    0.012991    0.000000    
4           1         1           95.0000     0.010000    0.162816    0.000000    
4           2         1           96.1200     0.010000    0.161187    0.000000    
4           3         1           88.8300     0.010000    0.163505    0.000000    
4           4         1           59.9800     0.010000    0.164745    0.000000    
5           0         1           94.6200     0.010000    0.010451    0.000000    
5           1         1           93.5400     0.010000    0.139899    0.000000    
5           2         1           95.9000     0.010000    0.136096    0.000000    
5           3         1           95.6400     0.010000    0.139977    0.000000    
5           4         1           96.6300     0.010000    0.140139    0.000000    
6           0         1           95.2300     0.010000    0.010170    0.000000    
6           1         1           97.0300     0.010000    0.123790    0.000000    
6           2         1           96.6500     0.010000    0.118881    0.000000    
6           3         1           96.9000     0.010000    0.122474    0.000000    
6           4         1           96.3800     0.010000    0.122131    0.000000    
7           0         1           95.7700     0.010000    0.009484    0.000000    
7           1         1           97.1400     0.010000    0.112550    0.000000    
7           2         1           96.3300     0.010000    0.107471    0.000000    
7           3         1           97.2900     0.010000    0.110337    0.000000    
7           4         1           97.0700     0.010000    0.111509    0.000000    
8           0         1           96.2900     0.010000    0.008611    0.000000    
8           1         1           97.4100     0.010000    0.104732    0.000000    
8           2         1           97.3100     0.010000    0.099181    0.000000    
8           3         1           97.3600     0.010000    0.100083    0.000000    
8           4         1           97.6100     0.010000    0.102440    0.000000    
9           0         1           96.9300     0.010000    0.008080    0.000000    
9           1         1           97.6200     0.010000    0.094579    0.000000    
9           2         1           97.2200     0.010000    0.091402    0.000000    
9           3         1           97.3500     0.010000    0.093004    0.000000    
9           4         1           97.6100     0.010000    0.094150    0.000000    
10          0         1           97.0200     0.010000    0.007208    0.000000    
10          1         1           96.5200     0.010000    0.092378    0.000000    
10          2         1           97.4900     0.010000    0.085031    0.000000    
10          3         1           97.6900     0.010000    0.087977    0.000000    
10          4         1           75.3400     0.010000    0.090402    0.000000    
11          0         1           96.9100     0.010000    0.005816    0.000000    
11          1         1           96.9500     0.010000    0.087276    0.000000    
11          2         1           60.0700     0.010000    0.083870    0.000000    
11          3         1           97.7000     0.010000    0.084771    0.000000    
11          4         1           97.7700     0.010000    0.086661    0.000000    
12          0         1           97.0400     0.010000    0.004798    0.000000    
12          1         1           97.3100     0.010000    0.081788    0.000000    
12          2         1           97.9200     0.010000    0.078268    0.000000    
12          3         1           97.6400     0.010000    0.079409    0.000000    
12          4         1           97.6600     0.010000    0.083036    0.000000    
13          0         1           97.4100     0.010000    0.006660    0.000000    
13          1         1           97.9400     0.010000    0.079867    0.000000    
13          2         1           97.3700     0.010000    0.075586    0.000000    
13          3         1           97.9100     0.010000    0.075311    0.000000    
13          4         1           97.6100     0.010000    0.078167    0.000000    
14          0         1           97.7800     0.010000    0.006778    0.000000    
14          1         1           98.0800     0.010000    0.074907    0.000000    
14          2         1           97.3700     0.010000    0.070879    0.000000    
14          3         1           98.1700     0.010000    0.073966    0.000000    
14          4         1           94.6300     0.010000    0.075192    0.000000    
15          0         1           97.7600     0.010000    0.006578    0.000000    
15          1         1           98.2100     0.010000    0.071664    0.000000    
15          2         1           98.1300     0.010000    0.067538    0.000000    
15          3         1           97.7600     0.010000    0.071006    0.000000    
15          4         1           97.9000     0.010000    0.071356    0.000000    
16          0         1           97.9100     0.010000    0.005751    0.000000    
16          1         1           97.8100     0.010000    0.069223    0.000000    
16          2         1           98.1200     0.010000    0.067212    0.000000    
16          3         1           95.1800     0.010000    0.066825    0.000000    
16          4         1           97.9800     0.010000    0.069239    0.000000    
17          0         1           97.9100     0.010000    0.004558    0.000000    
17          1         1           97.9100     0.010000    0.067535    0.000000    
17          2         1           97.8900     0.010000    0.063007    0.000000    
17          3         1           97.9700     0.010000    0.065054    0.000000    
17          4         1           98.1200     0.010000    0.067257    0.000000    
18          0         1           97.9200     0.010000    0.004956    0.000000    
18          1         1           98.2300     0.010000    0.064031    0.000000    
18          2         1           98.1300     0.010000    0.059543    0.000000    
18          3         1           96.5700     0.010000    0.063869    0.000000    
18          4         1           97.9100     0.010000    0.063747    0.000000    
19          0         1           98.0700     0.010000    0.004584    0.000000    
19          1         1           97.9700     0.010000    0.062235    0.000000    
