GlobalRound	GlobalAccuracy
1	89.0100
2	93.5500
3	95.1400
4	95.9800
5	96.6300
6	97.0000
7	97.3100
8	97.5600
9	97.6300
10	97.9500
11	98.0200
12	98.0900
13	98.1800
14	98.0900
15	98.3900
16	98.3400
17	98.3700
18	98.4200
19	98.4100
20	98.4400
21	98.5000
22	98.5400
23	98.5700
24	98.6500
25	98.6000
26	98.5700
27	98.6900
28	98.6600
29	98.7400
30	98.6300
31	98.7800
32	98.7200
33	98.7200
34	98.7800
35	98.7700
36	98.7200
37	98.8000
38	98.8200
39	98.8200
40	98.8200
41	98.7500
42	98.7700
43	98.8600
44	98.8000
45	98.8700
46	98.8400
47	98.8900
48	98.8400
49	98.8400
50	98.8400
