ClientID	NNPass_Train	TrainLoss	NNPass_Test	TestLoss
0	433	0.838941	433	2.075511
0	866	0.298265	866	1.091784
0	1299	0.190654	1299	0.483015
0	1732	0.154230	1732	0.360490
0	2165	0.130090	2165	0.489672
0	2598	0.115922	2598	0.267957
0	3031	0.104580	3031	0.253337
0	3464	0.093829	3464	0.283306
0	3897	0.087095	3897	0.252012
0	4330	0.080324	4330	0.290953
0	4763	0.078456	4763	0.216793
0	5196	0.073580	5196	0.364286
0	5629	0.069229	5629	0.212490
0	6062	0.067836	6062	0.184178
0	6495	0.063834	6495	0.219482
0	6928	0.061480	6928	0.193150
0	7361	0.060665	7361	0.232160
0	7794	0.056007	7794	0.248335
0	8227	0.054626	8227	0.132818
0	8660	0.053742	8660	0.174879
0	9093	0.051402	9093	0.174959
0	9526	0.050821	9526	0.199896
0	9959	0.049002	9959	0.155097
0	10392	0.047559	10392	0.193611
0	10825	0.046429	10825	0.423937
0	11258	0.044686	11258	0.182622
0	11691	0.042989	11691	0.201915
0	12124	0.043262	12124	0.135144
0	12557	0.042063	12557	0.172060
0	12990	0.041230	12990	0.143394
0	13423	0.040050	13423	0.144193
0	13856	0.040697	13856	0.138816
0	14289	0.038101	14289	0.100739
0	14722	0.038543	14722	0.132402
0	15155	0.036460	15155	0.189342
0	15588	0.037544	15588	0.339892
0	16021	0.035177	16021	0.256687
0	16454	0.035091	16454	0.131725
0	16887	0.034366	16887	0.096341
0	17320	0.033022	17320	0.122512
0	17753	0.032302	17753	0.130704
0	18186	0.030714	18186	0.112179
0	18619	0.032159	18619	0.121690
0	19052	0.031269	19052	0.136359
0	19485	0.030240	19485	0.173927
0	19918	0.030164	19918	0.186022
0	20351	0.030064	20351	0.125972
0	20784	0.029359	20784	0.118123
0	21217	0.029520	21217	0.146525
0	21650	0.030762	21650	0.089328
1	320	0.825422	320	3.542415
1	640	0.276335	640	2.226883
1	960	0.180999	960	1.395595
1	1280	0.137780	1280	0.980960
1	1600	0.116641	1600	0.692178
1	1920	0.103311	1920	0.854283
1	2240	0.094893	2240	0.717099
1	2560	0.085194	2560	0.630156
1	2880	0.077715	2880	0.538413
1	3200	0.074295	3200	0.498664
1	3520	0.067076	3520	0.432296
1	3840	0.063763	3840	0.443464
1	4160	0.061711	4160	0.390623
1	4480	0.057213	4480	0.448807
1	4800	0.057143	4800	0.357960
1	5120	0.053492	5120	0.342512
1	5440	0.051866	5440	0.516817
1	5760	0.048772	5760	0.315398
1	6080	0.047440	6080	0.370261
1	6400	0.047088	6400	0.372952
1	6720	0.044464	6720	0.358174
1	7040	0.044304	7040	0.394641
1	7360	0.041733	7360	0.354088
1	7680	0.041195	7680	0.303222
1	8000	0.041106	8000	0.244086
1	8320	0.040261	8320	0.213496
1	8640	0.037364	8640	0.223729
1	8960	0.037085	8960	0.228561
1	9280	0.036428	9280	0.272485
1	9600	0.033816	9600	0.214091
1	9920	0.033953	9920	0.269157
1	10240	0.031987	10240	0.223306
1	10560	0.031583	10560	0.188890
1	10880	0.031554	10880	0.203632
1	11200	0.030056	11200	0.183599
1	11520	0.030635	11520	0.174855
1	11840	0.030706	11840	0.245355
1	12160	0.029531	12160	0.136672
1	12480	0.028894	12480	0.171603
1	12800	0.027974	12800	0.207565
1	13120	0.026133	13120	0.203742
1	13440	0.025692	13440	0.285271
1	13760	0.026537	13760	0.276947
1	14080	0.025267	14080	0.146438
1	14400	0.025230	14400	0.158786
1	14720	0.024402	14720	0.179114
1	15040	0.024319	15040	0.131496
1	15360	0.023951	15360	0.162108
1	15680	0.023230	15680	0.134359
1	16000	0.021842	16000	0.173847
2	521	0.739604	521	2.961435
2	1042	0.292881	1042	1.392486
2	1563	0.201333	1563	0.733235
2	2084	0.161082	2084	0.556597
2	2605	0.139108	2605	0.463691
2	3126	0.122244	3126	0.561068
2	3647	0.111274	3647	0.525264
2	4168	0.102038	4168	0.472656
2	4689	0.094754	4689	0.321460
2	5210	0.091507	5210	0.332082
2	5731	0.083913	5731	0.379583
2	6252	0.080537	6252	0.317158
2	6773	0.076011	6773	0.344049
2	7294	0.074982	7294	0.302854
2	7815	0.069048	7815	0.260099
2	8336	0.068412	8336	0.303467
2	8857	0.063174	8857	0.365928
2	9378	0.063900	9378	0.379676
2	9899	0.060556	9899	0.391851
2	10420	0.059027	10420	0.271523
2	10941	0.058179	10941	0.513890
2	11462	0.055632	11462	0.226195
2	11983	0.053257	11983	0.343311
2	12504	0.051700	12504	0.317851
2	13025	0.050487	13025	0.242083
2	13546	0.051391	13546	0.282626
2	14067	0.047483	14067	0.299409
2	14588	0.046181	14588	0.287591
2	15109	0.046494	15109	0.246694
2	15630	0.045009	15630	0.317732
2	16151	0.045222	16151	0.312030
2	16672	0.041989	16672	0.278770
2	17193	0.042788	17193	0.247082
2	17714	0.042196	17714	0.240324
2	18235	0.040307	18235	0.254995
2	18756	0.039202	18756	0.200442
2	19277	0.039852	19277	0.389598
2	19798	0.038435	19798	0.270643
2	20319	0.037681	20319	0.188870
2	20840	0.036336	20840	0.196956
2	21361	0.036733	21361	0.194411
2	21882	0.035598	21882	0.268755
2	22403	0.036187	22403	0.397813
2	22924	0.035472	22924	0.210284
2	23445	0.033602	23445	0.205704
2	23966	0.031010	23966	0.249401
2	24487	0.033565	24487	0.182262
