GlobalRnd   ClientID  LocEpoch    Accuracy    LR          Loss        GradNorm    
1           0         1           55.9500     0.010000    0.838941    0.000000    
1           1         1           50.0200     0.010000    0.825422    0.000000    
1           2         1           59.0900     0.010000    0.739604    0.000000    
1           3         1           54.2200     0.010000    0.820051    0.000000    
1           4         1           43.4500     0.010000    0.895537    0.000000    
2           0         1           63.2500     0.010000    0.298265    0.000000    
2           1         1           59.2000     0.010000    0.276335    0.000000    
2           2         1           65.6900     0.010000    0.292881    0.000000    
2           3         1           65.6100     0.010000    0.223219    0.000000    
2           4         1           64.9000     0.010000    0.271811    0.000000    
3           0         1           84.1900     0.010000    0.190654    0.000000    
3           1         1           64.7200     0.010000    0.180999    0.000000    
3           2         1           74.5500     0.010000    0.201333    0.000000    
3           3         1           68.4300     0.010000    0.135860    0.000000    
3           4         1           77.6600     0.010000    0.157955    0.000000    
4           0         1           89.0200     0.010000    0.154230    0.000000    
4           1         1           71.3100     0.010000    0.137780    0.000000    
4           2         1           82.4200     0.010000    0.161082    0.000000    
4           3         1           71.7300     0.010000    0.105055    0.000000    
4           4         1           78.8000     0.010000    0.124998    0.000000    
5           0         1           83.8000     0.010000    0.130090    0.000000    
5           1         1           78.3200     0.010000    0.116641    0.000000    
5           2         1           85.8400     0.010000    0.139108    0.000000    
5           3         1           74.5800     0.010000    0.088991    0.000000    
5           4         1           76.4000     0.010000    0.103691    0.000000    
6           0         1           91.9600     0.010000    0.115922    0.000000    
6           1         1           75.0400     0.010000    0.103311    0.000000    
6           2         1           82.0500     0.010000    0.122244    0.000000    
6           3         1           75.7400     0.010000    0.077433    0.000000    
6           4         1           82.0500     0.010000    0.088318    0.000000    
7           0         1           91.9800     0.010000    0.104580    0.000000    
7           1         1           77.9200     0.010000    0.094893    0.000000    
7           2         1           84.5400     0.010000    0.111274    0.000000    
7           3         1           76.8200     0.010000    0.069121    0.000000    
7           4         1           82.1300     0.010000    0.081144    0.000000    
8           0         1           90.7900     0.010000    0.093829    0.000000    
8           1         1           80.0100     0.010000    0.085194    0.000000    
8           2         1           85.9500     0.010000    0.102038    0.000000    
8           3         1           78.4600     0.010000    0.063749    0.000000    
8           4         1           85.3400     0.010000    0.072963    0.000000    
9           0         1           92.3300     0.010000    0.087095    0.000000    
9           1         1           82.5000     0.010000    0.077715    0.000000    
9           2         1           90.8100     0.010000    0.094754    0.000000    
9           3         1           81.0100     0.010000    0.054575    0.000000    
9           4         1           85.2500     0.010000    0.067538    0.000000    
10          0         1           90.5700     0.010000    0.080324    0.000000    
10          1         1           83.6500     0.010000    0.074295    0.000000    
10          2         1           90.6200     0.010000    0.091507    0.000000    
10          3         1           82.5900     0.010000    0.051113    0.000000    
10          4         1           87.2200     0.010000    0.063193    0.000000    
11          0         1           93.3300     0.010000    0.078456    0.000000    
11          1         1           85.9100     0.010000    0.067076    0.000000    
11          2         1           89.3800     0.010000    0.083913    0.000000    
11          3         1           85.1400     0.010000    0.047816    0.000000    
11          4         1           90.2700     0.010000    0.058833    0.000000    
12          0         1           87.6500     0.010000    0.073580    0.000000    
12          1         1           85.0900     0.010000    0.063763    0.000000    
12          2         1           90.3500     0.010000    0.080537    0.000000    
12          3         1           86.8100     0.010000    0.044714    0.000000    
12          4         1           87.3300     0.010000    0.055191    0.000000    
13          0         1           93.3900     0.010000    0.069229    0.000000    
13          1         1           86.8600     0.010000    0.061711    0.000000    
13          2         1           89.7200     0.010000    0.076011    0.000000    
13          3         1           85.7600     0.010000    0.042575    0.000000    
13          4         1           91.2200     0.010000    0.052865    0.000000    
14          0         1           94.2800     0.010000    0.067836    0.000000    
14          1         1           85.3300     0.010000    0.057213    0.000000    
14          2         1           91.1400     0.010000    0.074982    0.000000    
14          3         1           84.3700     0.010000    0.039509    0.000000    
14          4         1           91.2400     0.010000    0.049541    0.000000    
15          0         1           93.1300     0.010000    0.063834    0.000000    
15          1         1           87.8000     0.010000    0.057143    0.000000    
15          2         1           92.5100     0.010000    0.069048    0.000000    
15          3         1           85.3500     0.010000    0.038086    0.000000    
15          4         1           89.7400     0.010000    0.046216    0.000000    
16          0         1           93.8900     0.010000    0.061480    0.000000    
16          1         1           88.4200     0.010000    0.053492    0.000000    
16          2         1           91.2800     0.010000    0.068412    0.000000    
16          3         1           89.0600     0.010000    0.035163    0.000000    
16          4         1           91.3300     0.010000    0.043450    0.000000    
17          0         1           92.8400     0.010000    0.060665    0.000000    
17          1         1           83.0000     0.010000    0.051866    0.000000    
17          2         1           89.7000     0.010000    0.063174    0.000000    
17          3         1           87.7600     0.010000    0.032947    0.000000    
17          4         1           91.3300     0.010000    0.042157    0.000000    
18          0         1           91.8600     0.010000    0.056007    0.000000    
18          1         1           89.2400     0.010000    0.048772    0.000000    
18          2         1           88.0500     0.010000    0.063900    0.000000    
18          3         1           88.1000     0.010000    0.032561    0.000000    
18          4         1           91.2200     0.010000    0.039310    0.000000    
19          0         1           95.7100     0.010000    0.054626    0.000000    
19          1         1           87.4100     0.010000    0.047440    0.000000    
19          2         1           88.7700     0.010000    0.060556    0.000000    
19          3         1           90.2200     0.010000    0.032990    0.000000    
19          4         1           91.0300     0.010000    0.039891    0.000000    
20          0         1           94.4400     0.010000    0.053742    0.000000    
20          1         1           87.3100     0.010000    0.047088    0.000000    
20          2         1           91.8300     0.010000    0.059027    0.000000    
20          3         1           87.2100     0.010000    0.032320    0.000000    
20          4         1           92.6000     0.010000    0.036955    0.000000    
21          0         1           94.7800     0.010000    0.051402    0.000000    
21          1         1           88.0100     0.010000    0.044464    0.000000    
21          2         1           86.1900     0.010000    0.058179    0.000000    
21          3         1           89.7200     0.010000    0.029554    0.000000    
21          4         1           90.4200     0.010000    0.036580    0.000000    
22          0         1           93.4300     0.010000    0.050821    0.000000    
22          1         1           86.8500     0.010000    0.044304    0.000000    
22          2         1           93.3700     0.010000    0.055632    0.000000    
22          3         1           89.7800     0.010000    0.028049    0.000000    
22          4         1           92.1400     0.010000    0.034311    0.000000    
23          0         1           95.2500     0.010000    0.049002    0.000000    
23          1         1           88.0400     0.010000    0.041733    0.000000    
23          2         1           89.9000     0.010000    0.053257    0.000000    
23          3         1           90.4500     0.010000    0.029162    0.000000    
23          4         1           93.1300     0.010000    0.033567    0.000000    
24          0         1           93.6900     0.010000    0.047559    0.000000    
24          1         1           89.7900     0.010000    0.041195    0.000000    
24          2         1           90.8100     0.010000    0.051700    0.000000    
24          3         1           86.6800     0.010000    0.026356    0.000000    
24          4         1           92.9600     0.010000    0.033485    0.000000    
25          0         1           87.4900     0.010000    0.046429    0.000000    
25          1         1           91.8200     0.010000    0.041106    0.000000    
25          2         1           92.8900     0.010000    0.050487    0.000000    
25          3         1           90.3700     0.010000    0.026840    0.000000    
25          4         1           93.0500     0.010000    0.032692    0.000000    
26          0         1           93.8000     0.010000    0.044686    0.000000    
26          1         1           92.6700     0.010000    0.040261    0.000000    
26          2         1           91.4200     0.010000    0.051391    0.000000    
26          3         1           89.9300     0.010000    0.025190    0.000000    
26          4         1           92.9200     0.010000    0.030781    0.000000    
27          0         1           93.7000     0.010000    0.042989    0.000000    
27          1         1           92.6100     0.010000    0.037364    0.000000    
27          2         1           91.1900     0.010000    0.047483    0.000000    
27          3         1           90.6600     0.010000    0.023566    0.000000    
27          4         1           92.9800     0.010000    0.028976    0.000000    
28          0         1           95.8600     0.010000    0.043262    0.000000    
28          1         1           92.1700     0.010000    0.037085    0.000000    
28          2         1           91.8900     0.010000    0.046181    0.000000    
28          3         1           92.6300     0.010000    0.024350    0.000000    
28          4         1           94.6400     0.010000    0.029247    0.000000    
29          0         1           94.7300     0.010000    0.042063    0.000000    
29          1         1           90.5900     0.010000    0.036428    0.000000    
29          2         1           92.7700     0.010000    0.046494    0.000000    
29          3         1           92.5200     0.010000    0.023187    0.000000    
29          4         1           91.5700     0.010000    0.027020    0.000000    
30          0         1           95.5500     0.010000    0.041230    0.000000    
30          1         1           92.8000     0.010000    0.033816    0.000000    
30          2         1           90.2600     0.010000    0.045009    0.000000    
30          3         1           92.2000     0.010000    0.023154    0.000000    
30          4         1           91.5900     0.010000    0.027882    0.000000    
31          0         1           95.3400     0.010000    0.040050    0.000000    
31          1         1           90.9400     0.010000    0.033953    0.000000    
31          2         1           90.9600     0.010000    0.045222    0.000000    
31          3         1           89.9600     0.010000    0.022769    0.000000    
31          4         1           94.2000     0.010000    0.025755    0.000000    
32          0         1           95.5400     0.010000    0.040697    0.000000    
32          1         1           92.5200     0.010000    0.031987    0.000000    
32          2         1           92.1400     0.010000    0.041989    0.000000    
32          3         1           94.3900     0.010000    0.020670    0.000000    
32          4         1           93.6200     0.010000    0.025036    0.000000    
33          0         1           97.1300     0.010000    0.038101    0.000000    
33          1         1           93.6400     0.010000    0.031583    0.000000    
33          2         1           92.7000     0.010000    0.042788    0.000000    
33          3         1           93.1100     0.010000    0.021049    0.000000    
33          4         1           92.4900     0.010000    0.024206    0.000000    
34          0         1           95.9400     0.010000    0.038543    0.000000    
34          1         1           93.2800     0.010000    0.031554    0.000000    
34          2         1           92.8300     0.010000    0.042196    0.000000    
34          3         1           94.4400     0.010000    0.021402    0.000000    
34          4         1           93.0100     0.010000    0.025418    0.000000    
35          0         1           93.1400     0.010000    0.036460    0.000000    
35          1         1           93.6900     0.010000    0.030056    0.000000    
35          2         1           92.4500     0.010000    0.040307    0.000000    
35          3         1           91.4800     0.010000    0.019361    0.000000    
35          4         1           92.8400     0.010000    0.022362    0.000000    
36          0         1           88.8300     0.010000    0.037544    0.000000    
36          1         1           94.1700     0.010000    0.030635    0.000000    
36          2         1           94.0300     0.010000    0.039202    0.000000    
36          3         1           92.7700     0.010000    0.019536    0.000000    
36          4         1           92.9900     0.010000    0.023549    0.000000    
37          0         1           90.6000     0.010000    0.035177    0.000000    
37          1         1           91.7400     0.010000    0.030706    0.000000    
37          2         1           89.2800     0.010000    0.039852    0.000000    
37          3         1           75.3400     0.010000    0.018843    0.000000    
37          4         1           94.0000     0.010000    0.023486    0.000000    
38          0         1           95.8500     0.010000    0.035091    0.000000    
38          1         1           95.4900     0.010000    0.029531    0.000000    
38          2         1           92.3900     0.010000    0.038435    0.000000    
38          3         1           91.7900     0.010000    0.019396    0.000000    
38          4         1           93.7300     0.010000    0.020901    0.000000    
39          0         1           96.9500     0.010000    0.034366    0.000000    
39          1         1           94.2400     0.010000    0.028894    0.000000    
39          2         1           94.1800     0.010000    0.037681    0.000000    
39          3         1           82.8800     0.010000    0.018983    0.000000    
39          4         1           93.2700     0.010000    0.021705    0.000000    
40          0         1           96.2500     0.010000    0.033022    0.000000    
40          1         1           93.3300     0.010000    0.027974    0.000000    
40          2         1           93.9900     0.010000    0.036336    0.000000    
40          3         1           93.8300     0.010000    0.019013    0.000000    
40          4         1           94.6200     0.010000    0.021550    0.000000    
41          0         1           95.8300     0.010000    0.032302    0.000000    
41          1         1           93.2800     0.010000    0.026133    0.000000    
41          2         1           94.1700     0.010000    0.036733    0.000000    
41          3         1           93.7600     0.010000    0.017934    0.000000    
41          4         1           91.3400     0.010000    0.020499    0.000000    
42          0         1           96.5600     0.010000    0.030714    0.000000    
42          1         1           91.0100     0.010000    0.025692    0.000000    
42          2         1           92.3400     0.010000    0.035598    0.000000    
42          3         1           94.3900     0.010000    0.017947    0.000000    
42          4         1           94.5500     0.010000    0.020630    0.000000    
43          0         1           96.4200     0.010000    0.032159    0.000000    
43          1         1           91.2400     0.010000    0.026537    0.000000    
43          2         1           89.0100     0.010000    0.036187    0.000000    
43          3         1           90.8900     0.010000    0.018082    0.000000    
43          4         1           92.2400     0.010000    0.020488    0.000000    
44          0         1           95.6900     0.010000    0.031269    0.000000    
44          1         1           95.2500     0.010000    0.025267    0.000000    
44          2         1           93.7000     0.010000    0.035472    0.000000    
44          3         1           92.6600     0.010000    0.017146    0.000000    
44          4         1           93.9500     0.010000    0.019082    0.000000    
45          0         1           94.8000     0.010000    0.030240    0.000000    
45          1         1           94.8500     0.010000    0.025230    0.000000    
45          2         1           94.0200     0.010000    0.033602    0.000000    
45          3         1           95.3000     0.010000    0.016688    0.000000    
45          4         1           93.9800     0.010000    0.019013    0.000000    
46          0         1           94.0500     0.010000    0.030164    0.000000    
46          1         1           94.2600     0.010000    0.024402    0.000000    
46          2         1           92.7300     0.010000    0.031010    0.000000    
46          3         1           94.8100     0.010000    0.016862    0.000000    
46          4         1           94.4500     0.010000    0.018133    0.000000    
47          0         1           96.1500     0.010000    0.030064    0.000000    
47          1         1           95.6300     0.010000    0.024319    0.000000    
