GlobalRnd   ClientID  LocEpoch    Accuracy    LR          Loss        GradNorm    
1           0         1           95.9600     0.010000    0.485536    0.000000    
2           0         1           97.5200     0.010000    0.114640    0.000000    
3           0         1           97.9600     0.010000    0.083727    0.000000    
4           0         1           97.8300     0.010000    0.066792    0.000000    
5           0         1           98.3800     0.010000    0.056121    0.000000    
6           0         1           98.5100     0.010000    0.049434    0.000000    
7           0         1           98.6100     0.010000    0.043689    0.000000    
8           0         1           98.7300     0.010000    0.039768    0.000000    
9           0         1           98.7700     0.010000    0.035595    0.000000    
10          0         1           98.7700     0.010000    0.032955    0.000000    
11          0         1           98.8700     0.010000    0.030241    0.000000    
12          0         1           98.8100     0.010000    0.028475    0.000000    
13          0         1           98.9000     0.010000    0.026292    0.000000    
14          0         1           98.7200     0.010000    0.024218    0.000000    
15          0         1           98.6300     0.010000    0.022925    0.000000    
16          0         1           98.8300     0.010000    0.021181    0.000000    
17          0         1           98.6800     0.010000    0.019732    0.000000    
18          0         1           98.7900     0.010000    0.018622    0.000000    
19          0         1           98.6900     0.010000    0.017160    0.000000    
20          0         1           98.9200     0.010000    0.016923    0.000000    
21          0         1           98.9000     0.010000    0.015045    0.000000    
22          0         1           98.7700     0.010000    0.014022    0.000000    
23          0         1           98.8800     0.010000    0.013493    0.000000    
24          0         1           98.8500     0.010000    0.012605    0.000000    
25          0         1           98.9800     0.010000    0.012331    0.000000    
26          0         1           98.9000     0.010000    0.010941    0.000000    
27          0         1           98.6500     0.010000    0.010167    0.000000    
28          0         1           98.9300     0.010000    0.009435    0.000000    
29          0         1           98.9400     0.010000    0.008864    0.000000    
30          0         1           98.9700     0.010000    0.008820    0.000000    
31          0         1           98.6100     0.010000    0.008309    0.000000    
32          0         1           99.0100     0.010000    0.007529    0.000000    
33          0         1           99.0100     0.010000    0.006775    0.000000    
34          0         1           99.0100     0.010000    0.006301    0.000000    
35          0         1           98.9800     0.010000    0.005986    0.000000    
36          0         1           99.0000     0.010000    0.005627    0.000000    
37          0         1           98.9800     0.010000    0.005241    0.000000    
38          0         1           98.9700     0.010000    0.004987    0.000000    
39          0         1           99.0300     0.010000    0.004351    0.000000    
40          0         1           99.0500     0.010000    0.003700    0.000000    
41          0         1           98.9600     0.010000    0.004079    0.000000    
42          0         1           98.9800     0.010000    0.003409    0.000000    
43          0         1           99.0500     0.010000    0.002970    0.000000    
44          0         1           98.8500     0.010000    0.003479    0.000000    
45          0         1           99.0000     0.010000    0.002931    0.000000    
46          0         1           99.0000     0.010000    0.002766    0.000000    
47          0         1           98.8500     0.010000    0.002235    0.000000    
48          0         1           99.0600     0.010000    0.002278    0.000000    
49          0         1           99.0000     0.010000    0.001976    0.000000    
50          0         1           98.9700     0.010000    0.001644    0.000000    
