GlobalRnd   ClientID  LocEpoch    Accuracy    LR          Loss        GradNorm    
1           0         1           34.1000     0.254472    2.118889    2.545964    
1           1         1           37.2500     0.232929    2.065658    2.818444    
1           2         1           30.1900     0.253377    2.139286    2.433788    
1           3         1           33.2400     0.218039    2.012608    2.744677    
1           4         1           40.2800     0.221305    1.976816    2.679353    
2           0         1           31.2100     0.287764    1.931709    3.009242    
2           1         1           35.5900     0.267287    1.855825    2.932925    
2           2         1           31.0500     0.308876    2.035526    2.879648    
2           3         1           37.8300     0.243131    1.762471    3.117429    
2           4         1           44.2800     0.231557    1.771278    3.223210    
3           0         1           43.7600     0.333860    1.827521    3.073397    
3           1         1           38.8700     0.301945    1.735162    3.025607    
3           2         1           39.8900     0.364111    1.931601    2.679520    
3           3         1           42.9500     0.274405    1.637183    3.234007    
3           4         1           33.4900     0.286773    1.677467    3.366358    
4           0         1           43.1100     0.362644    1.779171    3.244533    
4           1         1           31.9400     0.356992    1.670731    3.064941    
4           2         1           48.8000     0.412396    1.906873    2.939505    
4           3         1           49.8800     0.313613    1.564550    3.375783    
4           4         1           48.1200     0.318935    1.519846    3.106346    
5           0         1           35.9000     0.375869    1.683704    3.214100    
5           1         1           46.9200     0.385176    1.609384    3.049243    
5           2         1           31.0400     0.412818    1.883804    3.110990    
5           3         1           43.1900     0.345677    1.474559    3.267410    
5           4         1           41.3300     0.355557    1.451449    3.175123    
6           0         1           47.9300     0.395941    1.651314    3.353703    
6           1         1           50.0100     0.401484    1.522598    3.139969    
6           2         1           37.1500     0.481665    1.834187    3.047137    
6           3         1           50.8200     0.354658    1.369425    3.353642    
6           4         1           51.7600     0.344484    1.362109    3.336433    
7           0         1           47.6200     0.431208    1.568189    3.204019    
7           1         1           47.5400     0.411333    1.458214    3.169915    
7           2         1           47.9300     0.474270    1.805472    3.118916    
7           3         1           49.6600     0.363593    1.282745    3.324821    
7           4         1           52.3200     0.377911    1.306719    3.279060    
8           0         1           41.6100     0.420087    1.482288    3.367800    
8           1         1           56.0900     0.409520    1.389223    3.190842    
8           2         1           44.6300     0.499091    1.740958    3.085291    
8           3         1           53.6700     0.365029    1.207855    3.314616    
8           4         1           53.6600     0.357147    1.216198    3.365154    
9           0         1           51.1600     0.421917    1.453509    3.434474    
9           1         1           51.7900     0.417891    1.313902    3.197744    
9           2         1           43.4600     0.498124    1.663048    3.152874    
9           3         1           56.2400     0.337809    1.084050    3.415320    
9           4         1           56.8400     0.357958    1.101092    3.355801    
10          0         1           55.9000     0.392786    1.313674    3.451191    
10          1         1           55.2200     0.389102    1.239734    3.290348    
10          2         1           41.1600     0.494224    1.614808    3.264135    
10          3         1           58.5500     0.328970    0.986416    3.385875    
10          4         1           61.9800     0.327505    0.981422    3.371078    
11          0         1           59.4900     0.375739    1.262379    3.573729    
11          1         1           55.0300     0.350967    1.129612    3.422911    
11          2         1           52.7100     0.463315    1.541098    3.323149    
11          3         1           62.4500     0.302712    0.867673    3.402260    
11          4         1           61.0300     0.297527    0.886932    3.448984    
12          0         1           58.8600     0.341234    1.114434    3.584165    
12          1         1           59.2700     0.336620    1.037917    3.399383    
12          2         1           54.8500     0.454020    1.469275    3.367454    
12          3         1           63.3200     0.255258    0.774102    3.527920    
12          4         1           66.0100     0.255229    0.769660    3.531978    
13          0         1           58.6500     0.321225    1.019576    3.587876    
13          1         1           61.9600     0.284660    0.915535    3.559140    
13          2         1           51.2100     0.420744    1.379254    3.565786    
13          3         1           64.8900     0.231139    0.665140    3.493935    
13          4         1           66.2600     0.225539    0.672121    3.518531    
14          0         1           58.3700     0.255750    0.854106    3.722185    
14          1         1           63.9100     0.253537    0.798460    3.527341    
