GlobalRound	GlobalAccuracy
1	40.6200
2	48.7700
3	51.5400
4	56.4000
5	57.3000
6	60.4400
7	61.2900
8	63.3800
9	64.1100
10	66.0700
11	67.1900
12	68.7400
13	69.0300
14	69.4900
15	70.0600
16	70.2500
17	69.9900
18	69.8900
19	69.9100
20	69.6200
21	69.4900
22	69.4100
23	69.5100
24	69.1300
25	69.0400
26	68.9500
27	69.0000
28	68.8600
29	68.9000
30	68.8000
31	68.6800
32	68.6200
33	68.7500
34	68.8000
35	68.6700
36	68.6100
37	68.4700
38	68.5000
39	68.5100
40	68.5400
41	68.4300
42	68.5100
43	68.5900
44	68.5200
45	68.3500
46	68.5200
47	68.5000
48	68.3800
49	68.4400
50	68.4400
