GlobalRound	GlobalAccuracy
1	27.3800
2	44.6400
3	51.8700
4	52.4700
5	58.0800
6	58.6000
7	62.0300
8	63.8800
9	64.3300
10	66.5800
11	67.3700
12	68.7400
13	68.8300
14	70.2900
15	70.5400
16	70.7500
17	70.5400
18	71.7600
19	71.8900
20	71.5700
21	71.9600
22	71.7900
23	71.7000
24	71.9300
25	72.3300
26	72.1500
27	71.8400
28	72.0800
29	72.2600
30	72.0200
31	72.0000
32	72.0800
33	72.1800
34	72.1300
35	72.3600
36	72.2700
37	72.2700
38	72.3300
39	72.1300
40	72.2600
41	72.0500
42	72.3300
43	72.2400
44	72.1000
45	72.1300
46	72.2200
47	71.9900
48	72.0700
49	72.1900
50	72.2400
