ClientID	NNPass_Train	TrainLoss	NNPass_Test	TestLoss
0	207	1.863077	207	2.677427
0	414	1.633002	414	2.290936
0	621	1.494472	621	1.998225
0	828	1.399599	828	2.072662
0	1035	1.331722	1035	1.808862
0	1242	1.278318	1242	1.750614
0	1449	1.240918	1449	1.663114
0	1656	1.197649	1656	1.793428
0	1863	1.174688	1863	1.744346
0	2070	1.147773	2070	1.495880
0	2277	1.118894	2277	1.487384
0	2484	1.089802	2484	1.399614
0	2691	1.061963	2691	1.518398
0	2898	1.048560	2898	1.513909
0	3105	1.015869	3105	1.476356
0	3312	0.999094	3312	1.420851
0	3519	0.984476	3519	1.490261
0	3726	0.959453	3726	1.367050
0	3933	0.934415	3933	1.322859
0	4140	0.917108	4140	1.327442
0	4347	0.894019	4347	1.273491
0	4554	0.881903	4554	1.899174
0	4761	0.859084	4761	1.497483
0	4968	0.844460	4968	1.328837
0	5175	0.832665	5175	1.488807
0	5382	0.818125	5382	1.274129
0	5589	0.804352	5589	1.405479
0	5796	0.780356	5796	1.597980
0	6003	0.768059	6003	1.328614
0	6210	0.747219	6210	1.172247
0	6417	0.729787	6417	1.282909
0	6624	0.709027	6624	1.351775
0	6831	0.703013	6831	1.178964
0	7038	0.679205	7038	1.149155
0	7245	0.675575	7245	1.428797
0	7452	0.649087	7452	1.237602
0	7659	0.634393	7659	1.179932
0	7866	0.614377	7866	1.205160
0	8073	0.598592	8073	1.318755
0	8280	0.592791	8280	1.437296
0	8487	0.571466	8487	1.133870
0	8694	0.551671	8694	1.317603
0	8901	0.531117	8901	1.284754
0	9108	0.517652	9108	1.425028
0	9315	0.502216	9315	1.440078
0	9522	0.487978	9522	1.295008
0	9729	0.469654	9729	1.408433
0	9936	0.444395	9936	1.354167
0	10143	0.451596	10143	1.128127
0	10350	0.412822	10350	1.502544
1	317	1.546451	317	2.723806
1	634	1.327420	634	2.446716
1	951	1.203545	951	2.229765
1	1268	1.129538	1268	2.135859
1	1585	1.058345	1585	2.118957
1	1902	1.010902	1902	1.955253
1	2219	0.974463	2219	1.896228
1	2536	0.937793	2536	1.896294
1	2853	0.912607	2853	1.892723
1	3170	0.878221	3170	1.836480
1	3487	0.850708	3487	1.839842
1	3804	0.831457	3804	1.836436
1	4121	0.810366	4121	1.602262
1	4438	0.783263	4438	1.693235
1	4755	0.761857	4755	1.666729
1	5072	0.744422	5072	1.489121
1	5389	0.720717	5389	1.525222
1	5706	0.704678	5706	1.567595
1	6023	0.691477	6023	1.751747
1	6340	0.672863	6340	1.737890
1	6657	0.664063	6657	1.653994
1	6974	0.647435	6974	1.485059
1	7291	0.624838	7291	1.591013
1	7608	0.622238	7608	1.493114
1	7925	0.601772	7925	1.588558
1	8242	0.589796	8242	1.615402
1	8559	0.574324	8559	1.666779
1	8876	0.564186	8876	1.440607
1	9193	0.552693	9193	1.433469
1	9510	0.535610	9510	1.421918
1	9827	0.523054	9827	1.473464
1	10144	0.512342	10144	1.504781
1	10461	0.492523	10461	1.539143
1	10778	0.484209	10778	1.381008
1	11095	0.471109	11095	1.575041
1	11412	0.462307	11412	1.668925
1	11729	0.447451	11729	1.509605
1	12046	0.440350	12046	1.498495
1	12363	0.419230	12363	1.503338
1	12680	0.406516	12680	1.400303
1	12997	0.402435	12997	1.481830
1	13314	0.381713	13314	1.461458
1	13631	0.369514	13631	1.589393
1	13948	0.360894	13948	1.453562
1	14265	0.343394	14265	1.493611
1	14582	0.339051	14582	1.608020
1	14899	0.329624	14899	1.452768
1	15216	0.299281	15216	1.628590
1	15533	0.289459	15533	1.709163
1	15850	0.286095	15850	1.506665
2	232	1.568455	232	3.096365
2	464	1.341405	464	2.637740
2	696	1.221371	696	3.074764
2	928	1.140228	928	3.044523
2	1160	1.075272	1160	2.516395
2	1392	1.027209	1392	2.326536
2	1624	0.980380	1624	2.254382
2	1856	0.946712	1856	2.150792
2	2088	0.911385	2088	2.343439
2	2320	0.891985	2320	2.034575
2	2552	0.851915	2552	2.269716
2	2784	0.839361	2784	2.365053
2	3016	0.811527	3016	1.936342
2	3248	0.786940	3248	2.159935
2	3480	0.768878	3480	2.011389
2	3712	0.746586	3712	1.841972
2	3944	0.730597	3944	2.012690
2	4176	0.709518	4176	2.437636
2	4408	0.700378	4408	2.936537
2	4640	0.675905	4640	1.872117
2	4872	0.662789	4872	2.004560
2	5104	0.653700	5104	1.868286
2	5336	0.631860	5336	1.548841
2	5568	0.623049	5568	1.685561
2	5800	0.604909	5800	1.838900
2	6032	0.590041	6032	1.711532
2	6264	0.580952	6264	1.782217
2	6496	0.556204	6496	2.047793
2	6728	0.550334	6728	1.883068
2	6960	0.540444	6960	2.438019
2	7192	0.522273	7192	1.718013
2	7424	0.507987	7424	2.092364
2	7656	0.499712	7656	1.960348
2	7888	0.481608	7888	2.587560
2	8120	0.470191	8120	1.972346
2	8352	0.453251	8352	1.839803
2	8584	0.445792	8584	1.853008
2	8816	0.424733	8816	1.878434
2	9048	0.417448	9048	2.073633
2	9280	0.410668	9280	2.162116
2	9512	0.390989	9512	2.014904
2	9744	0.375776	9744	3.456819
2	9976	0.364557	9976	2.133619
2	10208	0.354878	10208	2.702176
2	10440	0.336470	10440	1.724677
2	10672	0.325385	10672	2.291604
2	10904	0.309676	10904	3.175372
2	11136	0.289938	11136	1.633617
2	11368	0.281566	11368	1.858770
2	11600	0.268423	11600	1.970227
3	404	1.514735	404	3.151129
3	808	1.286101	808	2.589166
3	1212	1.159682	1212	2.318586
3	1616	1.066485	1616	2.566621
3	2020	1.009540	2020	2.506391
3	2424	0.957750	2424	2.193797
3	2828	0.914112	2828	2.121134
3	3232	0.885653	3232	2.347825
3	3636	0.856687	3636	2.185183
3	4040	0.840643	4040	1.972513
3	4444	0.817550	4444	2.758603
3	4848	0.790938	4848	2.094314
3	5252	0.772304	5252	2.094454
3	5656	0.753317	5656	1.788089
3	6060	0.732419	6060	1.680161
3	6464	0.716987	6464	1.711307
3	6868	0.699385	6868	1.568979
3	7272	0.680797	7272	1.861107
3	7676	0.667942	7676	2.142727
3	8080	0.653835	8080	1.932004
3	8484	0.641050	8484	1.600617
3	8888	0.625951	8888	2.095509
3	9292	0.614446	9292	2.326498
3	9696	0.601374	9696	1.843598
3	10100	0.588784	10100	2.005259
3	10504	0.571254	10504	1.868943
3	10908	0.560286	10908	1.771702
3	11312	0.544294	11312	1.798991
3	11716	0.535334	11716	1.700607
