GlobalRound	GlobalAccuracy
1	24.3100
2	35.5500
3	40.6900
4	44.5400
5	48.4000
6	50.4100
7	50.9300
8	53.5800
9	52.9700
10	55.6900
11	57.3500
12	54.6000
13	59.2500
14	60.0300
15	59.0100
16	61.1800
17	60.7300
18	62.7700
19	61.2700
20	64.2600
21	62.2700
22	65.2000
23	65.4800
24	65.7200
25	66.6500
26	66.0200
27	67.3600
28	66.8300
29	66.8300
30	63.8400
31	67.5500
32	67.9200
33	67.8400
34	67.5100
35	69.4300
36	68.0400
37	67.1200
38	67.5300
39	69.5200
40	68.6800
41	69.2300
42	67.9300
43	69.1000
44	67.6500
45	69.3200
46	70.7800
47	69.4200
48	70.2500
49	68.9600
50	71.0300
