ClientID	NNPass_Train	TrainLoss	NNPass_Test	TestLoss
0	313	2.118889	313	1.827054
0	626	1.915073	626	1.884040
0	939	1.791529	939	1.598229
0	1252	1.703200	1252	2.165692
0	1565	1.722360	1565	1.759666
0	1878	1.591509	1878	1.585986
0	2191	1.568773	2191	1.434116
0	2504	1.467753	2504	1.398432
0	2817	1.383334	2817	1.331504
0	3130	1.301271	3130	1.452854
0	3443	1.199519	3443	1.274899
0	3756	1.116223	3756	1.248522
0	4069	1.019698	4069	1.233199
0	4382	0.886853	4382	1.167378
0	4695	0.811877	4695	1.098860
0	5008	0.723385	5008	1.081567
0	5321	0.652366	5321	1.076144
0	5634	0.584804	5634	1.122900
0	5947	0.521195	5947	1.099300
0	6260	0.470454	6260	1.102167
0	6573	0.437400	6573	1.111991
0	6886	0.410064	6886	1.141723
0	7199	0.379413	7199	1.147639
0	7512	0.363075	7512	1.152540
0	7825	0.341622	7825	1.157424
0	8138	0.324820	8138	1.241087
0	8451	0.312213	8451	1.220249
0	8764	0.300743	8764	1.229699
0	9077	0.280774	9077	1.280962
0	9390	0.275397	9390	1.269584
0	9703	0.258632	9703	1.307264
0	10016	0.258790	10016	1.311253
0	10329	0.247186	10329	1.307970
0	10642	0.240028	10642	1.376881
0	10955	0.236949	10955	1.377196
0	11268	0.231988	11268	1.384340
0	11581	0.224070	11581	1.402349
0	11894	0.215184	11894	1.451874
0	12207	0.207612	12207	1.423749
0	12520	0.220749	12520	1.528954
0	12833	0.197549	12833	1.451262
0	13146	0.193948	13146	1.493376
0	13459	0.185091	13459	1.527087
0	13772	0.194492	13772	1.578630
0	14085	0.184152	14085	1.542567
0	14398	0.177642	14398	1.565159
0	14711	0.179377	14711	1.581602
0	15024	0.167896	15024	1.586963
0	15337	0.169458	15337	1.631337
0	15650	0.178196	15650	1.665445
1	313	2.046046	313	1.742972
1	626	1.733150	626	1.624103
1	939	1.625353	939	1.748532
1	1252	1.514581	1252	1.600732
1	1565	1.428660	1565	1.555644
1	1878	1.331431	1878	1.406446
1	2191	1.246453	2191	1.253038
1	2504	1.132368	2504	1.256443
1	2817	1.043689	2817	1.136435
1	3130	0.920095	3130	1.104024
1	3443	0.802971	3443	1.122077
1	3756	0.691580	3756	1.040583
1	4069	0.558579	4069	1.065343
1	4382	0.460758	4382	1.048089
1	4695	0.363752	4695	1.052514
1	5008	0.289932	5008	1.040619
1	5321	0.220754	5321	1.077362
1	5634	0.173815	5634	1.128447
1	5947	0.140507	5947	1.151584
1	6260	0.114321	6260	1.221390
