GlobalRound	GlobalAccuracy
1	39.1800
2	50.9000
3	53.1000
4	58.6000
5	60.2800
6	60.6000
7	64.1000
8	65.0200
9	67.2700
10	69.1000
11	69.6100
12	70.2000
13	71.0800
14	72.0600
15	72.6200
16	72.6600
17	72.8400
18	72.9600
19	72.9500
20	73.1200
21	73.1200
22	73.1100
23	73.3600
24	73.2800
25	73.2500
26	73.0800
27	73.1700
28	73.2300
29	73.2000
30	73.2200
31	73.3000
32	73.2300
33	73.2000
34	73.1800
35	73.2500
36	73.2900
37	73.1700
38	73.3700
39	73.2200
40	73.1600
41	73.2700
42	73.2500
43	73.2200
44	73.2000
45	73.2900
46	73.1900
47	73.3100
48	73.0400
49	73.0500
50	73.0200
