GlobalRnd   ClientID  LocEpoch    Accuracy    LR          Loss        GradNorm    
1           0         1           34.1000     0.254472    2.118889    2.545964    
1           1         1           37.2500     0.232929    2.065658    2.818444    
1           2         1           30.1900     0.253377    2.139286    2.433788    
1           3         1           33.2400     0.218039    2.012608    2.744677    
1           4         1           40.2800     0.221305    1.976816    2.679353    
2           0         1           34.6400     0.273258    1.893201    2.880631    
2           1         1           35.3900     0.257241    1.854365    3.087592    
2           2         1           37.6400     0.306990    2.010651    2.860627    
2           3         1           44.4600     0.243266    1.772252    3.138712    
2           4         1           39.3600     0.216113    1.739749    3.105810    
3           0         1           42.8600     0.319480    1.838931    3.145180    
3           1         1           45.2800     0.323575    1.748432    3.023886    
3           2         1           36.8100     0.339987    1.940013    2.883847    
3           3         1           41.0700     0.279825    1.634561    3.238929    
3           4         1           39.1500     0.283874    1.671728    3.338591    
4           0         1           38.9400     0.383634    1.787438    3.088321    
4           1         1           33.1900     0.339036    1.703731    3.286790    
4           2         1           40.3300     0.414751    1.905111    2.847102    
4           3         1           41.9800     0.316607    1.556480    3.328891    
4           4         1           47.8700     0.306513    1.527635    3.225921    
5           0         1           45.8300     0.376029    1.721780    3.341012    
5           1         1           43.4400     0.369510    1.605596    3.164588    
5           2         1           41.5300     0.434149    1.856092    2.934724    
5           3         1           51.4200     0.351392    1.459975    3.231195    
5           4         1           51.7800     0.342174    1.465625    3.309421    
6           0         1           37.5500     0.409964    1.630552    3.198621    
6           1         1           48.4800     0.401208    1.553547    3.131088    
6           2         1           43.2300     0.475413    1.815997    2.911859    
6           3         1           52.3700     0.339047    1.352533    3.293646    
6           4         1           54.0800     0.353751    1.338927    3.239157    
7           0         1           50.4900     0.400627    1.569037    3.328644    
7           1         1           51.1300     0.410953    1.468964    3.169675    
7           2         1           46.4600     0.487848    1.799968    3.069683    
7           3         1           48.2500     0.353636    1.306891    3.476858    
7           4         1           53.1200     0.349184    1.262173    3.336078    
8           0         1           47.5500     0.431804    1.500854    3.311205    
8           1         1           54.7800     0.434674    1.405789    3.162510    
8           2         1           42.0800     0.485987    1.750789    3.116368    
8           3         1           56.9600     0.356239    1.188663    3.382851    
8           4         1           57.8700     0.355537    1.151483    3.299761    
9           0         1           51.6700     0.427886    1.444081    3.380875    
9           1         1           51.7100     0.389857    1.289086    3.212247    
9           2         1           40.2600     0.487072    1.708393    3.229982    
9           3         1           54.6600     0.346006    1.075576    3.400696    
9           4         1           55.1300     0.349197    1.076342    3.380125    
10          0         1           56.5200     0.377305    1.288622    3.467132    
10          1         1           56.1900     0.359521    1.194810    3.348398    
10          2         1           52.8400     0.484494    1.621759    3.194292    
10          3         1           62.9000     0.322105    0.962993    3.437856    
10          4         1           62.1800     0.321687    0.974552    3.430340    
11          0         1           57.6300     0.359544    1.227218    3.581147    
11          1         1           57.0400     0.359819    1.115642    3.367225    
11          2         1           53.0600     0.465924    1.577985    3.395347    
11          3         1           64.7100     0.268528    0.816980    3.511812    
11          4         1           63.6700     0.273845    0.835845    3.495217    
12          0         1           57.2200     0.334816    1.121518    3.631385    
12          1         1           61.1400     0.332991    1.034183    3.456182    
12          2         1           54.3000     0.461910    1.540485    3.427127    
12          3         1           65.7500     0.233673    0.685832    3.472151    
12          4         1           64.7800     0.249808    0.697440    3.443600    
13          0         1           59.2000     0.295442    1.000949    3.697558    
13          1         1           61.8200     0.289129    0.907913    3.484079    
13          2         1           46.3100     0.420692    1.450149    3.473536    
13          3         1           66.6900     0.194518    0.542197    3.431179    
13          4         1           65.7300     0.202217    0.563084    3.434791    
14          0         1           60.4400     0.267071    0.904419    3.787571    
14          1         1           62.7500     0.248678    0.789620    3.576310    
