ClientID	NNPass_Train	TrainLoss	NNPass_Test	TestLoss
0	207	1.824769	207	2.659942
0	414	1.642458	414	2.433410
0	621	1.551494	621	2.212118
0	828	1.481661	828	2.276726
0	1035	1.383790	1035	1.918771
0	1242	1.357748	1242	2.197081
0	1449	1.258472	1449	1.857057
0	1656	1.193095	1656	1.993637
0	1863	1.143903	1863	1.831692
0	2070	1.090867	2070	1.543492
0	2277	0.947866	2277	1.248517
0	2484	0.869078	2484	1.466228
0	2691	0.767773	2691	1.392406
0	2898	0.637391	2898	1.465582
0	3105	0.555553	3105	1.378761
0	3312	0.465091	3312	1.552022
0	3519	0.373969	3519	1.481553
0	3726	0.318322	3726	1.525163
0	3933	0.238185	3933	1.486332
0	4140	0.210502	4140	1.410530
0	4347	0.173394	4347	1.405870
0	4554	0.146957	4554	1.485367
0	4761	0.121129	4761	1.582504
0	4968	0.109893	4968	1.508397
0	5175	0.092139	5175	1.624502
0	5382	0.083453	5382	1.676025
0	5589	0.070285	5589	1.587306
0	5796	0.067558	5796	1.645478
0	6003	0.063454	6003	1.703721
0	6210	0.056995	6210	1.770660
0	6417	0.056669	6417	1.853641
0	6624	0.049183	6624	1.799696
0	6831	0.049978	6831	1.833084
0	7038	0.046560	7038	1.825561
0	7245	0.047098	7245	1.961323
0	7452	0.045545	7452	1.973767
0	7659	0.047353	7659	1.937938
0	7866	0.041552	7866	2.004071
0	8073	0.043589	8073	1.998139
0	8280	0.035733	8280	1.989529
0	8487	0.041817	8487	1.994346
0	8694	0.035201	8694	2.002073
0	8901	0.040758	8901	2.043999
0	9108	0.042687	9108	2.066160
0	9315	0.035658	9315	2.037052
0	9522	0.042421	9522	2.119203
0	9729	0.035989	9729	2.161390
0	9936	0.035149	9936	2.127037
0	10143	0.040344	10143	2.157424
0	10350	0.033247	10350	2.187862
1	317	1.520995	317	2.722918
1	634	1.299171	634	2.654080
1	951	1.185243	951	2.255702
1	1268	1.117061	1268	2.354641
1	1585	1.008471	1585	2.049889
1	1902	1.012990	1902	3.157022
1	2219	0.947477	2219	1.665412
1	2536	0.838674	2536	2.216780
1	2853	0.789937	2853	2.035767
1	3170	0.742196	3170	1.551609
1	3487	0.690343	3487	1.649264
1	3804	0.627246	3804	1.782918
1	4121	0.555543	4121	1.720548
1	4438	0.470058	4438	1.669461
1	4755	0.404640	4755	1.596229
1	5072	0.336095	5072	1.444914
1	5389	0.268426	5389	1.543250
1	5706	0.224084	5706	1.726252
1	6023	0.179901	6023	1.774608
1	6340	0.144836	6340	1.786164
1	6657	0.124309	6657	1.728313
1	6974	0.098022	6974	1.881613
1	7291	0.083760	7291	1.931639
1	7608	0.072388	7608	1.829914
1	7925	0.060696	7925	1.960251
1	8242	0.056793	8242	1.906295
1	8559	0.051721	8559	2.111403
1	8876	0.047009	8876	2.075352
1	9193	0.042739	9193	2.133362
1	9510	0.040732	9510	2.204008
1	9827	0.041738	9827	2.188035
1	10144	0.036321	10144	2.087653
1	10461	0.035295	10461	2.291005
1	10778	0.034088	10778	2.285510
1	11095	0.032740	11095	2.395223
1	11412	0.031057	11412	2.322145
1	11729	0.034863	11729	2.306459
1	12046	0.031910	12046	2.363363
1	12363	0.029747	12363	2.393290
1	12680	0.030698	12680	2.402410
1	12997	0.031659	12997	2.431036
1	13314	0.029402	13314	2.457051
1	13631	0.031425	13631	2.530778
1	13948	0.032426	13948	2.521743
1	14265	0.032683	14265	2.435017
1	14582	0.027461	14582	2.509980
1	14899	0.028863	14899	2.599030
1	15216	0.029097	15216	2.671104
1	15533	0.028140	15533	2.669782
1	15850	0.030198	15850	2.601597
2	232	1.586973	232	3.092844
2	464	1.350323	464	3.103841
2	696	1.209826	696	2.380892
2	928	1.150839	928	2.194968
2	1160	1.106634	1160	2.700894
2	1392	1.006268	1392	2.204102
2	1624	0.931719	1624	2.310141
2	1856	0.899784	1856	2.036643
2	2088	0.818936	2088	2.321056
2	2320	0.736554	2320	1.893357
2	2552	0.649390	2552	1.924569
2	2784	0.584556	2784	1.751686
2	3016	0.492038	3016	1.687912
2	3248	0.398674	3248	1.840800
2	3480	0.314106	3480	1.744516
2	3712	0.247681	3712	1.708466
2	3944	0.192978	3944	1.837189
2	4176	0.146030	4176	1.801577
2	4408	0.112450	4408	1.813015
2	4640	0.089990	4640	1.944384
2	4872	0.075003	4872	2.189884
2	5104	0.053781	5104	2.055358
2	5336	0.051075	5336	2.052681
2	5568	0.044006	5568	2.080702
2	5800	0.038055	5800	2.171405
2	6032	0.035849	6032	2.218332
2	6264	0.034686	6264	2.234957
2	6496	0.034402	6496	2.210515
2	6728	0.034325	6728	2.258442
2	6960	0.030707	6960	2.463701
2	7192	0.030935	7192	2.283071
2	7424	0.030915	7424	2.361542
2	7656	0.032086	7656	2.392486
2	7888	0.033681	7888	2.422123
2	8120	0.030902	8120	2.316206
2	8352	0.032530	8352	2.426559
2	8584	0.032988	8584	2.444485
2	8816	0.029599	8816	2.453047
2	9048	0.031909	9048	2.353147
2	9280	0.030787	9280	2.504977
2	9512	0.029727	9512	2.477207
2	9744	0.030384	9744	2.461762
2	9976	0.031579	9976	2.398553
2	10208	0.030011	10208	2.541225
2	10440	0.030398	10440	2.607570
2	10672	0.034177	10672	2.574531
2	10904	0.031737	10904	2.565883
2	11136	0.031051	11136	2.659594
2	11368	0.031300	11368	2.645130
2	11600	0.033498	11600	2.649034
3	404	1.412971	404	4.757284
3	808	1.221156	808	2.839877
3	1212	1.133338	1212	2.505121
3	1616	1.070100	1616	2.377040
3	2020	1.038952	2020	1.973440
3	2424	0.989027	2424	2.261329
3	2828	0.945014	2828	2.148920
3	3232	0.883003	3232	2.321569
3	3636	0.831524	3636	2.241194
3	4040	0.786394	4040	2.117381
3	4444	0.714589	4444	2.194861
3	4848	0.660884	4848	1.812244
3	5252	0.590904	5252	1.583071
3	5656	0.533685	5656	1.590459
3	6060	0.477666	6060	1.727789
3	6464	0.420246	6464	1.690447
3	6868	0.360309	6868	1.582309
3	7272	0.300872	7272	1.703402
3	7676	0.269237	7676	1.614960
3	8080	0.230176	8080	1.823849
3	8484	0.202748	8484	1.611564
3	8888	0.179944	8888	1.748072
3	9292	0.162605	9292	1.971170
3	9696	0.136268	9696	1.984048
3	10100	0.126044	10100	1.849373
3	10504	0.114602	10504	2.068546
3	10908	0.104918	10908	2.280241
3	11312	0.100904	11312	2.087050
3	11716	0.097554	11716	1.988933
3	12120	0.084047	12120	2.167718
3	12524	0.082376	12524	2.163502
3	12928	0.075026	12928	2.400009
3	13332	0.071019	13332	2.240473
3	13736	0.068017	13736	2.445797
3	14140	0.062342	14140	2.263554
3	14544	0.062946	14544	2.320549
3	14948	0.061462	14948	2.281462
3	15352	0.054752	15352	2.368664
3	15756	0.050601	15756	2.576221
3	16160	0.052892	16160	2.579128
3	16564	0.050502	16564	2.554998
3	16968	0.046220	16968	2.554833
3	17372	0.047466	17372	2.670391
3	17776	0.050616	17776	2.597269
3	18180	0.046917	18180	2.667159
3	18584	0.045702	18584	2.597722
3	18988	0.043937	18988	2.669912
3	19392	0.041160	19392	2.615447
3	19796	0.038027	19796	2.707799
3	20200	0.039164	20200	2.787295
4	405	1.518124	405	2.712398
4	810	1.348489	810	2.513326
4	1215	1.230071	1215	1.883122
4	1620	1.141791	1620	2.664661
4	2025	1.107684	2025	2.011150
4	2430	1.056613	2430	2.086391
4	2835	0.969525	2835	1.509594
4	3240	0.918143	3240	1.490088
4	3645	0.853980	3645	1.847821
4	4050	0.809010	4050	1.475055
4	4455	0.706986	4455	1.557254
4	4860	0.634021	4860	1.379389
4	5265	0.571596	5265	1.415274
4	5670	0.486898	5670	1.543318
4	6075	0.416441	6075	1.464163
4	6480	0.327620	6480	1.330516
4	6885	0.281308	6885	1.393554
4	7290	0.232948	7290	1.323152
4	7695	0.194320	7695	1.446713
4	8100	0.171500	8100	1.396263
4	8505	0.135757	8505	1.485914
4	8910	0.116484	8910	1.487076
4	9315	0.100800	9315	1.571372
4	9720	0.090500	9720	1.566935
4	10125	0.078504	10125	1.691710
4	10530	0.072013	10530	1.678458
4	10935	0.062762	10935	1.746290
4	11340	0.057183	11340	1.840117
4	11745	0.053890	11745	1.845133
4	12150	0.050277	12150	1.840860
4	12555	0.046404	12555	1.862980
4	12960	0.044686	12960	1.968620
4	13365	0.042518	13365	1.930094
4	13770	0.041683	13770	1.956187
4	14175	0.038674	14175	2.001869
4	14580	0.038341	14580	2.033039
4	14985	0.038870	14985	2.049471
4	15390	0.035602	15390	2.033715
4	15795	0.036736	15795	2.102510
4	16200	0.035713	16200	2.167951
4	16605	0.035110	16605	2.138283
4	17010	0.031920	17010	2.252607
4	17415	0.032121	17415	2.150363
4	17820	0.031016	17820	2.194530
4	18225	0.032280	18225	2.200345
4	18630	0.037291	18630	2.203371
4	19035	0.032849	19035	2.179314
4	19440	0.030273	19440	2.281269
4	19845	0.030368	19845	2.305390
4	20250	0.031182	20250	2.334795
