GlobalRnd   ClientID  LocEpoch    Accuracy    LR          Loss        GradNorm    
1           0         1           19.1400     0.147001    1.824769    2.347751    
1           1         1           26.5400     0.090713    1.520995    3.377261    
1           2         1           19.3000     0.097821    1.586973    3.104912    
1           3         1           17.5600     0.054414    1.412971    3.476738    
1           4         1           20.3100     0.095460    1.518124    3.092108    
2           0         1           23.2100     0.155907    1.642458    3.031300    
2           1         1           25.6300     0.108735    1.299171    3.324097    
2           2         1           19.9700     0.101788    1.350323    3.434737    
2           3         1           23.7400     0.073417    1.221156    3.708557    
2           4         1           28.9500     0.107120    1.348489    3.476382    
3           0         1           29.9700     0.194541    1.551494    3.270180    
3           1         1           35.0500     0.122414    1.185243    3.476212    
3           2         1           36.0600     0.125635    1.209826    3.409354    
3           3         1           32.6200     0.129827    1.133338    3.478731    
3           4         1           37.8400     0.133263    1.230071    3.504173    
4           0         1           35.5400     0.223153    1.481661    3.119437    
4           1         1           40.5100     0.140768    1.117061    3.612608    
4           2         1           33.3700     0.160652    1.150839    3.383849    
4           3         1           33.5100     0.178757    1.070100    3.151416    
4           4         1           32.5800     0.156754    1.141791    3.470905    
5           0         1           33.8700     0.240323    1.383790    3.197133    
5           1         1           43.6600     0.153397    1.008471    3.452986    
5           2         1           34.2700     0.195841    1.106634    3.399637    
5           3         1           39.3400     0.195380    1.038952    3.233324    
5           4         1           40.4800     0.185412    1.107684    3.476997    
6           0         1           36.7300     0.254102    1.357748    3.438344    
6           1         1           31.1500     0.199319    1.012990    3.502778    
6           2         1           42.5200     0.199080    1.006268    3.478658    
6           3         1           37.2700     0.232814    0.989027    3.181837    
6           4         1           40.5700     0.212602    1.056613    3.538164    
7           0         1           42.0300     0.253425    1.258472    3.422321    
7           1         1           51.3600     0.224251    0.947477    3.275388    
7           2         1           37.5100     0.219228    0.931719    3.356073    
7           3         1           44.6300     0.242966    0.945014    3.214242    
7           4         1           53.0000     0.213001    0.969525    3.524498    
8           0         1           43.1300     0.276818    1.193095    3.333514    
8           1         1           45.7800     0.216703    0.838674    3.194351    
8           2         1           47.4500     0.217437    0.899784    3.464240    
8           3         1           39.4300     0.229069    0.883003    3.319983    
8           4         1           53.3700     0.216064    0.918143    3.575033    
9           0         1           44.2800     0.270515    1.143903    3.473257    
9           1         1           47.1000     0.211629    0.789937    3.272004    
9           2         1           41.9000     0.230960    0.818936    3.377291    
9           3         1           42.0900     0.246572    0.831524    3.221450    
9           4         1           44.3500     0.233068    0.853980    3.366301    
10          0         1           50.0800     0.277392    1.090867    3.523807    
10          1         1           55.4600     0.218682    0.742196    3.287392    
10          2         1           50.2700     0.212834    0.736554    3.395534    
10          3         1           42.6700     0.244609    0.786394    3.270202    
10          4         1           55.1100     0.237841    0.809010    3.427470    
11          0         1           56.8700     0.254166    0.947866    3.454244    
11          1         1           52.1000     0.202501    0.690343    3.400028    
11          2         1           51.1000     0.200563    0.649390    3.343589    
11          3         1           42.0000     0.235187    0.714589    3.231317    
11          4         1           53.8300     0.216403    0.706986    3.443238    
12          0         1           54.6700     0.243311    0.869078    3.572048    
12          1         1           52.7000     0.197698    0.627246    3.407192    
12          2         1           55.2100     0.188888    0.584556    3.413988    
12          3         1           49.9700     0.213489    0.660884    3.341046    
12          4         1           56.3900     0.194828    0.634021    3.446451    
13          0         1           56.3300     0.212575    0.767773    3.579400    
13          1         1           55.2800     0.185225    0.555543    3.409842    
13          2         1           57.3000     0.169650    0.492038    3.307198    
13          3         1           50.2900     0.206585    0.590904    3.318949    
13          4         1           58.3800     0.180684    0.571596    3.551870    
14          0         1           56.8900     0.179288    0.637391    3.688388    
14          1         1           57.0800     0.158905    0.470058    3.402743    
14          2         1           55.9600     0.145364    0.398674    3.269256    
14          3         1           54.2400     0.188260    0.533685    3.322793    
14          4         1           56.7000     0.154366    0.486898    3.561642    
15          0         1           59.9500     0.157994    0.555553    3.725184    
15          1         1           59.5400     0.143559    0.404640    3.368790    
15          2         1           58.7700     0.129964    0.314106    3.104471    
15          3         1           55.1100     0.163387    0.477666    3.472502    
15          4         1           59.9000     0.132937    0.416441    3.551502    
16          0         1           58.1700     0.141165    0.465091    3.640447    
16          1         1           61.6800     0.114712    0.336095    3.408288    
16          2         1           59.5400     0.109543    0.247681    2.991457    
16          3         1           54.9800     0.140079    0.420246    3.519336    
16          4         1           62.5900     0.108722    0.327620    3.459294    
17          0         1           60.5700     0.109226    0.373969    3.737614    
17          1         1           63.0700     0.104238    0.268426    3.222723    
17          2         1           59.9500     0.089168    0.192978    2.934302    
17          3         1           57.5400     0.120305    0.360309    3.478566    
17          4         1           62.3700     0.092651    0.281308    3.481219    
18          0         1           61.7500     0.097494    0.318322    3.644043    
18          1         1           61.9200     0.084890    0.224084    3.272763    
18          2         1           62.1700     0.082628    0.146030    2.680116    
18          3         1           57.1000     0.095733    0.300872    3.583788    
18          4         1           65.2300     0.079258    0.232948    3.456274    
19          0         1           63.3600     0.077682    0.238185    3.526567    
19          1         1           62.7400     0.076530    0.179901    3.137983    
19          2         1           62.6800     0.071839    0.112450    2.586407    
19          3         1           59.3700     0.088987    0.269237    3.541938    
19          4         1           64.2600     0.071387    0.194320    3.363306    
20          0         1           65.1400     0.075110    0.210502    3.393279    
20          1         1           63.4600     0.063420    0.144836    3.010603    
20          2         1           62.4300     0.071818    0.089990    2.334260    
20          3         1           57.2300     0.071600    0.230176    3.628290    
20          4         1           66.6500     0.062087    0.171500    3.424499    
21          0         1           66.1000     0.065926    0.173394    3.297074    
21          1         1           65.0100     0.060957    0.124309    2.901820    
21          2         1           61.0900     0.068115    0.075003    2.202807    
21          3         1           59.6900     0.063172    0.202748    3.625924    
21          4         1           66.0000     0.055350    0.135757    3.108759    
22          0         1           66.2100     0.059115    0.146957    3.197125    
22          1         1           64.6100     0.055738    0.098022    2.706767    
22          2         1           63.2400     0.061057    0.053781    1.915651    
22          3         1           60.4700     0.058173    0.179944    3.521655    
22          4         1           66.5800     0.050220    0.116484    3.089726    
23          0         1           65.3700     0.057618    0.121129    2.999596    
23          1         1           65.0200     0.052725    0.083760    2.645130    
23          2         1           64.1900     0.068715    0.051075    1.937190    
23          3         1           57.2800     0.050175    0.162605    3.661677    
23          4         1           66.1700     0.046367    0.100800    2.981820    
24          0         1           67.0100     0.050944    0.109893    2.991223    
24          1         1           65.8500     0.049660    0.072388    2.464795    
24          2         1           64.4500     0.062958    0.044006    1.806478    
24          3         1           59.3500     0.046070    0.136268    3.456209    
24          4         1           66.8300     0.044625    0.090500    2.906106    
25          0         1           66.7600     0.047363    0.092139    2.824253    
25          1         1           65.2900     0.047248    0.060696    2.321543    
25          2         1           64.4000     0.061365    0.038055    1.749942    
25          3         1           60.8200     0.041917    0.126044    3.494227    
25          4         1           66.8500     0.039637    0.078504    2.824116    
26          0         1           66.7200     0.046340    0.083453    2.785869    
26          1         1           66.6400     0.045671    0.056793    2.312843    
26          2         1           64.7400     0.073432    0.035849    1.636362    
26          3         1           59.8000     0.039686    0.114602    3.415209    
26          4         1           67.1200     0.039492    0.072013    2.797955    
27          0         1           67.6100     0.042898    0.070285    2.671396    
27          1         1           65.4300     0.044075    0.051721    2.278415    
27          2         1           64.6000     0.069952    0.034686    1.716223    
27          3         1           58.0500     0.035218    0.104918    3.399705    
27          4         1           66.7200     0.037364    0.062762    2.694649    
28          0         1           67.7200     0.044965    0.067558    2.610795    
28          1         1           66.2600     0.045038    0.047009    2.183203    
28          2         1           65.2700     0.071948    0.034402    1.685626    
28          3         1           60.3200     0.034495    0.100904    3.409503    
28          4         1           66.6700     0.039900    0.057183    2.536804    
29          0         1           68.0500     0.042663    0.063454    2.658529    
29          1         1           65.8800     0.044230    0.042739    2.125423    
29          2         1           65.3900     0.062058    0.034325    1.897883    
29          3         1           62.4400     0.033884    0.097554    3.407642    
29          4         1           67.0700     0.037974    0.053890    2.551953    
30          0         1           67.2400     0.044104    0.056995    2.529088    
30          1         1           65.8400     0.045904    0.040732    2.131783    
30          2         1           64.1600     0.079635    0.030707    1.754142    
30          3         1           60.9800     0.031530    0.084047    3.180910    
30          4         1           67.0400     0.040570    0.050277    2.466373    
31          0         1           66.8000     0.046075    0.056669    2.543446    
31          1         1           66.3100     0.051022    0.041738    2.195073    
31          2         1           65.4100     0.070323    0.030935    1.728630    
31          3         1           61.7600     0.029309    0.082376    3.382326    
31          4         1           67.4100     0.038885    0.046404    2.432204    
32          0         1           68.0500     0.045487    0.049183    2.360756    
32          1         1           67.1700     0.042923    0.036321    2.118241    
32          2         1           65.3300     0.075349    0.030915    1.848967    
32          3         1           59.8800     0.031342    0.075026    3.187497    
32          4         1           66.9800     0.037778    0.044686    2.436520    
33          0         1           67.7000     0.040883    0.049978    2.562400    
33          1         1           65.8800     0.050825    0.035295    2.126061    
33          2         1           65.6000     0.091810    0.032086    1.853629    
33          3         1           61.3700     0.028511    0.071019    3.207110    
33          4         1           67.4200     0.039221    0.042518    2.339729    
34          0         1           68.2000     0.043817    0.046560    2.473146    
34          1         1           66.2100     0.055945    0.034088    2.087041    
34          2         1           65.7800     0.106851    0.033681    1.933940    
34          3         1           60.5400     0.028744    0.068017    3.165670    
34          4         1           67.8200     0.037009    0.041683    2.393402    
