GlobalRound	GlobalAccuracy
1	25.7800
2	41.8700
3	47.8600
4	53.9000
5	57.4000
6	58.8000
7	61.7500
8	63.8400
9	64.8400
10	66.8100
11	67.2800
12	68.4800
13	68.7000
14	69.4000
15	69.6300
16	70.3300
17	71.1400
18	70.9500
19	71.3400
20	70.9500
21	71.2900
22	71.0800
23	71.3400
24	71.1000
25	71.3000
26	71.4600
27	71.3000
28	71.3700
29	71.4500
30	71.3100
31	71.4200
32	71.2500
33	71.5500
34	71.6800
35	71.6800
36	71.6900
37	71.4900
38	71.6500
39	71.8700
40	71.7700
41	71.7700
42	71.5600
43	71.7900
44	71.9900
45	71.8900
46	71.8600
47	71.6800
48	71.7700
49	71.7100
50	71.9600
