GlobalRnd   ClientID  LocEpoch    Accuracy    LR          Loss        GradNorm    
1           0         1           38.6200     0.010000    2.016293    0.000000    
1           1         1           39.3400     0.010000    1.958830    0.000000    
1           2         1           38.7600     0.010000    1.953999    0.000000    
2           0         1           42.4300     0.010000    1.720851    0.000000    
2           1         1           46.5600     0.010000    1.616270    0.000000    
2           2         1           48.0800     0.010000    1.611785    0.000000    
3           0         1           51.4400     0.010000    1.572508    0.000000    
3           1         1           50.0500     0.010000    1.439014    0.000000    
3           2         1           49.4900     0.010000    1.431593    0.000000    
4           0         1           53.8100     0.010000    1.485318    0.000000    
4           1         1           53.3400     0.010000    1.333009    0.000000    
4           2         1           54.5100     0.010000    1.324217    0.000000    
5           0         1           53.6200     0.010000    1.416308    0.000000    
5           1         1           57.2000     0.010000    1.252979    0.000000    
5           2         1           57.1800     0.010000    1.248605    0.000000    
