ClientID	NNPass_Train	TrainLoss	NNPass_Test	TestLoss
0	313	2.098879	313	1.930807
0	626	1.853308	626	1.693311
0	939	1.714261	939	1.537254
0	1252	1.616121	1252	1.543908
0	1565	1.553404	1565	1.501658
0	1878	1.496134	1878	1.348872
0	2191	1.452765	2191	1.338383
0	2504	1.413129	2504	1.299754
0	2817	1.379335	2817	1.265943
0	3130	1.344889	3130	1.258592
0	3443	1.316492	3443	1.194026
0	3756	1.287154	3756	1.185952
0	4069	1.260994	4069	1.187000
0	4382	1.234648	4382	1.218690
0	4695	1.208896	4695	1.143681
0	5008	1.187779	5008	1.147649
0	5321	1.162840	5321	1.122985
0	5634	1.140919	5634	1.085336
0	5947	1.120841	5947	1.039719
0	6260	1.104636	6260	1.017487
0	6573	1.086398	6573	1.107019
0	6886	1.066839	6886	1.071533
0	7199	1.051295	7199	1.024530
0	7512	1.037729	7512	1.093500
0	7825	1.008169	7825	0.979748
0	8138	0.990484	8138	0.979519
0	8451	0.976690	8451	1.012852
0	8764	0.955846	8764	1.050092
0	9077	0.941744	9077	1.011358
0	9390	0.923326	9390	0.975819
0	9703	0.904980	9703	0.951020
0	10016	0.886536	10016	0.994856
0	10329	0.872866	10329	0.947624
0	10642	0.853553	10642	0.993247
0	10955	0.837857	10955	0.966613
0	11268	0.819182	11268	0.969532
0	11581	0.800189	11581	0.972352
0	11894	0.778679	11894	1.070288
0	12207	0.761346	12207	0.915660
0	12520	0.745644	12520	0.998240
0	12833	0.723548	12833	0.968300
0	13146	0.706421	13146	1.032061
0	13459	0.687143	13459	0.971938
0	13772	0.665635	13772	1.091093
0	14085	0.649664	14085	0.973744
0	14398	0.636188	14398	1.047189
0	14711	0.612449	14711	0.944623
0	15024	0.595487	15024	1.038832
0	15337	0.578186	15337	1.092926
0	15650	0.549727	15650	1.147513
1	313	2.054330	313	1.869769
1	626	1.764425	626	1.654629
1	939	1.599498	939	1.552244
1	1252	1.477315	1252	1.450570
1	1565	1.400675	1565	1.384484
1	1878	1.337390	1878	1.307547
1	2191	1.285029	2191	1.322713
1	2504	1.244874	2504	1.281710
1	2817	1.199479	2817	1.309230
1	3130	1.166846	3130	1.278589
1	3443	1.133565	3443	1.176564
1	3756	1.101567	3756	1.202629
1	4069	1.069553	4069	1.132046
1	4382	1.043174	4382	1.152836
1	4695	1.015975	4695	1.084957
1	5008	0.988931	5008	1.188715
