GlobalRound	GlobalAccuracy
1	34.4000
2	43.1700
3	47.0500
4	51.3700
5	53.7000
6	54.8800
7	56.9100
8	57.1000
9	57.7200
10	60.3300
11	61.2400
12	62.2600
13	63.2600
14	64.1000
15	65.1300
16	64.5100
17	65.7700
18	67.0100
19	67.1900
20	67.5100
21	67.7500
22	67.8900
23	68.9100
24	69.0000
25	69.2700
26	69.6700
27	69.7700
28	70.0600
29	70.3400
30	69.7400
31	71.1800
32	71.5200
33	71.2000
34	71.5300
35	72.1800
36	71.7100
37	71.9400
38	71.7500
39	71.8300
40	72.3500
41	72.0500
42	72.7700
43	72.5500
44	72.3800
45	72.1600
46	72.5200
47	72.4700
48	72.2600
49	71.9500
50	72.7000
