GlobalRnd   ClientID  LocEpoch    Accuracy    LR          Loss        GradNorm    
1           0         1           9.8000      6.924533    0.123756    0.173753    
1           1         1           92.8900     0.129949    0.496661    2.797456    
1           2         1           94.6600     0.120830    0.467139    2.719043    
1           3         1           92.8800     0.095580    0.566858    3.241930    
1           4         1           92.1800     0.061121    0.622119    3.973509    
2           0         1           14.3500     1.461905    0.032890    0.562317    
2           1         1           95.9800     0.125513    0.219335    2.206884    
2           2         1           95.7600     0.115334    0.215714    2.331559    
2           3         1           96.3100     0.108433    0.217689    2.373592    
2           4         1           95.7700     0.124339    0.213149    2.208504    
3           0         1           86.8800     6.694586    0.000244    0.008304    
3           1         1           97.4300     0.148423    0.138560    1.665682    
3           2         1           97.2200     0.146297    0.133995    1.704438    
3           3         1           96.0500     0.144886    0.134734    1.705278    
3           4         1           94.7700     0.142364    0.132331    1.695920    
4           0         1           94.0300     7.668576    0.002158    0.062036    
4           1         1           97.2900     0.164631    0.108026    1.455239    
4           2         1           94.9200     0.152741    0.107794    1.479183    
4           3         1           97.7200     0.159316    0.123024    1.578166    
4           4         1           96.7000     0.169199    0.116215    1.475285    
5           0         1           96.1900     5.295435    0.003027    0.084480    
5           1         1           97.4600     0.173501    0.096461    1.326238    
5           2         1           96.5600     0.162620    0.092677    1.366359    
5           3         1           97.5300     0.167219    0.088482    1.312115    
5           4         1           96.8300     0.158099    0.090313    1.331648    
6           0         1           96.5000     5.646862    0.001352    0.044917    
6           1         1           97.4200     0.167096    0.081951    1.252266    
6           2         1           97.3200     0.167605    0.080078    1.248082    
6           3         1           96.2200     0.180142    0.081202    1.247942    
6           4         1           97.9000     0.171475    0.079640    1.242006    
7           0         1           96.0800     6.131438    0.000877    0.034977    
7           1         1           97.9500     0.185146    0.075317    1.148662    
7           2         1           97.5600     0.180287    0.072172    1.188027    
7           3         1           98.3100     0.183307    0.079240    1.216590    
7           4         1           97.8900     0.178206    0.076183    1.206105    
8           0         1           97.7600     6.266056    0.001584    0.062768    
8           1         1           97.0300     0.181054    0.074703    1.162785    
8           2         1           98.1500     0.173147    0.059589    1.059287    
8           3         1           97.6600     0.171721    0.061219    1.087731    
8           4         1           98.3000     0.179999    0.066043    1.109608    
9           0         1           97.6200     6.308955    0.001241    0.061191    
9           1         1           98.6400     0.191586    0.059213    1.035743    
9           2         1           98.6000     0.161999    0.059806    1.101586    
9           3         1           98.2900     0.201952    0.063010    1.081587    
9           4         1           98.4600     0.177377    0.060695    1.060105    
10          0         1           97.7400     7.224530    0.000701    0.045082    
10          1         1           97.9000     0.184407    0.068769    1.141378    
10          2         1           98.3900     0.171652    0.059010    1.077882    
10          3         1           98.3600     0.182601    0.056816    0.995827    
10          4         1           98.7800     0.179834    0.056212    1.047220    
11          0         1           98.1300     6.956431    0.000804    0.048841    
11          1         1           98.6200     0.176003    0.053488    0.984347    
11          2         1           98.3200     0.151515    0.045055    0.962532    
11          3         1           97.0900     0.175698    0.054592    1.033511    
11          4         1           98.5800     0.177895    0.048243    0.976900    
12          0         1           97.9800     9.146053    0.000168    0.008086    
12          1         1           98.1000     0.169360    0.050156    0.992388    
12          2         1           98.3900     0.198978    0.042756    0.916604    
12          3         1           98.6100     0.181358    0.048170    0.994192    
12          4         1           98.1500     0.170248    0.050863    0.992613    
13          0         1           98.4500     6.323211    0.002341    0.105896    
13          1         1           98.6600     0.188229    0.051308    0.972153    
13          2         1           98.4000     0.164405    0.043460    0.943806    
13          3         1           98.8400     0.175022    0.043273    0.931238    
13          4         1           94.4000     0.172920    0.038344    0.854210    
14          0         1           98.4900     4.866074    0.000420    0.025863    
14          1         1           98.5800     0.163571    0.041043    0.910590    
14          2         1           97.9200     0.165878    0.037083    0.900026    
14          3         1           98.7900     0.168623    0.045298    0.940426    
14          4         1           98.7700     0.191602    0.050941    1.041934    
15          0         1           98.3600     9.067197    0.000441    0.027650    
15          1         1           98.5900     0.174957    0.043949    0.946952    
15          2         1           98.7900     0.182642    0.045307    0.927660    
15          3         1           98.5700     0.177818    0.037178    0.879471    
15          4         1           98.8300     0.184977    0.037962    0.894431    
16          0         1           98.7800     6.429142    0.001066    0.085033    
16          1         1           98.6300     0.200168    0.041667    0.907696    
16          2         1           97.9300     0.190289    0.040608    0.931808    
16          3         1           98.6300     0.183679    0.035455    0.860738    
16          4         1           98.4700     0.187655    0.040352    0.868939    
17          0         1           98.3500     8.348766    0.000271    0.022945    
17          1         1           98.5400     0.213112    0.043335    0.982592    
17          2         1           98.5000     0.202947    0.043672    0.911466    
17          3         1           98.7800     0.227487    0.039607    0.887560    
17          4         1           98.6900     0.191354    0.036162    0.849648    
18          0         1           98.5800     6.088667    0.000734    0.047688    
18          1         1           98.7800     0.222540    0.039615    0.852345    
18          2         1           98.4200     0.196497    0.039124    0.886046    
18          3         1           98.6800     0.201361    0.038950    0.882965    
18          4         1           98.7300     0.228026    0.039316    0.890164    
19          0         1           98.7000     8.204852    0.000272    0.017604    
19          1         1           98.9300     0.274916    0.033544    0.795688    
19          2         1           98.7600     0.207672    0.030297    0.767041    
19          3         1           98.8200     0.210505    0.027049    0.741614    
19          4         1           98.8600     0.203353    0.034541    0.873289    
20          0         1           98.7800     8.338052    0.000105    0.008138    
20          1         1           98.7900     0.173679    0.042921    0.935694    
20          2         1           98.8900     0.186244    0.037777    0.905544    
20          3         1           98.3800     0.233593    0.030168    0.786217    
20          4         1           98.8300     0.272910    0.028444    0.771722    
21          0         1           98.6500     9.028988    0.000028    0.001953    
21          1         1           97.5600     0.221970    0.034002    0.844890    
21          2         1           98.9500     0.208602    0.035841    0.870791    
21          3         1           98.6200     0.230695    0.029746    0.805300    
21          4         1           98.7600     0.217507    0.039047    0.884427    
22          0         1           98.8300     7.181767    0.000451    0.038253    
22          1         1           98.7400     0.252478    0.034849    0.837460    
22          2         1           94.4600     0.210803    0.037063    0.914990    
22          3         1           98.8700     0.182051    0.030555    0.855127    
22          4         1           98.8000     0.189896    0.049200    0.988560    
23          0         1           98.6700     7.744744    0.000114    0.008065    
23          1         1           98.2400     0.325636    0.036744    0.880743    
23          2         1           99.0000     0.205986    0.027390    0.787139    
23          3         1           98.9800     0.234492    0.026846    0.778423    
23          4         1           98.9500     0.238328    0.032300    0.807039    
24          0         1           98.8800     8.979030    0.000942    0.062645    
24          1         1           98.8100     0.183129    0.038007    0.905275    
24          2         1           98.8000     0.221651    0.032390    0.886778    
24          3         1           99.0200     0.238975    0.027540    0.772915    
24          4         1           97.9500     0.216444    0.036216    0.898183    
25          0         1           98.9000     7.664587    0.000548    0.056252    
25          1         1           98.5800     0.254854    0.027273    0.767453    
25          2         1           98.9900     0.287321    0.027314    0.774969    
25          3         1           98.9200     0.194988    0.035025    0.875175    
25          4         1           98.8900     0.231933    0.032394    0.848260    
26          0         1           98.9900     6.671799    0.000767    0.068409    
26          1         1           98.8200     0.212933    0.030078    0.807526    
26          2         1           98.9300     0.224420    0.027487    0.752236    
26          3         1           98.5100     0.241041    0.031059    0.837302    
26          4         1           98.8500     0.270140    0.029103    0.810058    
27          0         1           98.9200     8.233758    0.000309    0.030343    
27          1         1           98.7800     0.229543    0.031448    0.849733    
27          2         1           98.9700     0.245485    0.024877    0.722087    
27          3         1           98.9400     0.239750    0.027670    0.811304    
27          4         1           98.9100     0.237824    0.029230    0.767206    
28          0         1           98.8400     9.243370    0.000148    0.013084    
28          1         1           98.6500     0.228663    0.029306    0.830026    
28          2         1           98.8800     0.233019    0.031036    0.827270    
28          3         1           98.8600     0.290909    0.026533    0.826057    
28          4         1           98.8400     0.187884    0.034150    0.940629    
29          0         1           98.9800     4.838233    0.003207    0.241375    
29          1         1           98.6400     0.174775    0.033486    0.880824    
29          2         1           98.6400     0.331715    0.028795    0.786995    
29          3         1           98.9300     0.329241    0.022690    0.710260    
29          4         1           98.8200     0.305577    0.027652    0.778108    
30          0         1           98.9400     6.573745    0.000343    0.033167    
30          1         1           98.5200     0.228343    0.024096    0.759594    
30          2         1           98.4400     0.220286    0.035892    0.912559    
30          3         1           98.8900     0.331143    0.025084    0.805919    
30          4         1           97.5500     0.379818    0.027093    0.752021    
31          0         1           98.9700     6.277678    0.000245    0.022549    
31          1         1           98.8600     0.305722    0.029539    0.818522    
31          2         1           98.7200     0.279507    0.026021    0.734121    
31          3         1           98.9600     0.218741    0.025624    0.819300    
31          4         1           98.8600     0.252965    0.024403    0.739532    
32          0         1           98.9300     3.899860    0.000446    0.040536    
32          1         1           98.4500     0.253716    0.029482    0.822680    
32          2         1           98.8400     0.204248    0.025694    0.812398    
32          3         1           99.0700     0.227249    0.021975    0.744985    
32          4         1           98.9900     0.599786    0.024807    0.734888    
33          0         1           99.1000     1.869759    0.000879    0.073958    
33          1         1           98.9800     0.192177    0.031892    0.917694    
33          2         1           98.7200     0.282314    0.031652    0.858807    
33          3         1           98.9600     0.413661    0.022692    0.788376    
33          4         1           98.8600     0.348883    0.026399    0.750679    
34          0         1           99.1100     2.207352    0.000781    0.078324    
34          1         1           98.7900     0.268280    0.023397    0.753239    
34          2         1           98.8600     0.312578    0.025398    0.713200    
34          3         1           98.7300     0.413656    0.024304    0.740552    
34          4         1           98.8300     0.503048    0.027687    0.775966    
35          0         1           98.9700     1.170699    0.000695    0.069108    
35          1         1           99.0000     0.262798    0.026028    0.765040    
35          2         1           99.0600     0.324372    0.023052    0.716411    
35          3         1           98.9000     0.284802    0.025622    0.823263    
35          4         1           98.9300     0.208672    0.031489    0.913818    
36          0         1           99.1500     0.871758    0.003705    0.351659    
36          1         1           98.8400     0.258699    0.027565    0.827358    
36          2         1           99.0000     0.512214    0.021231    0.649907    
36          3         1           98.9300     0.355185    0.020917    0.748632    
36          4         1           99.0500     0.282829    0.027695    0.849839    
37          0         1           99.1400     2.085836    0.001461    0.155629    
37          1         1           98.9000     0.326201    0.031080    0.862560    
37          2         1           99.0200     0.176726    0.035551    0.936232    
37          3         1           99.0300     0.296139    0.019434    0.688915    
37          4         1           99.0600     0.383955    0.023818    0.732485    
38          0         1           99.0800     4.130075    0.000351    0.034582    
38          1         1           98.4400     0.350520    0.028068    0.926281    
38          2         1           98.5300     0.211821    0.025631    0.828355    
38          3         1           98.9000     0.351118    0.021876    0.757176    
38          4         1           98.9100     0.339306    0.026787    0.852927    
