GlobalRound	GlobalAccuracy
1	93.5400
2	97.2600
3	97.7200
4	98.1200
5	98.4400
6	98.3700
7	98.6400
8	98.3900
9	98.7800
10	98.8800
11	98.8000
12	98.7900
13	98.8800
14	98.8700
15	98.8000
16	98.8100
17	98.8100
18	98.8200
19	98.8300
20	98.8700
21	98.8800
22	98.9100
23	98.9100
24	98.8500
25	98.9000
26	98.9000
27	98.8100
28	98.9000
29	98.8800
30	98.9300
31	98.8300
32	98.8600
33	98.8500
34	98.9200
35	98.9300
36	98.9500
37	99.0200
38	98.9600
39	99.0300
40	98.8800
41	98.9300
42	98.9100
43	98.9700
44	98.9400
45	98.9400
46	98.9300
47	98.8400
48	98.9800
49	98.9500
50	98.9700
