ClientID	NNPass_Train	TrainLoss	NNPass_Test	TestLoss
0	433	0.466071	433	1.554016
0	866	0.229322	866	0.918707
0	1299	0.142641	1299	0.576275
0	1732	0.118770	1732	0.356768
0	2165	0.091475	2165	0.446644
0	2598	0.080532	2598	0.196592
0	3031	0.071435	3031	0.396636
0	3464	0.068463	3464	0.277102
0	3897	0.060663	3897	0.193994
0	4330	0.054042	4330	0.158393
0	4763	0.048253	4763	0.187580
0	5196	0.045487	5196	0.160447
0	5629	0.042922	5629	0.132107
0	6062	0.037767	6062	0.196207
0	6495	0.042486	6495	0.155281
0	6928	0.037535	6928	0.226169
0	7361	0.042056	7361	0.137329
0	7794	0.036111	7794	0.133336
0	8227	0.035727	8227	0.210244
0	8660	0.039820	8660	0.093776
0	9093	0.028703	9093	0.097090
0	9526	0.027891	9526	0.225673
0	9959	0.028002	9959	0.125475
0	10392	0.034082	10392	0.081291
0	10825	0.026381	10825	0.138907
0	11258	0.033799	11258	0.136244
0	11691	0.028854	11691	0.179039
0	12124	0.026074	12124	0.123746
0	12557	0.029210	12557	0.125751
0	12990	0.023027	12990	0.111668
0	13423	0.030441	13423	0.074889
0	13856	0.024933	13856	0.104772
0	14289	0.029482	14289	0.084208
0	14722	0.022129	14722	0.116051
0	15155	0.026560	15155	0.086210
0	15588	0.025911	15588	0.106262
0	16021	0.028725	16021	0.086479
0	16454	0.021441	16454	0.094265
0	16887	0.026037	16887	0.086335
0	17320	0.023872	17320	0.093059
0	17753	0.025453	17753	0.096672
0	18186	0.021293	18186	0.077971
0	18619	0.024565	18619	0.089401
0	19052	0.025829	19052	0.092733
0	19485	0.031034	19485	0.086659
0	19918	0.021550	19918	0.109677
0	20351	0.024461	20351	0.094722
0	20784	0.020321	20784	0.132495
0	21217	0.019852	21217	0.093573
0	21650	0.021437	21650	0.085895
1	320	0.570949	320	3.640603
1	640	0.214930	640	1.395620
1	960	0.120420	960	0.923076
1	1280	0.086123	1280	0.539192
1	1600	0.082196	1600	0.365368
1	1920	0.074295	1920	0.536053
1	2240	0.065138	2240	0.540683
1	2560	0.063192	2560	0.349807
1	2880	0.053735	2880	0.362373
1	3200	0.045159	3200	0.257339
1	3520	0.044134	3520	0.296709
1	3840	0.039616	3840	0.288001
1	4160	0.040003	4160	0.222090
1	4480	0.045428	4480	0.340731
1	4800	0.037426	4800	0.204179
1	5120	0.035376	5120	0.183780
1	5440	0.039180	5440	0.804469
1	5760	0.035489	5760	0.183676
1	6080	0.027880	6080	0.191896
1	6400	0.033352	6400	0.251208
1	6720	0.028856	6720	0.147980
1	7040	0.032719	7040	0.220368
1	7360	0.034253	7360	0.164549
1	7680	0.029109	7680	0.126374
1	8000	0.030527	8000	0.313373
1	8320	0.028958	8320	0.155808
1	8640	0.029676	8640	0.136952
1	8960	0.026174	8960	0.197817
1	9280	0.026261	9280	0.133765
1	9600	0.026598	9600	0.135800
1	9920	0.022877	9920	0.192792
1	10240	0.026086	10240	0.136567
1	10560	0.030134	10560	0.176825
1	10880	0.026015	10880	0.180280
1	11200	0.023751	11200	0.137547
1	11520	0.021642	11520	0.123228
1	11840	0.028411	11840	0.087612
1	12160	0.025463	12160	0.170266
1	12480	0.036678	12480	0.164639
1	12800	0.022729	12800	0.141780
1	13120	0.019730	13120	0.101838
1	13440	0.023262	13440	0.119057
1	13760	0.028123	13760	0.137894
1	14080	0.023372	14080	0.124979
1	14400	0.021217	14400	0.134742
1	14720	0.022046	14720	0.110454
1	15040	0.021512	15040	0.091968
1	15360	0.030576	15360	0.120993
1	15680	0.021272	15680	0.170675
1	16000	0.021400	16000	0.142813
2	521	0.473634	521	2.232049
2	1042	0.210720	1042	1.224527
2	1563	0.132785	1563	0.736328
2	2084	0.097170	2084	0.613621
2	2605	0.082746	2605	0.730987
2	3126	0.081540	3126	0.635588
2	3647	0.068319	3647	0.510866
2	4168	0.064141	4168	0.263588
2	4689	0.058126	4689	0.337279
2	5210	0.056269	5210	0.350123
2	5731	0.053347	5731	0.519186
2	6252	0.046905	6252	0.336647
2	6773	0.045030	6773	0.347968
2	7294	0.044693	7294	0.163186
2	7815	0.044240	7815	0.201560
2	8336	0.039431	8336	0.107340
2	8857	0.043587	8857	0.357757
2	9378	0.031752	9378	0.232846
2	9899	0.034924	9899	0.291505
2	10420	0.032420	10420	0.211238
2	10941	0.028996	10941	0.220048
2	11462	0.032079	11462	0.195952
2	11983	0.028404	11983	0.186286
2	12504	0.029380	12504	0.176712
2	13025	0.032585	13025	0.214775
2	13546	0.029527	13546	0.218852
2	14067	0.026332	14067	0.132719
2	14588	0.035715	14588	0.229198
