GlobalRnd   ClientID  LocEpoch    Accuracy    LR          Loss        GradNorm    
1           0         1           84.9400     0.010000    1.683464    0.000000    
1           1         1           86.2600     0.010000    1.507824    0.000000    
1           2         1           84.3100     0.010000    1.514062    0.000000    
1           3         1           87.5900     0.010000    1.483191    0.000000    
1           4         1           86.9700     0.010000    1.502122    0.000000    
2           0         1           92.8900     0.010000    0.662667    0.000000    
2           1         1           93.1800     0.010000    0.351218    0.000000    
2           2         1           92.6800     0.010000    0.356921    0.000000    
2           3         1           91.7700     0.010000    0.348995    0.000000    
2           4         1           92.3300     0.010000    0.352578    0.000000    
3           0         1           94.1400     0.010000    0.547712    0.000000    
3           1         1           94.4300     0.010000    0.234064    0.000000    
3           2         1           94.5400     0.010000    0.236092    0.000000    
3           3         1           94.6400     0.010000    0.237798    0.000000    
3           4         1           94.4900     0.010000    0.233667    0.000000    
4           0         1           94.6300     0.010000    0.496604    0.000000    
4           1         1           95.3100     0.010000    0.182284    0.000000    
4           2         1           95.4400     0.010000    0.182865    0.000000    
4           3         1           93.0200     0.010000    0.186005    0.000000    
4           4         1           95.8800     0.010000    0.182433    0.000000    
5           0         1           96.1300     0.010000    0.465169    0.000000    
5           1         1           95.9000     0.010000    0.151025    0.000000    
5           2         1           96.2900     0.010000    0.152169    0.000000    
5           3         1           96.3500     0.010000    0.158516    0.000000    
5           4         1           96.4100     0.010000    0.150401    0.000000    
6           0         1           96.2500     0.010000    0.444143    0.000000    
6           1         1           95.9900     0.010000    0.134266    0.000000    
6           2         1           96.1800     0.010000    0.133671    0.000000    
6           3         1           96.3300     0.010000    0.135893    0.000000    
6           4         1           96.3400     0.010000    0.129643    0.000000    
7           0         1           96.4300     0.010000    0.431982    0.000000    
7           1         1           97.0900     0.010000    0.119978    0.000000    
7           2         1           96.4300     0.010000    0.119562    0.000000    
7           3         1           97.2900     0.010000    0.123323    0.000000    
7           4         1           96.2600     0.010000    0.115907    0.000000    
8           0         1           96.6200     0.010000    0.419949    0.000000    
8           1         1           96.5100     0.010000    0.110800    0.000000    
8           2         1           97.1200     0.010000    0.110106    0.000000    
8           3         1           97.2700     0.010000    0.111319    0.000000    
8           4         1           96.9500     0.010000    0.107699    0.000000    
9           0         1           96.6800     0.010000    0.408869    0.000000    
9           1         1           97.2500     0.010000    0.100934    0.000000    
9           2         1           97.4800     0.010000    0.101627    0.000000    
9           3         1           97.0100     0.010000    0.101914    0.000000    
9           4         1           97.3100     0.010000    0.097920    0.000000    
10          0         1           97.1000     0.010000    0.402650    0.000000    
10          1         1           97.4100     0.010000    0.096355    0.000000    
10          2         1           97.6800     0.010000    0.093683    0.000000    
10          3         1           97.4000     0.010000    0.095832    0.000000    
10          4         1           97.6500     0.010000    0.092654    0.000000    
11          0         1           97.0800     0.010000    0.396169    0.000000    
11          1         1           97.7300     0.010000    0.089264    0.000000    
11          2         1           97.6300     0.010000    0.089787    0.000000    
11          3         1           97.5700     0.010000    0.090346    0.000000    
11          4         1           97.7900     0.010000    0.084763    0.000000    
12          0         1           96.9900     0.010000    0.389732    0.000000    
12          1         1           97.8000     0.010000    0.083954    0.000000    
12          2         1           97.7100     0.010000    0.081505    0.000000    
12          3         1           97.5000     0.010000    0.085697    0.000000    
12          4         1           97.2300     0.010000    0.079832    0.000000    
13          0         1           97.4900     0.010000    0.386114    0.000000    
13          1         1           98.0100     0.010000    0.079178    0.000000    
13          2         1           97.7000     0.010000    0.079067    0.000000    
13          3         1           97.9600     0.010000    0.080775    0.000000    
13          4         1           97.8000     0.010000    0.076067    0.000000    
14          0         1           97.1400     0.010000    0.381355    0.000000    
14          1         1           97.4900     0.010000    0.075397    0.000000    
14          2         1           97.8700     0.010000    0.075376    0.000000    
14          3         1           97.5100     0.010000    0.077115    0.000000    
14          4         1           97.9700     0.010000    0.072179    0.000000    
15          0         1           97.5900     0.010000    0.377797    0.000000    
15          1         1           98.1100     0.010000    0.071416    0.000000    
15          2         1           98.1300     0.010000    0.073163    0.000000    
15          3         1           97.9900     0.010000    0.074117    0.000000    
15          4         1           98.0000     0.010000    0.069601    0.000000    
16          0         1           97.6600     0.010000    0.373968    0.000000    
16          1         1           97.9600     0.010000    0.068280    0.000000    
16          2         1           97.8300     0.010000    0.068801    0.000000    
16          3         1           97.7800     0.010000    0.068827    0.000000    
16          4         1           97.7500     0.010000    0.065639    0.000000    
17          0         1           97.8000     0.010000    0.369376    0.000000    
17          1         1           98.0800     0.010000    0.064133    0.000000    
17          2         1           98.1400     0.010000    0.065531    0.000000    
17          3         1           98.1200     0.010000    0.066629    0.000000    
17          4         1           98.0000     0.010000    0.060824    0.000000    
18          0         1           97.9700     0.010000    0.365461    0.000000    
18          1         1           98.1500     0.010000    0.062147    0.000000    
18          2         1           98.2400     0.010000    0.064358    0.000000    
18          3         1           98.1200     0.010000    0.063530    0.000000    
18          4         1           98.2600     0.010000    0.059036    0.000000    
19          0         1           98.1300     0.010000    0.362675    0.000000    
19          1         1           98.0200     0.010000    0.059354    0.000000    
19          2         1           98.0900     0.010000    0.063251    0.000000    
19          3         1           98.2600     0.010000    0.061407    0.000000    
19          4         1           97.5300     0.010000    0.057958    0.000000    
20          0         1           98.0300     0.010000    0.358034    0.000000    
20          1         1           98.0800     0.010000    0.056667    0.000000    
20          2         1           98.4300     0.010000    0.059723    0.000000    
20          3         1           98.0000     0.010000    0.059704    0.000000    
20          4         1           98.0100     0.010000    0.055643    0.000000    
21          0         1           98.1300     0.010000    0.356919    0.000000    
21          1         1           98.1700     0.010000    0.056702    0.000000    
21          2         1           98.2400     0.010000    0.057111    0.000000    
21          3         1           98.2700     0.010000    0.056985    0.000000    
21          4         1           98.2900     0.010000    0.053287    0.000000    
22          0         1           97.9500     0.010000    0.354680    0.000000    
22          1         1           98.3900     0.010000    0.055800    0.000000    
22          2         1           98.3300     0.010000    0.056435    0.000000    
22          3         1           98.1000     0.010000    0.056520    0.000000    
22          4         1           98.2800     0.010000    0.050958    0.000000    
23          0         1           98.3200     0.010000    0.351660    0.000000    
23          1         1           98.4600     0.010000    0.053195    0.000000    
23          2         1           98.3600     0.010000    0.054119    0.000000    
23          3         1           98.3900     0.010000    0.055190    0.000000    
23          4         1           98.4300     0.010000    0.049429    0.000000    
24          0         1           97.0200     0.010000    0.348319    0.000000    
24          1         1           98.3200     0.010000    0.050823    0.000000    
24          2         1           98.3100     0.010000    0.050577    0.000000    
24          3         1           98.5100     0.010000    0.053661    0.000000    
24          4         1           98.3300     0.010000    0.047875    0.000000    
25          0         1           97.9700     0.010000    0.347565    0.000000    
25          1         1           98.3900     0.010000    0.049201    0.000000    
25          2         1           98.3700     0.010000    0.051377    0.000000    
25          3         1           98.3900     0.010000    0.051054    0.000000    
25          4         1           98.3100     0.010000    0.047478    0.000000    
26          0         1           98.2200     0.010000    0.344366    0.000000    
26          1         1           98.0600     0.010000    0.047525    0.000000    
26          2         1           98.4600     0.010000    0.048519    0.000000    
26          3         1           98.3900     0.010000    0.049668    0.000000    
26          4         1           98.4600     0.010000    0.045727    0.000000    
27          0         1           97.8500     0.010000    0.341683    0.000000    
27          1         1           98.4800     0.010000    0.047413    0.000000    
27          2         1           98.3700     0.010000    0.046674    0.000000    
27          3         1           98.5700     0.010000    0.047741    0.000000    
27          4         1           98.6000     0.010000    0.045051    0.000000    
28          0         1           98.2700     0.010000    0.342388    0.000000    
28          1         1           98.1200     0.010000    0.045350    0.000000    
28          2         1           98.4300     0.010000    0.046232    0.000000    
28          3         1           98.4500     0.010000    0.046812    0.000000    
28          4         1           98.4700     0.010000    0.042861    0.000000    
29          0         1           97.9500     0.010000    0.339710    0.000000    
29          1         1           98.5400     0.010000    0.045098    0.000000    
29          2         1           98.4900     0.010000    0.045683    0.000000    
29          3         1           98.4000     0.010000    0.045182    0.000000    
29          4         1           98.5600     0.010000    0.039569    0.000000    
30          0         1           98.2300     0.010000    0.336379    0.000000    
30          1         1           98.6900     0.010000    0.043797    0.000000    
30          2         1           98.6100     0.010000    0.043620    0.000000    
30          3         1           98.4200     0.010000    0.045396    0.000000    
30          4         1           98.3700     0.010000    0.041577    0.000000    
31          0         1           98.3700     0.010000    0.338069    0.000000    
31          1         1           98.6800     0.010000    0.042385    0.000000    
31          2         1           98.5100     0.010000    0.043258    0.000000    
31          3         1           98.6500     0.010000    0.042179    0.000000    
31          4         1           98.5500     0.010000    0.039011    0.000000    
32          0         1           98.1000     0.010000    0.334656    0.000000    
32          1         1           98.5500     0.010000    0.041949    0.000000    
32          2         1           98.5600     0.010000    0.041947    0.000000    
32          3         1           98.4600     0.010000    0.041977    0.000000    
32          4         1           98.5600     0.010000    0.039750    0.000000    
33          0         1           98.3100     0.010000    0.334461    0.000000    
33          1         1           98.5900     0.010000    0.039833    0.000000    
33          2         1           98.6200     0.010000    0.041113    0.000000    
33          3         1           98.6700     0.010000    0.041565    0.000000    
33          4         1           98.3600     0.010000    0.037750    0.000000    
34          0         1           98.5300     0.010000    0.333445    0.000000    
34          1         1           98.3500     0.010000    0.038832    0.000000    
34          2         1           98.6800     0.010000    0.041153    0.000000    
34          3         1           98.4900     0.010000    0.038916    0.000000    
34          4         1           98.6500     0.010000    0.036220    0.000000    
35          0         1           98.2700     0.010000    0.331053    0.000000    
35          1         1           98.6200     0.010000    0.039046    0.000000    
35          2         1           98.7700     0.010000    0.040586    0.000000    
35          3         1           98.4900     0.010000    0.039521    0.000000    
35          4         1           98.6300     0.010000    0.036293    0.000000    
36          0         1           98.4300     0.010000    0.328793    0.000000    
36          1         1           98.6600     0.010000    0.038552    0.000000    
36          2         1           98.5700     0.010000    0.038823    0.000000    
36          3         1           98.6200     0.010000    0.038072    0.000000    
36          4         1           98.5300     0.010000    0.035310    0.000000    
37          0         1           98.5600     0.010000    0.328488    0.000000    
37          1         1           98.6400     0.010000    0.037367    0.000000    
37          2         1           98.6300     0.010000    0.037938    0.000000    
37          3         1           98.6700     0.010000    0.038999    0.000000    
37          4         1           98.3400     0.010000    0.035292    0.000000    
38          0         1           98.3300     0.010000    0.328454    0.000000    
38          1         1           98.6800     0.010000    0.035538    0.000000    
38          2         1           98.5000     0.010000    0.038037    0.000000    
38          3         1           98.6000     0.010000    0.036606    0.000000    
38          4         1           98.5600     0.010000    0.034948    0.000000    
39          0         1           98.6100     0.010000    0.327896    0.000000    
39          1         1           98.7900     0.010000    0.035643    0.000000    
39          2         1           98.6700     0.010000    0.037148    0.000000    
39          3         1           98.5400     0.010000    0.037343    0.000000    
39          4         1           98.4800     0.010000    0.032937    0.000000    
40          0         1           98.5700     0.010000    0.324165    0.000000    
40          1         1           98.4000     0.010000    0.035897    0.000000    
40          2         1           98.6700     0.010000    0.035766    0.000000    
40          3         1           98.7200     0.010000    0.035976    0.000000    
40          4         1           98.7200     0.010000    0.031797    0.000000    
41          0         1           98.5800     0.010000    0.325687    0.000000    
41          1         1           98.4300     0.010000    0.035541    0.000000    
41          2         1           98.6300     0.010000    0.034270    0.000000    
41          3         1           98.6800     0.010000    0.035922    0.000000    
41          4         1           98.6200     0.010000    0.031572    0.000000    
42          0         1           98.2400     0.010000    0.323947    0.000000    
42          1         1           98.5900     0.010000    0.032649    0.000000    
42          2         1           98.7200     0.010000    0.034946    0.000000    
42          3         1           98.5800     0.010000    0.034893    0.000000    
42          4         1           98.5500     0.010000    0.031502    0.000000    
43          0         1           98.2700     0.010000    0.321073    0.000000    
43          1         1           98.7300     0.010000    0.033718    0.000000    
43          2         1           98.7400     0.010000    0.033967    0.000000    
