GlobalRound	GlobalAccuracy
1	87.8000
2	93.0000
3	94.8900
4	95.7700
5	96.4000
6	96.7700
7	97.0500
8	97.2900
9	97.4200
10	97.6400
11	97.6900
12	97.9400
13	98.0100
14	98.1500
15	98.0900
16	98.1700
17	98.2400
18	98.3000
19	98.3800
20	98.2400
21	98.5200
22	98.2900
23	98.4900
24	98.5300
25	98.5900
26	98.5700
27	98.6000
28	98.5000
29	98.7300
30	98.6700
31	98.7000
32	98.6300
33	98.6900
34	98.6600
35	98.7500
36	98.6700
37	98.7600
38	98.7700
39	98.7300
40	98.7800
41	98.7900
42	98.8200
43	98.8100
44	98.8000
45	98.8100
46	98.8300
47	98.8500
48	98.8800
49	98.8200
50	98.7900
