GlobalRnd   ClientID  LocEpoch    Accuracy    LR          Loss        GradNorm    
1           0         1           55.9500     0.010000    0.838941    0.000000    
1           1         1           50.0200     0.010000    0.825422    0.000000    
1           2         1           59.0900     0.010000    0.739604    0.000000    
1           3         1           54.2200     0.010000    0.820051    0.000000    
1           4         1           43.4500     0.010000    0.895537    0.000000    
2           0         1           63.3600     0.010000    0.291759    0.000000    
2           1         1           59.3100     0.010000    0.276448    0.000000    
2           2         1           65.7800     0.010000    0.284852    0.000000    
2           3         1           65.6000     0.010000    0.223002    0.000000    
2           4         1           65.0000     0.010000    0.265335    0.000000    
3           0         1           84.0700     0.010000    0.185069    0.000000    
3           1         1           65.8000     0.010000    0.178966    0.000000    
3           2         1           74.0200     0.010000    0.193448    0.000000    
3           3         1           68.8100     0.010000    0.133908    0.000000    
3           4         1           78.1000     0.010000    0.153914    0.000000    
4           0         1           89.3500     0.010000    0.148972    0.000000    
4           1         1           72.2700     0.010000    0.135471    0.000000    
4           2         1           82.7700     0.010000    0.152159    0.000000    
4           3         1           72.5600     0.010000    0.102818    0.000000    
4           4         1           79.0800     0.010000    0.122002    0.000000    
5           0         1           84.4300     0.010000    0.125224    0.000000    
5           1         1           79.0100     0.010000    0.114796    0.000000    
5           2         1           85.7300     0.010000    0.129669    0.000000    
5           3         1           75.1000     0.010000    0.086955    0.000000    
5           4         1           77.3500     0.010000    0.101286    0.000000    
6           0         1           92.5100     0.010000    0.111698    0.000000    
6           1         1           75.3800     0.010000    0.101641    0.000000    
6           2         1           82.0200     0.010000    0.112889    0.000000    
6           3         1           77.6900     0.010000    0.075701    0.000000    
6           4         1           82.5000     0.010000    0.086385    0.000000    
7           0         1           92.4100     0.010000    0.101159    0.000000    
7           1         1           78.3700     0.010000    0.093268    0.000000    
7           2         1           85.0700     0.010000    0.102068    0.000000    
7           3         1           78.4900     0.010000    0.066979    0.000000    
7           4         1           82.6400     0.010000    0.079406    0.000000    
8           0         1           91.7200     0.010000    0.090431    0.000000    
8           1         1           80.9100     0.010000    0.084245    0.000000    
8           2         1           85.8200     0.010000    0.093314    0.000000    
8           3         1           79.7700     0.010000    0.061806    0.000000    
8           4         1           86.1100     0.010000    0.071422    0.000000    
9           0         1           92.4900     0.010000    0.084345    0.000000    
9           1         1           83.2800     0.010000    0.076771    0.000000    
9           2         1           89.8400     0.010000    0.086460    0.000000    
9           3         1           82.5000     0.010000    0.052737    0.000000    
9           4         1           85.6700     0.010000    0.066106    0.000000    
10          0         1           91.0100     0.010000    0.077577    0.000000    
10          1         1           84.7300     0.010000    0.073228    0.000000    
10          2         1           90.0200     0.010000    0.082914    0.000000    
10          3         1           83.8500     0.010000    0.049685    0.000000    
10          4         1           87.5800     0.010000    0.062481    0.000000    
11          0         1           93.5800     0.010000    0.075817    0.000000    
11          1         1           86.5700     0.010000    0.066705    0.000000    
11          2         1           88.8100     0.010000    0.076088    0.000000    
11          3         1           85.9900     0.010000    0.046358    0.000000    
11          4         1           90.5200     0.010000    0.058485    0.000000    
12          0         1           87.9700     0.010000    0.071254    0.000000    
12          1         1           85.4600     0.010000    0.063882    0.000000    
12          2         1           90.4600     0.010000    0.072752    0.000000    
12          3         1           86.7900     0.010000    0.043281    0.000000    
12          4         1           87.6000     0.010000    0.054689    0.000000    
13          0         1           93.3400     0.010000    0.066867    0.000000    
13          1         1           87.4800     0.010000    0.061756    0.000000    
13          2         1           89.3000     0.010000    0.068603    0.000000    
13          3         1           86.0500     0.010000    0.041731    0.000000    
13          4         1           91.1700     0.010000    0.052873    0.000000    
14          0         1           94.3900     0.010000    0.065522    0.000000    
14          1         1           86.0500     0.010000    0.057330    0.000000    
14          2         1           90.6600     0.010000    0.067261    0.000000    
14          3         1           85.5100     0.010000    0.038717    0.000000    
14          4         1           91.8100     0.010000    0.049592    0.000000    
15          0         1           93.4500     0.010000    0.061675    0.000000    
15          1         1           88.7100     0.010000    0.056972    0.000000    
15          2         1           92.3100     0.010000    0.062129    0.000000    
15          3         1           85.6800     0.010000    0.037214    0.000000    
15          4         1           89.8000     0.010000    0.046517    0.000000    
16          0         1           94.2100     0.010000    0.058979    0.000000    
16          1         1           88.7700     0.010000    0.053316    0.000000    
16          2         1           91.2000     0.010000    0.061478    0.000000    
16          3         1           90.5600     0.010000    0.034414    0.000000    
16          4         1           91.0900     0.010000    0.043686    0.000000    
17          0         1           93.1700     0.010000    0.057943    0.000000    
17          1         1           84.1700     0.010000    0.051990    0.000000    
17          2         1           89.5300     0.010000    0.056696    0.000000    
17          3         1           88.3900     0.010000    0.032343    0.000000    
17          4         1           91.7400     0.010000    0.043055    0.000000    
18          0         1           92.2200     0.010000    0.053606    0.000000    
18          1         1           89.6100     0.010000    0.048733    0.000000    
18          2         1           88.1400     0.010000    0.056568    0.000000    
18          3         1           89.3300     0.010000    0.032215    0.000000    
18          4         1           91.9600     0.010000    0.040707    0.000000    
19          0         1           95.5500     0.010000    0.052488    0.000000    
19          1         1           87.7300     0.010000    0.047305    0.000000    
19          2         1           89.1500     0.010000    0.053359    0.000000    
19          3         1           90.7200     0.010000    0.031936    0.000000    
19          4         1           91.3700     0.010000    0.040929    0.000000    
20          0         1           94.9300     0.010000    0.051183    0.000000    
20          1         1           88.2700     0.010000    0.047275    0.000000    
20          2         1           91.6900     0.010000    0.051697    0.000000    
20          3         1           88.2500     0.010000    0.031576    0.000000    
20          4         1           92.7800     0.010000    0.038390    0.000000    
21          0         1           94.8000     0.010000    0.049145    0.000000    
21          1         1           88.1200     0.010000    0.044812    0.000000    
21          2         1           86.5700     0.010000    0.051147    0.000000    
21          3         1           90.3500     0.010000    0.029316    0.000000    
21          4         1           90.7700     0.010000    0.037860    0.000000    
22          0         1           93.1400     0.010000    0.048589    0.000000    
22          1         1           87.2100     0.010000    0.044203    0.000000    
22          2         1           93.0700     0.010000    0.048591    0.000000    
22          3         1           90.5400     0.010000    0.027728    0.000000    
22          4         1           91.8300     0.010000    0.035437    0.000000    
23          0         1           95.5600     0.010000    0.046909    0.000000    
23          1         1           88.9400     0.010000    0.041724    0.000000    
23          2         1           88.8200     0.010000    0.046381    0.000000    
23          3         1           91.3500     0.010000    0.028782    0.000000    
23          4         1           93.3000     0.010000    0.035181    0.000000    
24          0         1           93.3800     0.010000    0.045515    0.000000    
24          1         1           90.4800     0.010000    0.041266    0.000000    
24          2         1           90.7200     0.010000    0.044935    0.000000    
24          3         1           87.9900     0.010000    0.026245    0.000000    
24          4         1           93.4800     0.010000    0.035494    0.000000    
25          0         1           88.8200     0.010000    0.044306    0.000000    
25          1         1           92.1900     0.010000    0.041019    0.000000    
25          2         1           92.2800     0.010000    0.044039    0.000000    
25          3         1           91.7700     0.010000    0.026493    0.000000    
25          4         1           93.5700     0.010000    0.034653    0.000000    
26          0         1           93.5300     0.010000    0.042527    0.000000    
26          1         1           93.0700     0.010000    0.040608    0.000000    
26          2         1           91.4300     0.010000    0.044399    0.000000    
26          3         1           90.7800     0.010000    0.024983    0.000000    
26          4         1           92.8500     0.010000    0.032486    0.000000    
27          0         1           94.0500     0.010000    0.040911    0.000000    
27          1         1           93.5000     0.010000    0.037902    0.000000    
27          2         1           90.9200     0.010000    0.040711    0.000000    
27          3         1           91.3100     0.010000    0.023194    0.000000    
27          4         1           92.8600     0.010000    0.030300    0.000000    
28          0         1           95.9900     0.010000    0.041339    0.000000    
28          1         1           92.9300     0.010000    0.037310    0.000000    
28          2         1           91.9300     0.010000    0.039536    0.000000    
28          3         1           93.0700     0.010000    0.024394    0.000000    
28          4         1           94.6100     0.010000    0.031152    0.000000    
29          0         1           94.5900     0.010000    0.039904    0.000000    
29          1         1           90.8600     0.010000    0.037100    0.000000    
29          2         1           93.0600     0.010000    0.039301    0.000000    
29          3         1           93.1600     0.010000    0.022966    0.000000    
29          4         1           91.4800     0.010000    0.028938    0.000000    
30          0         1           95.6700     0.010000    0.038956    0.000000    
30          1         1           93.4600     0.010000    0.034058    0.000000    
30          2         1           91.0500     0.010000    0.038570    0.000000    
30          3         1           92.7900     0.010000    0.022867    0.000000    
30          4         1           92.0400     0.010000    0.029975    0.000000    
31          0         1           95.8500     0.010000    0.038153    0.000000    
31          1         1           91.3000     0.010000    0.034307    0.000000    
31          2         1           91.7200     0.010000    0.038258    0.000000    
31          3         1           91.2300     0.010000    0.022826    0.000000    
31          4         1           93.8000     0.010000    0.027662    0.000000    
32          0         1           95.3600     0.010000    0.038544    0.000000    
32          1         1           93.0600     0.010000    0.032995    0.000000    
32          2         1           92.1500     0.010000    0.035027    0.000000    
32          3         1           94.9600     0.010000    0.020784    0.000000    
32          4         1           93.5700     0.010000    0.026738    0.000000    
33          0         1           97.2200     0.010000    0.036035    0.000000    
33          1         1           94.2900     0.010000    0.032168    0.000000    
33          2         1           92.6900     0.010000    0.035778    0.000000    
33          3         1           93.0100     0.010000    0.021207    0.000000    
33          4         1           92.8900     0.010000    0.026320    0.000000    
34          0         1           96.1200     0.010000    0.036409    0.000000    
34          1         1           93.8400     0.010000    0.032343    0.000000    
34          2         1           92.8400     0.010000    0.035368    0.000000    
34          3         1           94.9900     0.010000    0.021514    0.000000    
34          4         1           93.2300     0.010000    0.027120    0.000000    
35          0         1           94.4700     0.010000    0.034706    0.000000    
35          1         1           93.9800     0.010000    0.030480    0.000000    
35          2         1           92.8900     0.010000    0.033633    0.000000    
35          3         1           92.3000     0.010000    0.019528    0.000000    
35          4         1           92.5900     0.010000    0.024395    0.000000    
36          0         1           88.0600     0.010000    0.035102    0.000000    
36          1         1           94.2700     0.010000    0.031067    0.000000    
36          2         1           94.3200     0.010000    0.032917    0.000000    
36          3         1           93.4500     0.010000    0.019838    0.000000    
36          4         1           93.1500     0.010000    0.025615    0.000000    
37          0         1           90.5500     0.010000    0.033067    0.000000    
37          1         1           92.2400     0.010000    0.031018    0.000000    
37          2         1           89.3400     0.010000    0.032988    0.000000    
37          3         1           74.3200     0.010000    0.019079    0.000000    
37          4         1           94.2300     0.010000    0.025492    0.000000    
38          0         1           96.0700     0.010000    0.032518    0.000000    
38          1         1           95.4600     0.010000    0.030411    0.000000    
38          2         1           91.6700     0.010000    0.031434    0.000000    
38          3         1           92.5800     0.010000    0.019455    0.000000    
38          4         1           93.9200     0.010000    0.023305    0.000000    
39          0         1           96.9200     0.010000    0.032352    0.000000    
39          1         1           94.4100     0.010000    0.029282    0.000000    
39          2         1           93.9600     0.010000    0.031143    0.000000    
39          3         1           82.7100     0.010000    0.018913    0.000000    
39          4         1           93.6000     0.010000    0.024053    0.000000    
40          0         1           96.4900     0.010000    0.030839    0.000000    
40          1         1           93.4200     0.010000    0.028964    0.000000    
40          2         1           94.0800     0.010000    0.029918    0.000000    
40          3         1           93.7900     0.010000    0.018909    0.000000    
40          4         1           95.0600     0.010000    0.024074    0.000000    
41          0         1           96.2000     0.010000    0.030401    0.000000    
41          1         1           93.4300     0.010000    0.027115    0.000000    
41          2         1           94.5200     0.010000    0.030028    0.000000    
41          3         1           94.4400     0.010000    0.018072    0.000000    
41          4         1           90.3300     0.010000    0.022827    0.000000    
42          0         1           96.4900     0.010000    0.029182    0.000000    
42          1         1           91.7000     0.010000    0.026231    0.000000    
42          2         1           92.7400     0.010000    0.028874    0.000000    
42          3         1           94.8500     0.010000    0.018265    0.000000    
42          4         1           94.7300     0.010000    0.023073    0.000000    
43          0         1           96.7700     0.010000    0.030318    0.000000    
43          1         1           91.5000     0.010000    0.027306    0.000000    
43          2         1           89.1100     0.010000    0.029098    0.000000    
43          3         1           91.3200     0.010000    0.018488    0.000000    
43          4         1           92.3600     0.010000    0.022695    0.000000    
44          0         1           95.9700     0.010000    0.029451    0.000000    
44          1         1           95.3400     0.010000    0.026005    0.000000    
44          2         1           93.6600     0.010000    0.028698    0.000000    
44          3         1           92.5100     0.010000    0.017739    0.000000    
44          4         1           94.3300     0.010000    0.021373    0.000000    
45          0         1           95.3200     0.010000    0.028401    0.000000    
45          1         1           95.1600     0.010000    0.025790    0.000000    
45          2         1           93.8100     0.010000    0.026745    0.000000    
45          3         1           95.7900     0.010000    0.017233    0.000000    
45          4         1           94.0400     0.010000    0.021227    0.000000    
46          0         1           92.7500     0.010000    0.027989    0.000000    
46          1         1           94.4400     0.010000    0.024953    0.000000    
46          2         1           92.0700     0.010000    0.024779    0.000000    
46          3         1           95.0400     0.010000    0.017324    0.000000    
46          4         1           94.2300     0.010000    0.020088    0.000000    
47          0         1           96.3500     0.010000    0.027961    0.000000    
47          1         1           96.0100     0.010000    0.024969    0.000000    
