GlobalRnd   ClientID  LocEpoch    Accuracy    LR          Loss        GradNorm    
1           0         1           9.8000      6.924533    0.123756    0.173753    
1           1         1           92.8900     0.129949    0.496661    2.797456    
1           2         1           94.6600     0.120830    0.467139    2.719043    
1           3         1           92.8800     0.095580    0.566858    3.241930    
1           4         1           92.1800     0.061121    0.622119    3.973509    
2           0         1           39.8600     1.348333    0.059431    0.946284    
2           1         1           95.7400     0.122187    0.219680    2.256739    
2           2         1           96.3500     0.121710    0.206420    2.189091    
2           3         1           96.2700     0.107129    0.211305    2.371411    
2           4         1           94.6900     0.114669    0.205646    2.202922    
3           0         1           91.7500     2.066605    0.001849    0.061508    
3           1         1           96.9700     0.143238    0.137893    1.724831    
3           2         1           96.2800     0.142817    0.130200    1.682965    
3           3         1           94.8400     0.144800    0.135608    1.681370    
3           4         1           97.1900     0.137097    0.127997    1.683925    
4           0         1           94.8100     5.640690    0.002836    0.084493    
4           1         1           97.6200     0.149433    0.115736    1.566139    
4           2         1           97.3400     0.153857    0.107568    1.508052    
4           3         1           97.2400     0.149972    0.112765    1.554142    
4           4         1           97.3400     0.157525    0.114666    1.484446    
5           0         1           96.9800     4.042210    0.002441    0.074271    
5           1         1           97.5800     0.166876    0.099847    1.387665    
5           2         1           96.6200     0.156806    0.091376    1.375627    
5           3         1           97.9100     0.166805    0.090846    1.311982    
5           4         1           97.4300     0.169058    0.099358    1.393175    
6           0         1           94.9800     9.125000    0.000051    0.001812    
6           1         1           97.9200     0.154451    0.083458    1.299037    
6           2         1           97.7300     0.148000    0.078744    1.311320    
6           3         1           98.2200     0.157841    0.078232    1.274346    
6           4         1           97.4100     0.170828    0.085656    1.265076    
7           0         1           95.7200     6.761505    0.000545    0.022455    
7           1         1           98.1100     0.175791    0.077486    1.213549    
7           2         1           97.7300     0.175221    0.070794    1.166209    
7           3         1           98.2300     0.159199    0.071055    1.178211    
7           4         1           95.5000     0.160723    0.074630    1.241586    
8           0         1           97.2800     7.324102    0.000530    0.022418    
8           1         1           98.1800     0.179216    0.075904    1.149908    
8           2         1           98.1200     0.164303    0.067042    1.157594    
8           3         1           96.7900     0.169228    0.067612    1.130466    
8           4         1           96.7300     0.155631    0.067414    1.172175    
9           0         1           96.8200     7.968880    0.000281    0.013475    
9           1         1           98.0700     0.195022    0.061360    1.039841    
9           2         1           97.6600     0.157989    0.059997    1.110257    
9           3         1           98.0100     0.174111    0.060423    1.093462    
9           4         1           98.0500     0.175994    0.070321    1.140859    
10          0         1           97.3400     8.202796    0.000086    0.004332    
10          1         1           97.1000     0.174003    0.057153    1.073118    
10          2         1           98.1700     0.159462    0.054450    1.068067    
10          3         1           98.3100     0.181238    0.056511    1.019774    
10          4         1           98.1900     0.181853    0.065558    1.093624    
11          0         1           97.8700     9.426398    0.000066    0.003535    
11          1         1           98.5200     0.187076    0.065878    1.079263    
11          2         1           98.4000     0.164404    0.055876    1.088920    
11          3         1           98.1500     0.150527    0.050908    1.088222    
11          4         1           98.6300     0.192067    0.058367    1.007151    
12          0         1           97.9200     9.328947    0.000110    0.005710    
12          1         1           98.3900     0.167067    0.055274    1.023373    
12          2         1           97.7800     0.177141    0.047600    1.012498    
12          3         1           98.1200     0.176294    0.057842    1.069307    
12          4         1           97.7100     0.179568    0.060342    1.023931    
13          0         1           98.1000     9.009200    0.000077    0.003958    
13          1         1           98.6100     0.164366    0.053890    1.029616    
13          2         1           97.8500     0.170882    0.046817    0.969617    
13          3         1           98.4800     0.174687    0.051505    1.006417    
13          4         1           97.0900     0.177620    0.046531    0.917069    
14          0         1           98.1100     8.219383    0.000038    0.001713    
14          1         1           97.9200     0.149468    0.055234    1.099178    
14          2         1           96.9500     0.159702    0.047322    0.990005    
14          3         1           98.1700     0.167258    0.048387    0.987516    
14          4         1           98.7300     0.187287    0.049926    0.960461    
15          0         1           97.9200     7.785208    0.000089    0.004496    
15          1         1           98.6400     0.186710    0.051805    0.994275    
15          2         1           98.5600     0.185758    0.047035    0.968127    
15          3         1           95.5800     0.174238    0.040153    0.927841    
15          4         1           98.1400     0.180200    0.040625    0.895972    
16          0         1           98.2600     8.943411    0.000032    0.001601    
16          1         1           98.2900     0.212945    0.050696    0.988112    
16          2         1           98.4300     0.185265    0.044511    0.971690    
16          3         1           98.6200     0.181721    0.039450    0.896244    
16          4         1           98.6200     0.172594    0.044708    0.945437    
17          0         1           98.3800     9.125000    0.000043    0.002514    
17          1         1           98.7000     0.190985    0.044664    0.985314    
17          2         1           98.7200     0.180408    0.038172    0.891108    
17          3         1           98.5600     0.190553    0.046452    0.977088    
17          4         1           98.8100     0.186602    0.042949    0.960180    
18          0         1           98.3800     8.247102    0.000026    0.001396    
18          1         1           98.4700     0.217433    0.041327    0.867659    
18          2         1           98.7000     0.201584    0.039250    0.891271    
18          3         1           98.5000     0.173957    0.040961    0.939965    
18          4         1           98.8400     0.227089    0.037581    0.886701    
19          0         1           98.6400     8.507745    0.000058    0.003666    
19          1         1           97.1100     0.225119    0.044534    0.937702    
19          2         1           98.4600     0.183637    0.042355    0.966373    
19          3         1           98.7000     0.156920    0.038846    0.904342    
19          4         1           98.7700     0.221581    0.033699    0.858107    
20          0         1           98.5200     7.969234    0.000026    0.001402    
20          1         1           98.5300     0.180634    0.048933    0.972142    
20          2         1           98.6600     0.195554    0.046582    0.970199    
20          3         1           97.0900     0.246092    0.029917    0.793904    
20          4         1           98.4900     0.201085    0.035717    0.897934    
21          0         1           98.6200     9.406661    0.000013    0.000763    
21          1         1           98.7400     0.232500    0.037636    0.864115    
21          2         1           96.8800     0.212518    0.043763    0.991311    
21          3         1           98.5700     0.174344    0.040228    0.919587    
21          4         1           98.6800     0.227687    0.037254    0.895476    
22          0         1           98.6700     8.428536    0.000036    0.002471    
22          1         1           98.0800     0.176180    0.042579    0.960901    
22          2         1           98.5600     0.179866    0.040515    0.913820    
22          3         1           98.8400     0.188790    0.034191    0.893656    
22          4         1           98.7300     0.200953    0.048002    0.984109    
23          0         1           98.6600     8.696676    0.000048    0.003254    
23          1         1           98.8400     0.202634    0.032701    0.780480    
23          2         1           98.9800     0.240254    0.028737    0.786762    
23          3         1           98.7700     0.199420    0.034690    0.860888    
23          4         1           98.8300     0.192000    0.043767    0.936298    
24          0         1           98.8100     9.552632    0.000058    0.003857    
24          1         1           98.7400     0.222121    0.037203    0.853634    
24          2         1           98.7700     0.245120    0.035519    0.892571    
24          3         1           98.5700     0.189517    0.036722    0.923769    
24          4         1           98.7900     0.199808    0.033835    0.858579    
25          0         1           98.7700     8.320796    0.000042    0.003685    
25          1         1           97.7900     0.193266    0.039499    0.943261    
25          2         1           98.7800     0.227946    0.039269    0.958247    
25          3         1           98.8700     0.174122    0.035360    0.870834    
25          4         1           98.8200     0.226893    0.035045    0.843940    
26          0         1           98.7700     9.126316    0.000034    0.002387    
26          1         1           98.8400     0.185912    0.035063    0.848456    
26          2         1           98.7700     0.181947    0.034348    0.876417    
26          3         1           98.7000     0.173596    0.035894    0.915536    
26          4         1           98.8700     0.191739    0.030283    0.797586    
27          0         1           98.8100     8.943411    0.000041    0.003154    
27          1         1           98.6800     0.203049    0.034678    0.848035    
27          2         1           98.5600     0.171677    0.039132    0.954578    
27          3         1           98.8800     0.170081    0.034973    0.905505    
27          4         1           98.8100     0.221241    0.037377    0.886311    
28          0         1           98.7800     9.552632    0.000063    0.004717    
28          1         1           98.7300     0.204387    0.037466    0.932200    
28          2         1           98.8800     0.204118    0.033830    0.838691    
28          3         1           98.8500     0.186953    0.029537    0.820708    
28          4         1           98.9200     0.225903    0.027957    0.761845    
29          0         1           98.8600     8.340204    0.000172    0.015998    
29          1         1           98.8800     0.200511    0.031182    0.830484    
29          2         1           98.8100     0.339675    0.028714    0.742275    
29          3         1           98.9800     0.291144    0.024463    0.730988    
29          4         1           98.8000     0.233338    0.033803    0.824535    
30          0         1           98.9300     8.283025    0.000337    0.030279    
30          1         1           98.4400     0.273655    0.028184    0.785170    
30          2         1           98.9200     0.233322    0.035492    0.876172    
30          3         1           98.8800     0.257580    0.029120    0.832556    
30          4         1           98.7900     0.264768    0.030640    0.825745    
31          0         1           98.8700     9.202714    0.000149    0.014191    
31          1         1           98.9600     0.241216    0.035179    0.861373    
31          2         1           99.0000     0.257848    0.025842    0.730076    
31          3         1           98.8800     0.161168    0.027016    0.824903    
31          4         1           98.7800     0.248206    0.032520    0.920092    
32          0         1           98.9100     6.355878    0.000063    0.006021    
32          1         1           97.6000     0.191997    0.037596    0.929539    
32          2         1           99.1100     0.215892    0.028943    0.845381    
32          3         1           98.9700     0.201070    0.026884    0.820691    
32          4         1           98.7500     0.193924    0.030752    0.835660    
33          0         1           98.9200     8.743082    0.000431    0.036814    
33          1         1           98.9000     0.254126    0.029255    0.817622    
33          2         1           98.9200     0.295168    0.034172    0.890313    
33          3         1           98.8100     0.234227    0.032829    0.891877    
33          4         1           98.9600     0.241383    0.025956    0.743333    
34          0         1           98.9100     8.100392    0.000070    0.007080    
34          1         1           98.7500     0.160054    0.033801    0.912474    
34          2         1           98.8200     0.193192    0.031174    0.882708    
34          3         1           98.4800     0.319523    0.025975    0.779717    
34          4         1           98.8100     0.331586    0.028160    0.772120    
35          0         1           98.9100     8.338530    0.000087    0.009024    
35          1         1           97.7400     0.181913    0.038076    1.025621    
35          2         1           98.9500     0.250578    0.025884    0.767267    
35          3         1           99.0400     0.345826    0.023242    0.738834    
35          4         1           98.8900     0.243754    0.028842    0.811333    
36          0         1           98.9500     8.913240    0.000360    0.035577    
36          1         1           98.7600     0.256108    0.028355    0.858056    
36          2         1           99.0200     0.362727    0.029594    0.760819    
36          3         1           98.9000     0.437888    0.027620    0.846363    
36          4         1           98.9000     0.207610    0.033327    0.901341    
37          0         1           98.9900     8.544480    0.000172    0.018294    
37          1         1           98.4100     0.221394    0.036546    0.926350    
37          2         1           98.9800     0.299610    0.031898    0.857139    
37          3         1           98.8500     0.237177    0.022434    0.781322    
37          4         1           98.9400     0.264638    0.031501    0.854334    
38          0         1           98.9200     9.126316    0.000053    0.005508    
38          1         1           98.3700     0.225030    0.034629    0.979809    
38          2         1           98.8500     0.310110    0.026149    0.769638    
38          3         1           99.0600     0.307129    0.023245    0.724531    
38          4         1           98.9000     0.216439    0.029938    0.859123    
