GlobalRound	GlobalAccuracy
1	93.0400
2	97.0200
3	97.8300
4	98.0300
5	98.3600
6	98.6600
7	98.7100
8	98.7900
9	98.7600
10	98.8500
11	98.9100
12	98.9100
13	98.9200
14	98.9800
15	98.9300
16	99.0300
17	99.0700
18	99.0500
19	99.0300
20	98.9900
21	99.0400
22	99.0700
23	99.0200
24	99.0600
25	98.9700
26	99.0700
27	99.0700
28	99.0800
29	99.1300
30	99.0700
31	99.0700
32	99.0800
33	99.0600
34	99.1100
35	99.0700
36	99.1200
37	99.1000
38	99.0700
39	99.1400
40	99.1600
41	99.1200
42	99.1000
43	99.1400
44	99.1200
45	99.0800
46	99.0600
47	98.9600
48	99.2100
49	99.1600
50	99.1500
