GlobalRnd   ClientID  LocEpoch    Accuracy    LR          Loss        GradNorm    
1           0         1           96.5200     0.010000    0.486095    0.000000    
2           0         1           97.5100     0.010000    0.112700    0.000000    
3           0         1           97.7200     0.010000    0.081823    0.000000    
4           0         1           98.1600     0.010000    0.066059    0.000000    
5           0         1           98.2900     0.010000    0.055615    0.000000    
6           0         1           98.3400     0.010000    0.048599    0.000000    
7           0         1           98.4900     0.010000    0.042982    0.000000    
8           0         1           98.6200     0.010000    0.039249    0.000000    
9           0         1           98.6700     0.010000    0.036043    0.000000    
10          0         1           98.3500     0.010000    0.032551    0.000000    
11          0         1           98.8200     0.010000    0.029761    0.000000    
12          0         1           98.8700     0.010000    0.028356    0.000000    
13          0         1           98.9200     0.010000    0.026140    0.000000    
14          0         1           98.8100     0.010000    0.024657    0.000000    
15          0         1           98.6000     0.010000    0.022683    0.000000    
16          0         1           98.9300     0.010000    0.021738    0.000000    
17          0         1           98.9200     0.010000    0.019982    0.000000    
18          0         1           98.7300     0.010000    0.018852    0.000000    
19          0         1           99.0300     0.010000    0.017530    0.000000    
20          0         1           99.0200     0.010000    0.016168    0.000000    
21          0         1           98.8200     0.010000    0.015495    0.000000    
22          0         1           98.9300     0.010000    0.014368    0.000000    
23          0         1           98.9700     0.010000    0.013667    0.000000    
24          0         1           98.9800     0.010000    0.013098    0.000000    
25          0         1           99.0300     0.010000    0.012171    0.000000    
26          0         1           98.7700     0.010000    0.011668    0.000000    
27          0         1           98.9900     0.010000    0.010631    0.000000    
28          0         1           98.9100     0.010000    0.010070    0.000000    
29          0         1           99.0100     0.010000    0.009292    0.000000    
30          0         1           98.9200     0.010000    0.008157    0.000000    
31          0         1           98.8800     0.010000    0.008152    0.000000    
32          0         1           98.8900     0.010000    0.007407    0.000000    
33          0         1           98.8800     0.010000    0.007020    0.000000    
34          0         1           99.0800     0.010000    0.006366    0.000000    
35          0         1           98.8700     0.010000    0.006301    0.000000    
36          0         1           98.9600     0.010000    0.006147    0.000000    
37          0         1           99.0300     0.010000    0.005495    0.000000    
38          0         1           98.9600     0.010000    0.005187    0.000000    
39          0         1           98.8700     0.010000    0.004398    0.000000    
40          0         1           99.0000     0.010000    0.004128    0.000000    
41          0         1           98.9700     0.010000    0.004077    0.000000    
42          0         1           98.9600     0.010000    0.003523    0.000000    
43          0         1           98.9900     0.010000    0.003128    0.000000    
44          0         1           99.0300     0.010000    0.003081    0.000000    
45          0         1           99.0000     0.010000    0.003302    0.000000    
46          0         1           99.0500     0.010000    0.002672    0.000000    
47          0         1           98.8700     0.010000    0.002185    0.000000    
48          0         1           98.9600     0.010000    0.002064    0.000000    
49          0         1           98.9400     0.010000    0.002086    0.000000    
50          0         1           99.0500     0.010000    0.001891    0.000000    
