GlobalRound	GlobalAccuracy
1	96.5200
2	97.5100
3	97.7200
4	98.1600
5	98.2900
6	98.3400
7	98.4900
8	98.6200
9	98.6700
10	98.3500
11	98.8200
12	98.8700
13	98.9200
14	98.8100
15	98.6000
16	98.9300
17	98.9200
18	98.7300
19	99.0300
20	99.0200
21	98.8200
22	98.9300
23	98.9700
24	98.9800
25	99.0300
26	98.7700
27	98.9900
28	98.9100
29	99.0100
30	98.9200
31	98.8800
32	98.8900
33	98.8800
34	99.0800
35	98.8700
36	98.9600
37	99.0300
38	98.9600
39	98.8700
40	99.0000
41	98.9700
42	98.9600
43	98.9900
44	99.0300
45	99.0000
46	99.0500
47	98.8700
48	98.9600
49	98.9400
50	99.0500
