GlobalRound	GlobalAccuracy
1	95.9600
2	97.5200
3	97.9600
4	97.8300
5	98.3800
6	98.5100
7	98.6100
8	98.7300
9	98.7700
10	98.7700
11	98.8700
12	98.8100
13	98.9000
14	98.7200
15	98.6300
16	98.8300
17	98.6800
18	98.7900
19	98.6900
20	98.9200
21	98.9000
22	98.7700
23	98.8800
24	98.8500
25	98.9800
26	98.9000
27	98.6500
28	98.9300
29	98.9400
30	98.9700
31	98.6100
32	99.0100
33	99.0100
34	99.0100
35	98.9800
36	99.0000
37	98.9800
38	98.9700
39	99.0300
40	99.0500
41	98.9600
42	98.9800
43	99.0500
44	98.8500
45	99.0000
46	99.0000
47	98.8500
48	99.0600
49	99.0000
50	98.9700
