GlobalRnd   ClientID  LocEpoch    Accuracy    LR          Loss        GradNorm    
1           0         1           9.8000      6.924533    0.123756    0.173753    
1           1         1           89.7800     0.144945    0.725781    3.265043    
1           2         1           90.6000     0.150557    0.773840    3.105287    
1           3         1           92.3000     0.114192    0.888134    3.479365    
1           4         1           82.2400     0.125068    0.810351    3.351997    
1           5         1           89.0900     0.114804    0.771808    3.367196    
1           6         1           92.0500     0.114523    0.805597    3.120363    
1           7         1           81.0400     0.144651    0.822112    3.386239    
1           8         1           89.3400     0.118262    0.812827    3.316505    
1           9         1           91.2200     0.129550    0.833101    3.311027    
2           0         1           40.5200     1.287938    0.111676    1.682277    
2           1         1           92.3900     0.083025    0.323780    2.832015    
2           2         1           89.9100     0.083613    0.331173    2.934509    
2           3         1           90.8100     0.091746    0.353980    2.927792    
2           4         1           92.4400     0.089465    0.342126    2.935632    
2           5         1           86.9700     0.080790    0.326872    2.939984    
2           6         1           92.8800     0.095579    0.325211    2.651324    
2           7         1           92.6700     0.099835    0.345086    2.781975    
2           8         1           90.9800     0.084850    0.329685    2.931464    
2           9         1           93.5900     0.091713    0.327882    2.870056    
3           0         1           81.7800     0.674872    0.026730    0.594636    
3           1         1           92.9400     0.115562    0.226375    2.346791    
3           2         1           93.8100     0.121569    0.230856    2.271671    
3           3         1           94.4700     0.113547    0.250421    2.505296    
3           4         1           94.4000     0.122160    0.222856    2.214155    
3           5         1           94.0500     0.120827    0.212671    2.187846    
3           6         1           92.2800     0.104559    0.228605    2.419779    
3           7         1           91.6600     0.119281    0.236282    2.320304    
3           8         1           94.0800     0.104148    0.222523    2.396768    
3           9         1           93.9000     0.117331    0.217226    2.258705    
4           0         1           91.0000     1.662400    0.013743    0.257635    
4           1         1           88.6700     0.142049    0.182020    2.026436    
4           2         1           96.4400     0.149087    0.186789    1.935882    
4           3         1           96.8000     0.129122    0.173716    2.024473    
4           4         1           96.3800     0.127384    0.167423    1.979976    
4           5         1           96.4100     0.137076    0.169575    1.905164    
4           6         1           93.5700     0.130318    0.166316    1.957096    
4           7         1           96.8000     0.136200    0.174721    1.930102    
4           8         1           92.2300     0.129743    0.179980    2.104679    
4           9         1           94.5200     0.134277    0.175363    1.959997    
5           0         1           96.7400     0.877035    0.026527    0.626665    
5           1         1           95.3400     0.153772    0.158657    1.823026    
5           2         1           96.2600     0.145253    0.154135    1.817947    
5           3         1           95.9900     0.125393    0.143355    1.876271    
5           4         1           89.4900     0.146039    0.147690    1.772210    
5           5         1           95.5400     0.150283    0.145327    1.755733    
5           6         1           96.5900     0.141674    0.138681    1.685825    
5           7         1           95.4700     0.148907    0.160094    1.830611    
5           8         1           96.9000     0.136761    0.150826    1.858757    
5           9         1           95.9800     0.146130    0.138324    1.780049    
6           0         1           95.0400     1.902675    0.005415    0.137345    
6           1         1           96.3500     0.167796    0.123243    1.569631    
6           2         1           97.0600     0.148857    0.134235    1.716824    
6           3         1           96.8600     0.139287    0.130442    1.690143    
6           4         1           96.2300     0.151845    0.118739    1.500138    
6           5         1           96.1100     0.156855    0.119023    1.589737    
6           6         1           96.5000     0.151029    0.141463    1.768888    
6           7         1           96.6000     0.160773    0.155640    1.805532    
6           8         1           96.9500     0.163607    0.130231    1.621250    
6           9         1           97.0800     0.153312    0.124246    1.605458    
