GlobalRound	GlobalAccuracy
1	85.3400
2	95.1500
3	96.6800
4	97.4000
5	97.7900
6	97.8500
7	98.1000
8	98.3600
9	98.3100
10	98.4400
11	98.5200
12	98.6100
13	98.7000
14	98.6600
15	98.7500
16	98.7600
17	98.8200
18	98.8300
19	98.8500
20	98.8900
21	98.8900
22	98.9000
23	98.8600
24	98.8500
25	98.9100
26	98.9500
27	98.8900
28	99.0000
29	98.9500
30	99.0100
31	98.9600
32	98.9500
33	98.9800
34	98.9900
35	99.0400
36	99.0300
37	99.0300
38	99.0800
39	99.0300
40	99.0300
41	99.0500
42	99.0600
43	99.0300
44	99.0700
45	99.0600
46	99.0500
47	99.0200
48	99.0000
49	99.0000
50	99.0200
51	99.0100
52	99.0000
53	99.0200
54	99.0100
55	98.9900
56	99.0300
57	99.0000
58	99.0600
59	99.0000
60	99.0600
61	99.0700
62	99.0800
63	99.0900
64	99.0700
65	99.0800
66	99.0900
67	99.0600
68	99.0600
69	99.0900
70	99.0700
71	99.0300
72	99.0500
73	99.0700
74	99.0900
75	99.0900
76	99.0500
77	99.0900
78	99.0600
79	99.1100
80	99.0800
81	99.0400
82	99.0700
83	99.0300
84	99.0600
85	99.0800
86	99.0700
87	99.1100
88	99.0500
89	99.0700
90	99.0500
91	99.0400
92	99.0500
93	99.0600
94	99.0800
95	99.0400
96	99.0300
97	99.0500
98	99.0200
99	99.0200
100	99.0400
