GlobalRnd   ClientID  LocEpoch    Accuracy    LR          Loss        GradNorm    
1           0         1           9.8000      4.156613    0.235193    0.327908    
1           1         1           86.4000     0.169424    0.975482    2.989690    
1           2         1           86.8900     0.136395    1.045803    2.904170    
1           3         1           86.4600     0.154267    1.025910    3.028482    
1           4         1           73.4400     0.138596    1.118568    3.152534    
1           5         1           83.7800     0.129518    1.081500    3.283301    
1           6         1           85.9300     0.137333    1.102520    3.148695    
1           7         1           82.2500     0.127794    1.106823    3.165267    
1           8         1           52.8000     0.169542    1.071413    3.277231    
1           9         1           86.9300     0.143859    1.068225    3.232973    
2           0         1           81.2700     2.111702    0.179966    3.332259    
2           1         1           91.0800     0.037953    0.442096    3.270632    
2           2         1           90.0300     0.036065    0.452047    3.380689    
2           3         1           88.8100     0.038059    0.466588    3.312913    
2           4         1           91.4500     0.037862    0.459690    3.447343    
2           5         1           90.0300     0.037646    0.449156    3.440897    
2           6         1           68.3700     0.038552    0.480123    3.403849    
2           7         1           91.4200     0.044522    0.464719    3.285537    
2           8         1           89.2000     0.040689    0.451080    3.333829    
2           9         1           87.7100     0.035852    0.435812    3.360013    
3           0         1           76.9200     0.096427    0.085344    2.065454    
3           1         1           85.8700     0.048643    0.314181    2.854571    
3           2         1           82.9000     0.053409    0.327414    2.838163    
3           3         1           93.5100     0.049873    0.347444    3.008285    
3           4         1           89.7300     0.060878    0.348280    2.862026    
3           5         1           89.7100     0.055455    0.340889    2.953291    
3           6         1           90.1800     0.051737    0.353830    3.022285    
3           7         1           93.1800     0.051742    0.318568    2.723451    
3           8         1           88.5900     0.055178    0.322847    2.756099    
3           9         1           91.3900     0.050655    0.325036    2.949735    
4           0         1           82.1800     0.180044    0.025481    0.739571    
4           1         1           94.3900     0.066410    0.272534    2.580793    
4           2         1           92.6500     0.065159    0.266135    2.498346    
4           3         1           93.1500     0.061790    0.271721    2.520162    
4           4         1           94.8400     0.073856    0.264271    2.363015    
4           5         1           93.4300     0.068585    0.256793    2.470109    
4           6         1           93.6400     0.075132    0.280666    2.442828    
4           7         1           90.6300     0.064465    0.266227    2.485037    
4           8         1           93.8000     0.066152    0.263268    2.497782    
4           9         1           93.6600     0.066424    0.267263    2.575581    
5           0         1           82.3500     0.376341    0.009915    0.319598    
5           1         1           91.7100     0.085462    0.233106    2.366734    
5           2         1           94.8600     0.094426    0.238804    2.252867    
5           3         1           95.3800     0.076881    0.223544    2.202203    
5           4         1           95.8300     0.080324    0.226533    2.309860    
5           5         1           94.1800     0.088355    0.229334    2.301584    
5           6         1           95.1600     0.082778    0.244229    2.392728    
5           7         1           95.3600     0.082872    0.229428    2.245779    
5           8         1           94.9600     0.093097    0.241461    2.288692    
5           9         1           93.5900     0.084697    0.214034    2.126566    
6           0         1           89.4200     0.332085    0.022717    0.578564    
6           1         1           94.1700     0.095643    0.192727    2.077835    
6           2         1           95.6600     0.083027    0.182994    2.041785    
6           3         1           96.0500     0.086249    0.193220    2.112111    
6           4         1           95.4100     0.093457    0.201154    2.179468    
6           5         1           93.6200     0.094581    0.181958    2.075603    
6           6         1           94.8700     0.092380    0.202246    2.085496    
6           7         1           95.1000     0.093872    0.196453    2.035083    
6           8         1           94.2900     0.084730    0.203271    2.190333    
6           9         1           93.4400     0.101867    0.190587    1.976702    
7           0         1           92.0700     0.304160    0.016412    0.484094    
7           1         1           95.5400     0.117464    0.176316    1.904247    
7           2         1           96.1500     0.096682    0.162356    1.862554    
7           3         1           90.3400     0.112957    0.183324    2.023372    
7           4         1           95.2100     0.107868    0.185613    2.066762    
7           5         1           96.1700     0.099228    0.164908    1.878109    
7           6         1           93.8400     0.095385    0.205733    2.270552    
7           7         1           96.4100     0.099640    0.175708    1.942384    
7           8         1           95.8900     0.105749    0.178214    1.923879    
7           9         1           95.8000     0.105716    0.171020    1.911836    
8           0         1           94.9500     0.198191    0.020899    0.643500    
8           1         1           96.7000     0.119667    0.163575    1.828422    
8           2         1           93.1000     0.120936    0.154134    1.800074    
8           3         1           96.4300     0.116916    0.167079    1.797881    
8           4         1           95.8300     0.120510    0.154918    1.737248    
8           5         1           96.6700     0.114262    0.155445    1.848154    
8           6         1           95.9000     0.110779    0.161742    1.864019    
8           7         1           92.3100     0.115524    0.161174    1.789008    
8           8         1           95.7500     0.110768    0.160629    1.848771    
