GlobalRound	GlobalAccuracy
1	81.2700
2	91.8900
3	93.6000
4	95.2900
5	96.1400
6	96.4700
7	96.8300
8	97.1800
9	97.2200
10	97.6500
11	97.7500
12	97.9100
13	98.1300
14	98.0400
15	98.2200
16	98.3400
17	98.3500
18	98.3800
19	98.5100
20	98.5300
21	98.5400
22	98.5400
23	98.5800
24	98.6100
25	98.6800
26	98.6500
27	98.6700
28	98.6900
29	98.7400
30	98.7600
31	98.7400
32	98.7700
33	98.7500
34	98.7900
35	98.9300
36	98.9200
37	98.8200
38	98.8900
39	98.9400
40	98.9100
41	98.8900
42	98.9600
43	98.9100
44	98.8400
45	98.9700
46	98.9700
47	99.0100
48	99.0100
49	99.0100
50	99.0300
51	99.0000
52	99.0000
53	99.0600
54	99.0400
55	99.0200
56	99.0600
57	99.0700
58	99.0300
59	99.0000
60	98.9900
61	99.0100
62	99.0600
63	99.0700
64	99.0500
65	99.0900
66	99.0400
67	99.0100
68	99.0100
69	99.0700
70	99.1000
71	99.1100
72	99.1100
73	99.0800
74	99.0600
75	99.0700
76	99.0300
77	99.0100
78	99.0800
79	99.0100
80	99.0800
81	99.0300
82	99.0500
83	99.0900
84	99.0700
85	99.0800
86	99.0800
87	99.0500
88	99.0500
89	99.0500
90	99.0900
91	99.0300
92	99.0600
93	99.0600
94	99.1000
95	99.0700
96	99.0800
97	99.0900
98	99.1100
99	99.0800
100	99.1000
