GlobalRnd   Accuracy
       1    60.3300
       2    85.0400
       3    92.3900
       4    94.7900
       5    96.1900
       6    96.4900
       7    97.0400
       8    97.0000
       9    97.2600
      10    97.6600
      11    97.9100
      12    98.0800
      13    98.2700
      14    98.3000
      15    98.4200
      16    98.2300
      17    98.4700
      18    98.4400
      19    98.6400
      20    98.4300
      21    98.3500
      22    98.7300
      23    98.6700
      24    98.7100
      25    98.8200
      26    98.8600
      27    98.4800
      28    98.7600
      29    98.7800
      30    98.7800
      31    98.7600
      32    98.7600
      33    98.8000
      34    98.8500
      35    98.8000
      36    98.8500
      37    98.5100
      38    98.8000
      39    98.7300
      40    98.8400
      41    98.8900
      42    98.7300
      43    98.8600
      44    98.7900
      45    98.9100
      46    98.8800
      47    98.8500
      48    98.8000
      49    98.9500
      50    98.7700
