GlobalRnd   ClientID  LocEpoch    Accuracy    LR          Loss        GradNorm    
1           0         1           9.7400      0.021848    0.025151    0.038071    
1           1         1           11.3500     5.398884    0.011573    0.012869    
1           2         1           8.9200      7.395550    0.013170    0.017356    
1           3         1           9.8000      3.634618    0.012649    0.017973    
1           4         1           10.2800     0.021284    0.011696    0.016691    
1           5         1           10.3200     4.983262    0.013387    0.021526    
1           6         1           10.0900     0.019444    0.024901    0.037825    
1           7         1           9.8200      0.023609    0.012192    0.015465    
1           8         1           10.1000     0.019982    0.023703    0.034916    
1           9         1           9.5800      6.267170    0.011998    0.015479    
2           0         1           9.7400      3.543620    0.165309    0.324631    
2           1         1           11.3500     4.640436    0.230049    0.326864    
2           2         1           8.9200      4.389403    0.109019    0.203270    
2           3         1           9.8000      3.313783    0.269507    0.436121    
2           4         1           10.2800     4.475139    0.687244    1.008482    
2           5         1           10.3200     4.106952    0.274625    0.422643    
2           6         1           26.4100     0.000009    2.448783    3.114565    
2           7         1           9.8200      1.771001    0.181797    0.332095    
2           8         1           10.1000     2.907965    0.151541    0.273032    
2           9         1           9.5800      3.982654    0.251283    0.374213    
3           0         1           9.7400      3.268983    0.104208    1.107880    
3           1         1           11.3500     3.904898    0.140639    1.103599    
3           2         1           8.9200      3.396854    0.154049    1.435621    
3           3         1           9.8000      2.786897    0.085336    1.057136    
3           4         1           10.2800     4.421018    0.127523    1.118516    
3           5         1           10.3200     2.828922    0.064645    0.842855    
3           6         1           10.0900     3.505842    0.152207    1.182931    
3           7         1           9.8200      1.887870    0.117139    1.383687    
3           8         1           10.1000     2.313946    0.133970    1.149935    
3           9         1           9.5800      3.459839    0.083424    1.026839    
4           0         1           9.7400      0.857463    0.117139    2.040559    
4           1         1           11.3500     2.171539    0.064432    0.999395    
4           2         1           8.9200      2.643435    0.126243    2.304226    
4           3         1           9.8000      2.499373    0.051646    1.209258    
4           4         1           10.2800     2.087717    0.059420    1.300465    
4           5         1           10.3200     3.868254    0.063796    1.476382    
4           6         1           10.0900     4.140872    0.098417    1.602872    
4           7         1           9.8200      2.946702    0.094055    1.943990    
4           8         1           10.1000     2.728570    0.114127    1.878803    
4           9         1           9.5800      3.942462    0.043851    1.020618    
5           0         1           9.7400      1.148708    0.090617    2.396574    
5           1         1           11.3500     2.432783    0.034964    0.773371    
5           2         1           8.9200      3.379270    0.037998    1.059658    
5           3         1           9.8000      2.032382    0.036562    1.183219    
5           4         1           10.2800     0.867505    0.066131    1.796313    
5           5         1           10.3200     2.557020    0.043906    1.357009    
5           6         1           10.0900     2.346782    0.055053    1.449616    
