GlobalRound	GlobalAccuracy
1	26.6000
2	12.2200
3	19.8100
4	36.8600
5	28.7700
6	28.3200
7	29.5200
8	28.7300
9	26.0900
10	28.9300
11	28.9200
12	32.9500
13	34.1400
14	30.0300
15	29.1100
16	33.3700
17	32.5100
18	28.4900
19	25.6000
20	38.3200
21	33.3800
22	32.0500
23	34.6100
24	27.2000
25	35.0700
26	35.3400
27	37.6300
28	40.8900
29	36.3600
30	28.5100
31	34.0400
32	36.7400
33	40.9200
34	39.2300
35	39.3800
36	42.6800
37	42.0800
38	38.3800
39	41.0900
40	37.5300
41	34.4100
42	29.9600
43	39.2100
44	44.3400
45	42.7600
46	40.2300
47	42.6600
48	45.5000
49	45.3300
50	48.5100
51	45.8200
52	44.7900
53	43.8400
54	45.2800
55	47.6900
56	42.6700
57	45.2900
58	42.3600
59	48.6200
60	39.2100
61	33.7100
62	45.9000
63	47.8300
64	45.3600
65	50.7800
66	47.7100
67	44.4800
68	40.4000
69	47.5800
70	48.8400
71	41.0600
72	45.5200
73	47.2600
74	46.0600
75	48.6300
76	46.4100
77	52.3900
78	44.5700
79	47.6900
80	49.0200
81	47.0800
82	47.6500
83	38.3500
84	42.9400
85	40.6600
86	46.7900
87	44.9800
88	50.2800
89	44.4000
90	41.7800
91	48.0800
92	42.4800
93	40.4900
94	52.8800
95	35.0500
96	51.6500
97	38.2100
98	44.5600
99	45.6300
100	43.0000
